Compound Id	TOBr
1	3
2	4
3	5
4	6
5	7
6	7
7	8
8	8
9	7
10	6
11	8
12	9
13	9
14	8
15	10
16	10
17	11
18	10
19	9
20	11
21	12
22	12
23	11
24	10
25	12
26	11
27	10
28	13
29	12
30	11
31	12
32	11
33	12
34	11
35	13
36	12
37	14
38	13
39	13
40	14
41	15
42	15
43	14
44	14
45	13
46	13
47	16
48	15
49	15
50	14
51	14
52	14
53	13
54	12
55	16
56	16
57	15
58	15
59	14
60	17
61	16
62	15
63	16
64	15
65	14
66	17
67	16
68	16
69	15
70	16
71	15
72	15
73	14
74	17
75	16
76	16
77	18
78	17
79	17
80	16
81	18
82	19
83	18
84	17
85	20
86	19
87	19
88	18
89	18
90	19
91	18
92	18
93	17
94	17
95	17
96	16
97	19
98	18
99	20
100	19
101	19
102	18
103	18
104	17
105	21
106	20
107	20
108	20
109	19
110	19
111	19
112	18
113	18
114	21
115	20
116	19
117	19
118	21
119	20
120	20
121	19
122	20
123	21
124	20
125	19
126	22
127	21
128	24
129	23
130	23
131	22
132	22
133	22
134	21
135	21
136	20
137	24
138	24
139	23
140	23
141	23
142	22
143	22
144	22
145	21
146	23
147	22
148	22
149	22
150	21
151	21
152	20
153	24
154	23
155	22
156	25
157	25
158	24
159	24
160	23
161	23
162	24
163	23
164	23
165	22
166	24
167	25
168	24
169	26
170	28
171	27
172	27
173	26
174	26
175	26
176	25
177	26
178	25
179	24
180	28
181	27
182	27
183	27
184	26
185	26
186	25
187	26
188	25
189	29
190	28
191	28
192	27
193	27
194	32
195	31
196	31
197	30
198	30
199	30
200	29
201	29
202	28
203	31
204	30
205	32
206	35
207	34
208	33
209	38
210	12
211	24
212	36
213	48
214	11
215	38
216	37
217	44
218	51
219	0
220	0
