Compound Id	Mor23m
1	-0.358
2	-0.629
3	-0.54
4	-0.176
5	-0.072
6	-0.42
7	-0.659
8	-0.566
9	-0.571
10	-0.661
11	-0.816
12	-1.049
13	-0.645
14	-0.987
15	-0.399
16	-0.445
17	-0.665
18	-1.289
19	-0.374
20	-0.07
21	-0.247
22	0.011
23	-0.645
24	-0.635
25	-0.733
26	-0.751
27	-1.306
28	-0.742
29	-1.298
30	-0.58
31	-0.988
32	-0.943
33	-0.895
34	-0.582
35	-1.162
36	-1.334
37	-0.974
38	-1.209
39	-1.088
40	-0.358
41	-0.942
42	-0.677
43	-0.919
44	-0.867
45	-0.299
46	0.488
47	-1.064
48	-1.216
49	-0.926
50	-0.351
51	-1.195
52	-0.11
53	-1.013
54	-0.327
55	-0.278
56	-0.389
57	-0.764
58	-0.39
59	-0.91
60	-0.049
61	-0.698
62	-0.737
63	-0.761
64	-0.733
65	-0.585
66	-1.137
67	-1.437
68	-1.057
69	-1.283
70	-1.405
71	-1.911
72	-1.044
73	-1.621
74	-1.515
75	-0.607
76	-0.798
77	-1.467
78	-1.485
79	-1.838
80	-2.138
81	-1.295
82	-0.505
83	-1.054
84	0.227
85	-1.139
86	-1.303
87	-1.412
88	-0.728
89	-0.305
90	-1.308
91	-0.897
92	-1.012
93	-1.235
94	-0.592
95	-1.009
96	-0.851
97	-1.509
98	0.565
99	-1.608
100	-0.995
101	-1.2
102	-2.512
103	-1.156
104	-1.075
105	-0.555
106	-0.759
107	-1.269
108	-0.835
109	-1.037
110	-1.291
111	-1.227
112	-0.299
113	-1.517
114	-0.585
115	-0.711
116	-0.308
117	-0.857
118	-1.914
119	-1.782
120	-1.614
121	-1.504
122	-0.576
123	-1.215
124	-1.225
125	-1.952
126	-1.975
127	-2.29
128	-0.639
129	-1.014
130	-1.239
131	-0.382
132	-0.548
133	-1.38
134	-1.077
135	-0.877
136	-1.165
137	-1.446
138	-1.844
139	-1.155
140	-0.079
141	-1.536
142	-1.492
143	-1.595
144	-1.514
145	-1.538
146	-1.811
147	-1.593
148	-0.654
149	-2.159
150	-1.257
151	-1.893
152	-2.432
153	-2.124
154	-2.401
155	-0.509
156	-1.038
157	-0.917
158	-1.332
159	-1.146
160	-0.395
161	-1.625
162	-1.378
163	-1.102
164	-1.54
165	-0.836
166	-0.553
167	-1.813
168	-1.827
169	-2.493
170	-0.982
171	-1.083
172	-1.501
173	-1.106
174	-1.75
175	-1.523
176	-1.498
177	-1.546
178	-2.215
179	-2.506
180	-2.171
181	-1.675
182	-1.418
183	-2.373
184	-1.828
185	-2.138
186	-1.835
187	-3.006
188	-2.888
189	-1.249
190	-1.232
191	-1.679
192	-0.82
193	-1.189
194	-1.405
195	-1.319
196	-2.141
197	-2.902
198	-2.307
199	-2.994
200	-1.789
201	-2.961
202	-1.502
203	0.875
204	-2.108
205	-1.18
206	-2.813
207	-2.074
208	-0.651
209	-0.343
210	-0.683
211	-0.885
212	-0.417
213	-0.267
214	-0.808
215	-1.214
216	-0.592
217	-0.945
218	-1.225
219	-2.016
220	-1.906
