Compound Id	X2A
1	0.303
2	0.309
3	0.309
4	0.299
5	0.298
6	0.305
7	0.305
8	0.304
9	0.305
10	0.299
11	0.31
12	0.303
13	0.309
14	0.311
15	0.309
16	0.295
17	0.301
18	0.301
19	0.296
20	0.3
21	0.294
22	0.3
23	0.301
24	0.295
25	0.306
26	0.306
27	0.301
28	0.305
29	0.3
30	0.302
31	0.305
32	0.3
33	0.3
34	0.306
35	0.305
36	0.311
37	0.304
38	0.3
39	0.311
40	0.292
41	0.292
42	0.297
43	0.297
44	0.297
45	0.292
46	0.292
47	0.302
48	0.297
49	0.302
50	0.298
51	0.298
52	0.302
53	0.298
54	0.293
55	0.296
56	0.296
57	0.302
58	0.302
59	0.297
60	0.296
61	0.292
62	0.292
63	0.301
64	0.297
65	0.292
66	0.301
67	0.301
68	0.307
69	0.303
70	0.301
71	0.297
72	0.307
73	0.303
74	0.301
75	0.302
76	0.296
77	0.3
78	0.301
79	0.306
80	0.312
81	0.301
82	0.289
83	0.294
84	0.29
85	0.293
86	0.289
87	0.293
88	0.29
89	0.29
90	0.299
91	0.294
92	0.299
93	0.29
94	0.295
95	0.294
96	0.29
97	0.294
98	0.295
99	0.298
100	0.299
101	0.298
102	0.294
103	0.299
104	0.296
105	0.293
106	0.293
107	0.298
108	0.298
109	0.294
110	0.293
111	0.303
112	0.294
113	0.299
114	0.293
115	0.294
116	0.285
117	0.294
118	0.298
119	0.299
120	0.303
121	0.304
122	0.293
123	0.298
124	0.298
125	0.294
126	0.297
127	0.303
128	0.286
129	0.287
130	0.291
131	0.287
132	0.287
133	0.296
134	0.287
135	0.292
136	0.288
137	0.291
138	0.291
139	0.292
140	0.292
141	0.291
142	0.283
143	0.287
144	0.292
145	0.288
146	0.296
147	0.292
148	0.297
149	0.292
150	0.293
151	0.292
152	0.288
153	0.295
154	0.296
155	0.297
156	0.29
157	0.29
158	0.291
159	0.296
160	0.287
161	0.296
162	0.295
163	0.291
164	0.291
165	0.296
166	0.287
167	0.295
168	0.296
169	0.294
170	0.284
171	0.285
172	0.289
173	0.281
174	0.285
175	0.29
176	0.286
177	0.285
178	0.29
179	0.286
180	0.289
181	0.286
182	0.29
183	0.289
184	0.29
185	0.286
186	0.282
187	0.289
188	0.29
189	0.288
190	0.285
191	0.289
192	0.29
193	0.289
194	0.283
195	0.28
196	0.284
197	0.284
198	0.284
199	0.284
200	0.28
201	0.284
202	0.284
203	0.284
204	0.285
205	0.283
206	0.278
207	0.279
208	0.279
209	0.274
210	0.294
211	0.292
212	0.29
213	0.288
214	0.314
215	0.299
216	0.302
217	0.299
218	0.296
219	0.316
220	0.286
