Compound Id	V
937	0.167
127983	0.203
217	0.208
692	0.222
763	0.226
748	0.237
23208	0.242
291	0.25
11148	0.267
391	0.272
274	0.281
923	0.281
6105	0.285
21106179	0.303
6086	0.304
864	0.308
8960	0.308
22814	0.313
6153	0.32
518	0.321
278	0.324
1087	0.346
16641	0.346
6085	0.347
6089	0.349
4514529	0.353
22408	0.359
9642	0.359
13571291	0.359
693	0.365
6087	0.372
11153	0.39
6084	0.39
6102	0.404
7568	0.405
172	0.406
6132	0.407
9243	0.408
2275	0.411
12066	0.411
10205670	0.418
10441	0.418
4937830	0.418
6111	0.423
6135	0.424
6083	0.424
6128	0.426
6123	0.438
9484	0.443
6095	0.445
7956	0.449
682	0.449
1019	0.45
9990	0.457
4514586	0.459
12577	0.461
9286	0.461
11727	0.463
16425	0.464
7577	0.465
171	0.465
1143	0.465
6098	0.47
9256	0.479
9994	0.481
7954	0.488
6101	0.49
654	0.49
6108	0.49
6104	0.494
8900	0.495
6191	0.497
21106169	0.502
21112738	0.503
7559	0.504
4481813	0.506
28994	0.506
173	0.506
6088	0.508
13835235	0.508
6130	0.512
6097	0.513
6314	0.516
11228	0.516
13836713	0.523
6151	0.53
6094	0.531
70850	0.536
11811	0.536
6145	0.536
6310	0.536
773	0.536
7738	0.537
5978	0.542
12197	0.543
7566	0.545
6093	0.547
512	0.547
13872989	0.547
175	0.547
2018165	0.548
6148	0.548
12640	0.548
8902	0.548
13835336	0.549
6103	0.554
1039	0.554
7030	0.556
6333	0.563
71390	0.565
6338	0.565
6092	0.565
2005981	0.57
21106015	0.572
19475	0.575
23730	0.575
7736	0.577
12442	0.583
16841	0.586
7557	0.586
7558	0.586
10772140	0.587
11154	0.587
13835977	0.588
1004	0.59
3644	0.59
13835550	0.59
13835316	0.592
553742	0.592
558928	0.592
1577	0.595
7790	0.599
2916	0.6
8899	0.6
6190	0.601
7734	0.606
1005	0.606
6335	0.606
5894	0.606
13836674	0.611
659	0.613
29008	0.614
11749	0.614
11910	0.614
7012	0.614
11065	0.614
6164	0.614
11239	0.614
5977	0.617
7330	0.618
62827	0.62
7546	0.622
7737	0.622
11756	0.623
4514549	0.625
3102535	0.626
363458	0.626
7556	0.629
56442	0.629
4449912	0.629
7957	0.629
7564	0.631
1114	0.631
7777	0.633
7606	0.633
8904	0.634
8903	0.634
6149	0.634
6125	0.635
29040	0.636
454215	0.636
7029	0.638
7739	0.641
9391	0.643
7733	0.645
394562	0.645
6322	0.645
60524	0.647
6330	0.647
6334	0.647
5993	0.647
6100	0.649
13837190	0.649
13835224	0.649
7728	0.649
13839553	0.649
558020	0.652
62808	0.652
124968	0.652
14829	0.653
21111820	0.653
10437	0.654
6121	0.654
558875	0.654
8544	0.66
7553	0.663
11526	0.664
592	0.664
10771217	0.667
10498	0.668
6119	0.669
81815	0.669
14694	0.671
30713	0.671
7555	0.672
6120	0.672
24043	0.672
19476	0.672
6177	0.672
8012	0.672
12957	0.672
13875283	0.675
1020	0.675
10340	0.677
12225	0.677
1348	0.677
844	0.68
29015	0.681
10018	0.681
7717	0.686
6311	0.686
7732	0.688
6321	0.688
13871721	0.688
62597	0.688
6313	0.688
256	0.688
9016	0.688
9254	0.688
14441700	0.689
61213	0.689
7727	0.69
13836021	0.69
8733	0.69
13863629	0.693
9363	0.693
61111	0.693
7560	0.695
11729	0.695
10606755	0.696
38403	0.696
7636	0.697
374462	0.7
3951	0.704
7616	0.704
552744	0.704
8896	0.705
7615	0.706
387	0.706
5439	0.706
13837650	0.706
13853215	0.706
9392	0.706
7552	0.706
6118	0.706
733	0.707
454209	0.708
66565	0.711
7817	0.712
7081	0.712
11809	0.712
13837280	0.715
236	0.716
11731	0.717
8141	0.72
29036	0.722
13837537	0.722
2340753	0.723
10325184	0.723
107412	0.724
11099	0.727
6309	0.727
558883	0.727
56020	0.727
11806	0.727
1095	0.727
8351654	0.728
3168	0.731
10709	0.731
6312	0.731
258	0.731
6320	0.731
6146	0.731
415	0.731
4444456	0.733
12229	0.734
9614	0.734
5730	0.739
7551	0.74
2282428	0.741
9251	0.741
3441	0.741
9461	0.741
8329688	0.742
61346	0.742
9095782	0.743
21171407	0.746
7782	0.747
11755	0.747
10653	0.747
8525	0.747
6341	0.747
259	0.747
23621376	0.747
7021	0.747
11244	0.747
1141	0.752
21111806	0.752
21108550	0.752
9325	0.752
7961	0.752
10251740	0.752
66021	0.757
10437074	0.757
66996	0.757
6042	0.758
6326	0.758
10325078	0.759
11117	0.759
2062437	0.759
13867413	0.76
10675065	0.761
7630	0.762
7026	0.763
8554	0.763
7028	0.763
13835459	0.763
29004	0.764
13634	0.764
6106	0.766
10765	0.77
7713	0.77
4483639	0.77
4483638	0.77
10113	0.77
7469	0.77
7472	0.77
6649	0.77
21943	0.77
84036	0.77
68152	0.77
25889	0.77
7018	0.771
7716	0.772
23255	0.772
11230	0.772
7730	0.772
13838404	0.774
971	0.775
10008	0.775
7688	0.775
1664	0.775
71089	0.775
8543	0.776
6316	0.776
62826	0.777
10197150	0.778
10488	0.779
21168808	0.782
13647	0.783
221117	0.783
7220	0.783
10364	0.783
7672	0.784
59674	0.786
11752	0.788
13816	0.788
29107	0.788
61707	0.788
10464	0.788
65936	0.789
2038738	0.789
31029	0.79
6122	0.79
13836589	0.79
13836591	0.79
10948	0.79
13835209	0.79
13861343	0.791
4489	0.791
11351244	0.792
577	0.793
9360	0.793
9350	0.793
9326	0.793
9253	0.793
83734	0.793
71312	0.794
2293678	0.794
23055	0.794
10054	0.795
7714	0.795
6315	0.795
13299573	0.795
7689	0.798
11784	0.798
11785	0.798
9411	0.8
3631	0.801
7788	0.802
21105795	0.803
7791	0.804
13866746	0.805
70714	0.809
70715	0.809
7514	0.81
11036	0.81
472932	0.81
105291	0.81
5976	0.81
6188	0.811
99596	0.812
7712	0.813
6308	0.813
9646	0.813
2056044	0.814
61149	0.814
5889	0.816
21106520	0.816
13874733	0.816
13839199	0.816
1078	0.821
13836549	0.823
1015	0.823
7770	0.827
11525	0.829
12626	0.829
7772	0.829
10777	0.829
7016	0.829
7607	0.829
73583	0.829
7241	0.83
7225	0.83
78	0.83
60329	0.831
1609	0.831
13854944	0.831
13835861	0.831
24099	0.831
12816	0.832
9943	0.832
10772050	0.832
13837760	0.834
4878	0.834
17443	0.834
120489	0.834
9349	0.834
11600	0.834
764	0.834
21106535	0.835
7721	0.836
9233	0.836
18607	0.836
13837281	0.837
66567	0.837
7676	0.839
156255	0.841
9547	0.842
6406	0.844
13862665	0.844
29001	0.844
7024	0.845
7787	0.845
15077490	0.846
63054	0.846
11799	0.846
7466	0.846
10053	0.847
6307	0.847
7711	0.847
18971812	0.848
10781	0.849
11783	0.85
7685	0.85
13630	0.85
63889	0.856
9228	0.856
1108	0.857
10534	0.857
7679	0.861
12643	0.861
7684	0.863
12499	0.864
24590970	0.864
6950	0.864
56144	0.865
11110	0.868
12209	0.868
10124	0.868
24041	0.868
25886	0.868
19477	0.868
17784	0.868
3973	0.87
7224	0.871
11833	0.872
29000	0.872
8398	0.872
6040	0.872
14672	0.872
21011	0.872
10947	0.872
6165	0.872
13837702	0.872
235	0.873
55091	0.873
66809	0.875
62489	0.875
11080	0.875
5596	0.875
392	0.875
13257	0.875
12231	0.875
2606	0.875
8528	0.875
8878	0.878
19231	0.879
7681	0.88
11911	0.88
6342	0.88
18219	0.881
7248	0.881
11661	0.881
7710	0.881
768	0.882
11125	0.888
10492	0.888
7463	0.888
7706	0.888
11680	0.888
7701	0.888
10001	0.888
7627	0.888
10571	0.888
5708	0.888
19953955	0.888
13848341	0.888
76394	0.889
13835604	0.889
7138	0.891
7443	0.891
913	0.891
5709	0.891
7673	0.891
13875432	0.898
13875219	0.898
13837686	0.898
7013	0.898
92731	0.9
13874867	0.903
71787	0.903
7745	0.903
7678	0.904
13255	0.904
59447	0.904
48024	0.904
8868	0.905
5593	0.905
13835932	0.907
28981	0.908
4510484	0.908
7534	0.908
215929	0.908
13662	0.908
123207	0.909
7090	0.91
12201	0.911
11109	0.911
12446	0.911
7769	0.913
63631	0.913
24263	0.913
6364	0.913
7221	0.914
7240	0.914
6186	0.915
6187	0.915
7238	0.916
13835772	0.916
13839082	0.916
21105871	0.916
13860335	0.916
24533	0.916
28992	0.916
20843	0.916
21106032	0.917
6156	0.918
789	0.919
13836520	0.92
10628694	0.923
185	0.923
21106036	0.926
4444608	0.927
13837797	0.927
7794	0.927
11795	0.929
120621	0.929
20119	0.929
26765	0.929
192642	0.929
12821	0.93
12478	0.93
7389	0.93
10497	0.93
109838	0.93
16778	0.93
7705	0.93
13835293	0.93
13839441	0.93
13863618	0.932
28682	0.932
238	0.932
123	0.932
63908	0.934
9581	0.934
13875196	0.934
2018460	0.934
10512	0.936
55090	0.936
456015	0.939
13869451	0.939
13854248	0.939
13869339	0.939
1151	0.94
9574	0.941
11086	0.943
11857	0.943
7677	0.945
11788	0.945
62589	0.945
7686	0.945
776	0.946
7478	0.946
15802	0.947
17976	0.947
9579	0.949
10664	0.949
955	0.949
13837787	0.949
1266393	0.949
13875441	0.95
13842573	0.95
6974	0.95
10437239	0.951
7767	0.954
7604	0.954
7010	0.954
6163	0.954
6340	0.954
7234	0.957
13854136	0.957
13835151	0.957
13860692	0.957
21105905	0.957
21106560	0.957
7242	0.957
11077	0.957
11042	0.957
10940	0.957
10937	0.957
13842613	0.957
21132380	0.957
7223	0.957
11582	0.959
6774	0.959
9218	0.959
7236	0.961
7480	0.961
499714	0.961
13857694	0.961
13866817	0.961
13837988	0.961
12228	0.962
83866	0.963
83850	0.963
6621	0.964
7671	0.966
7074	0.966
62467	0.966
30516	0.966
10487	0.968
11846	0.968
