Compound Id	48-h Tetrahymena toxicity as log(1/IGC50)
1	1.655
2	1.096
3	0.929
4	0.573
5	1.585
6	1.230
7	1.329
8	1.357
9	1.750
10	1.812
11	2.004
12	2.219
13	1.167
14	2.573
15	2.664
16	2.568
17	1.631
18	1.421
19	0.716
20	0.941
21	0.941
22	NTAS
23	1.170
24	NTAS
25	1.170
26	NTAS
27	1.714
28	0.764
29	1.956
30	1.762
31	1.697
32	1.518
33	-0.155
