Compound Id	ads
1	-0.55
2	1.13
3	-1.65
4	-1.7
5	2.09
6	-0.45
7	1.81
8	1.26
9	1.07
10	1.13
11	0.23
12	2.01
13	1.28
14	0.96
15	2.03
16	2.49
17	0.49
18	1.24
19	0.5
20	3.03
21	0.81
22	1.14
23	0.67
24	-0.21
25	-2.62
26	0.03
27	-0.47
28	0.54
29	2.42
30	-1.83
31	0.19
32	1.37
33	1.25
34	0.86
35	1.91
36	-0.29
37	-1.45
38	1.92
39	0.84
40	0.66
41	1.62
42	1.74
43	0.8
44	1.1
45	0.07
46	1.18
47	0.94
48	0.54
49	-1.39
50	1.73
51	1.31
52	1.13
53	-3.84
54	-0.41
55	-0.4
56	-0.68
57	-0.65
58	-0.85
59	-0.61
60	-0.65
61	-0.66
62	0.36
63	3.35
64	-1.33
65	2.96
66	-0.24
67	1.17
68	0.93
69	1.87
