Compound Id	ads
1	-0.94
2	1.7
3	-1.09
4	-2.11
5	2.62
6	-0.81
7	2.36
8	0.86
9	1.36
10	1.63
11	0.23
12	1.91
13	1.16
14	0.65
15	1.87
16	2.28
17	0.42
18	1.01
19	0.39
20	3.14
21	0.69
22	1.7
23	1.09
24	-0.62
25	-2.91
26	0.6
27	0.1
28	1.1
29	2.98
30	-1.28
31	0.75
32	1.93
33	1.39
34	1.17
35	2.45
36	0.27
37	-0.9
38	1.92
39	0.84
40	0.56
41	1.53
42	1.66
43	0.7
44	0.98
45	-0.07
46	1.09
47	0.85
48	0.39
49	-0.84
50	1.32
51	0.9
52	1.63
53	-3.84
54	-0.95
55	-0.8
56	-0.78
57	-1.03
58	-0.95
59	-0.6
60	-1.03
61	-0.75
62	0.19
63	3.41
64	-0.92
65	2.92
66	-0.14
67	1.17
68	1.5
69	1.87
