Compound Id	logP
664	2.9260
665	3.4720
666	4.5145
667	3.6687
668	4.1732
669	3.6386
670	4.8893
671	4.9352
672	4.4088
673	4.0928
674	4.9170
675	4.1640
676	4.3642
677	4.3639
678	5.2398
679	6.3811
680	5.8809
681	5.9312
682	5.8225
683	5.5735
684	5.6600
685	7.7529
686	2.4771
687	1.8377
688	3.5393
689	5.2253
690	7.2300
691	6.9231
692	2.3299
693	3.7993
694	4.3766
695	3.3010
696	1.1538
697	2.3878
698	1.9295
699	4.2089
700	5.9312
701	6.9335
