Compound Id,pLC50
1,2.681
2,4.228
3,1.23
4,2.263
5,3.7
6,3.423
7,3.109
8,5.352
9,4.416
10,2.745
11,1.462
12,2.948
13,4.362
14,0.496
15,4.486
16,3.133
17,3.758
18,4.634
19,0.037
20,0.842
21,0.91
22,3.228
23,0.362
24,5.222
25,7.287
26,3.009
27,1.121
28,1.633
29,2.272
30,3.502
31,3.45
32,1.398
33,3.115
34,2.41
35,1.063
36,2.924
37,3.061
38,4.429
39,2.182
40,1.906
41,2.686
42,1.714
43,2.951
44,1.305
45,1.35
46,1.474
47,3.213
48,3.474
49,2.317
50,3.917
51,4.577
52,4.801
53,5.375
54,4.95
55,4.171
56,7.88
57,3.845
58,5.445
59,4.732
60,6.462
61,6.079
62,4.606
63,4.355
64,2.537
65,3.73
66,2.939
67,5.652
68,4.726
69,4.493
70,4.442
71,5.518
72,4.32
73,3.959
74,3.53
75,5.169
76,3.665
77,4.561
78,4.023
79,3.812
80,3.889
81,4.191
82,4.347
83,3.754
84,4.052
85,4.192
86,4.743
87,4.331
88,5.801
89,3.487
90,3.936
91,3.408
92,1.747
93,2.859
94,4.092
95,5.939
96,4.465
97,2.87
98,3.015
99,2.549
100,3.728
101,3.442
102,3.043
103,3.492
104,3.514
105,1.818
106,4.005
107,4.41
108,3.021
109,4.032
110,3.03
111,2.157
112,2.413
113,0.898
114,4.629
115,3.393
116,4.165
117,6.2
118,3.664
119,4.804
120,3.174
121,3.866
122,5.559
123,4.851
124,3.559
125,4.078
126,3.815
127,4.561
128,3.609
129,4.323
130,2.827
131,4.786
132,3.262
133,2.863
134,3.176
135,2.283
136,1.559
137,4.748
138,1.043
139,3.721
140,3.701
141,2.283
142,2.114
143,3.821
144,3.406
145,2.364
146,3.824
147,2.153
148,2.199
149,3.46
150,2.81
151,2.016
152,3.231
153,4.985
154,3.572
155,2.437
156,2.156
157,2.504
158,1.523
159,3.048
160,2.856
161,2.939
162,4.538
163,3.391
164,3.824
165,3.206
166,1.78
167,4.269
168,2.9
169,1.18
170,3.168
171,3.551
172,3.496
173,4.68
174,3.253
175,3.02
176,3.735
177,3.723
178,1.75
179,3.527
180,5.363
181,4.396
182,3.983
183,5.055
184,4.822
185,4.818
186,4.376
187,2.699
188,5.788
189,3.854
190,5.259
191,3.914
192,4.703
193,3.629
194,4.093
195,2.392
196,3.87
197,4.077
198,4.783
199,4.323
200,3.876
201,3.278
202,3.259
203,3.19
204,3.924
205,4.37
206,3.934
207,4.35
208,4.65
209,2.604
210,4.07
211,3.727
212,2.87
213,4.21
214,3.69
215,3.81
216,0.932
217,6.255
218,4.449
219,2.586
220,4.002
221,3.112
222,5.783
223,4.683
224,3.24
225,4.713
226,1.47
227,2.583
228,2.474
229,4.51
230,3.008
231,4.516
232,3.606
233,4.403
234,4.801
235,3.225
236,3.053
237,3.072
238,3.924
239,3.148
240,4.74
241,4.215
242,5.261
243,4.513
244,3.696
245,3.555
246,3.818
247,4.227
248,3.782
249,4.964
250,3.608
251,5.275
252,3.513
253,3.18
254,3.167
255,3.815
256,3.662
257,4.075
258,4.803
259,4.02
260,3.418
261,3.356
262,5.059
263,4.938
264,2.551
265,4.263
266,3.379
267,4.021
268,4.175
269,2
270,3.666
271,4.764
272,3.569
273,3.22
274,4.424
275,2.37
276,3.614
277,5.742
278,2.487
279,2.854
280,3.812
281,6.72
282,6
283,5.591
284,3.917
285,3.596
286,3.846
287,3.881
288,3.097
289,4.91
290,3.459
291,1.685
292,3.131
293,3.746
294,5.086
295,4.759
296,5.29
297,4.733
298,4.093
299,5.251
300,2.725
301,4.403
302,4.51
303,4.703
304,1.777
305,2.458
306,3.976
307,4.832
308,4.405
309,4.184
310,3.246
311,3.841
312,4.465
313,3.782
314,2.975
315,3.693
316,6.161
317,3.715
318,4.384
319,5.485
320,3.971
321,3.92
322,4.575
323,2.759
324,4.421
325,4.988
326,6.298
327,2.839
328,3.411
329,3.288
330,2.42
331,2.568
332,2.895
333,3.984
334,3.365
335,4.59
336,2.99
337,2.832
338,2.858
339,4.191
340,4.416
341,3.537
342,5.29
343,2.738
344,4.307
345,5.419
346,2.118
347,5.678
348,5.229
349,4.737
350,3.951
351,5.515
352,3.889
353,5.674
354,4.544
355,2.608
356,5.184
357,5.029
358,4.697
359,6.613
360,3.38
361,3.565
362,5.728
363,3.917
364,4.208
365,4.424
366,3.775
367,3.599
368,3.757
369,4.22
370,5.625
371,3.1
372,3.298
373,3.691
374,4.635
375,4.577
376,4.317
377,2.961
378,6.484
379,5.039
380,4.166
381,6.042
382,3.588
383,5.018
384,5.303
385,5.932
386,6.042
387,3.854
388,4.257
389,3.598
390,3.528
391,3.518
392,5.752
393,3.086
394,1.647
395,4.564
396,4.798
397,4.37
398,3.397
399,4.56
400,3.008
401,3.877
402,2.983
403,2.264
404,3.727
405,3.119
406,5.194
407,4.473
408,6.087
409,4.681
410,2.569
411,2.319
412,2.647
413,2.618
414,5.192
415,2.941
416,5.912
417,4.804
418,3.728
419,7.751
420,5.985
421,5.048
422,3.024
423,4.109
424,3.25
425,2.883
426,2.924
427,4.733
428,6.233
429,2.782
430,2.115
431,4.557
432,3.457
433,2.394
434,3.334
435,4.064
436,2.439
437,5.692
438,2.941
439,6.575
440,4.808
441,3.891
442,8.447
443,7.388
444,4.469
445,5.767
446,3.745
447,3.777
448,5.837
449,5.95
