Compound Id	Experimental logarithmic BCF
1	-0.222
2	2.731
3	0.052
4	-0.169
5	1.071
7	2.54
8	2.007
9	1.016
10	0.475
11	0.156
12	0.307
13	-0.199
14	-0.038
15	2.115
16	2.394
17	0.475
18	4.51
19	3.133
20	1.219
21	-0.525
22	-0.222
23	-0.095
24	0.39
25	1.114
26	0.77
27	1.03
28	2.97
29	2.881
30	0.28
31	0.278
32	2.142
33	2.421
34	0.801
35	2.229
36	0.752
37	-0.159
38	2.955
39	2.459
40	1.886
41	0.148
42	0.102
43	1.714
44	0.69
45	0.669
46	0.475
47	0.46
48	0.159
49	1.591
50	2.36
51	0.396
52	3.63
53	2.289
54	-0.247
55	1.677
56	2.671
57	0.232
58	1.905
59	2.256
60	0.614
61	1.148
62	0.493
63	2.414
64	1.022
65	0.179
66	0.818
67	0.724
68	1.685
69	2.32
70	0.7
71	0.387
72	1.972
73	0.641
74	0.522
75	0.757
76	2.407
77	1.465
78	2.637
79	0.801
80	0.097
81	3.094
82	2.518
83	1.001
84	0.947
85	2.734
86	2.67
87	1.208
88	0.674
89	2.829
90	2.426
91	0.08
92	1.434
93	2.367
94	0.779
95	1.213
96	0.631
97	0.319
98	0.228
99	0.446
100	0.338
101	0.241
102	3.15
103	-0.274
104	3.4
105	-0.168
106	3.814
107	0.209
108	1.992
109	2.371
110	4.206
111	2.595
112	0.931
113	0.433
114	1.12
115	1.823
116	2.299
117	3.29
118	0.085
119	0.376
120	0.384
121	1.283
122	1.838
123	3.199
124	2.374
125	3.156
126	0.597
127	2.38
128	3.441
129	0
130	2.631
131	2.029
132	1.926
133	3.978
134	0.078
135	1.299
136	0.737
137	1.78
138	3.12
139	0.489
140	3.6
141	3.33
142	0.456
143	2.82
144	3.52
145	0.199
146	1.017
147	2.757
148	-0.157
149	0.43
150	0.671
151	1.854
152	3.374
153	1.832
154	-0.069
155	0.841
156	1.156
157	0.474
158	3.539
159	3.799
161	-0.801
162	0.849
163	4.182
164	2.486
165	2.72
166	3.697
167	3
168	-0.296
169	1.336
170	2.562
171	0.244
172	4.4
173	0.164
174	0.31
176	2.688
178	0.59
179	-0.09
180	1.734
181	3.3
182	4.577
183	0.468
184	2.282
185	3.748
186	2.119
187	1.326
188	0.892
189	1.477
190	1.039
191	1.57
192	0.682
193	3.975
194	0.38
195	-0.038
196	3.32
197	0.093
198	0.165
199	0.021
200	1.67
201	3.806
202	0.598
203	0.135
204	0.458
205	1.387
206	2.256
207	3.12
208	1.867
209	3.119
210	0.291
211	3.901
212	0.887
213	0.385
214	2.824
215	0.619
216	1.851
217	4.024
218	4.33
219	-0.196
220	2.76
221	0.205
222	0.968
223	1.153
224	-0.248
225	3.53
226	1.514
227	1.591
228	0.667
229	0.18
230	2.871
231	0.392
232	3.32
233	2.114
234	3.33
235	2.51
236	2.217
237	0.857
239	2.73
240	3.806
241	2.88
242	2.691
243	4.71
244	3.11
245	4.637
246	4.361
247	4.17
248	0.829
249	3.647
250	4.46
251	0.52
252	0.498
253	-0.159
254	3.79
255	1.993
256	4.21
257	1.547
258	0.237
259	3.01
260	3.95
261	-0.398
264	1.773
265	-0.035
266	3.536
267	0.995
268	0.085
269	1.789
270	3.477
271	1.556
272	3.627
273	-0.31
274	3.771
275	-1.097
276	2.158
277	0.342
278	1.875
279	3.724
280	4.602
281	2.537
282	-1.398
283	2.446
284	2.447
285	1.875
286	2.555
287	1.591
288	1.553
289	3.58
290	1.875
291	2.204
292	3.44
293	1.623
294	3.32
295	2.462
296	2.531
297	2.699
298	0.903
299	2.537
300	3.702
301	2.068
302	2.199
303	0.923
304	0.38
305	2.563
306	1.875
307	2.997
308	3.477
309	1.996
310	2.352
312	1.845
313	3.204
314	2.556
315	2.196
316	2.217
317	2.763
318	3.355
319	1
320	2.283
321	1.854
322	2.342
323	4.778
324	0.146
325	1.985
326	2
327	1.875
328	3.462
329	2.061
330	1.079
331	1.839
332	1.041
333	-1.155
334	1.079
335	0
336	2.716
337	1.602
339	2
340	1.431
342	3.021
343	2.938
344	3.196
345	1.875
346	2.914
347	1.568
348	2.563
349	1.924
350	1.875
351	0.65
352	-0.523
353	1
354	2.196
355	2
356	2.724
357	1.875
358	2.875
359	2.255
360	4.145
361	0.301
362	0.38
363	1.69
364	0.301
365	1.322
366	2.38
367	-1.155
368	1.732
369	2.217
370	2.158
371	1.875
372	0
373	1.556
374	1.447
375	1.176
376	2.938
377	2.371
378	2.87
379	1.875
380	2.777
381	-1.523
382	2.547
383	0.569
384	1.672
385	3.264
386	4.23
387	3.362
388	1.301
389	3.958
390	0.193
391	4
392	2.526
393	1.568
394	3.041
395	2.818
396	0.301
398	3.074
399	1.875
400	0.491
401	1.875
402	3.214
403	1.806
405	1.845
406	4
407	0.813
408	3.337
409	1.114
410	-0.553
411	3.146
412	0.663
413	3.398
414	2.308
415	3.124
416	-0.114
417	3.955
418	2.768
419	1.545
420	2.38
421	3.703
422	2.241
423	1.851
424	0.779
425	1.191
426	1.987
427	1.279
428	2.064
429	3.947
430	5.079
431	2.079
432	2.787
433	1.875
434	4.543
435	6
436	1.342
437	2.815
438	2.045
439	1.756
440	0.778
441	3.21
442	1.23
443	3.069
444	1.352
445	3.462
446	2.944
447	2.539
448	1.875
449	2
450	1.778
451	2.759
452	1.643
453	-0.097
454	3.041
455	0
456	3.313
457	-0.222
458	3.011
459	2.615
460	2.87
461	0.114
462	3.244
463	2.806
464	2.215
465	3.106
466	1.519
467	1.412
468	-0.097
469	2
471	3.672
472	1.602
473	2.519
474	1.336
475	-0.886
476	2.477
477	0
478	0.25
479	2.342
480	3.14
481	1.439
482	3.477
483	0.322
484	2.871
485	-2
486	1.38
487	2.04
488	2.51
489	2.17
490	1.92
491	1
492	0
494	-1
495	1.27
496	0.51
497	1.76
498	0
499	0.71
500	1.717
502	2.772
504	1.951
505	0.116
506	0.977
507	0.799
508	0.102
509	-0.107
510	0.454
511	1.066
512	1.282
513	0.88
514	0.366
515	0.096
516	0.576
518	0.582
519	0.321
520	3.651
522	2.075
523	0.9
524	2.951
525	2.207
526	1.11
527	0.805
528	1.482
529	2.813
530	3.875
531	2.704
532	-0.139
533	1.074
534	3.316
535	1.47
536	0.318
537	0.698
538	3.995
539	1.03
540	2.5
541	0.913
542	1.811
543	1.199
544	0.48
545	2.511
546	1.77
547	0.641
548	0.913
549	0.69
550	0.779
551	-0.397
552	0.355
553	2.252
554	1.937
555	0.65
556	1.054
557	0.548
558	2.546
559	0.32
560	2.285
561	1.836
562	0.599
563	0.295
564	0.309
565	0.799
566	0.962
567	1.356
568	0.345
569	0.111
570	2.805
571	-0.037
572	1.586
573	0
574	2.71
575	2.016
576	0.5
577	0.827
578	1.843
579	3.177
580	3.038
581	0.195
582	1.129
583	0.351
584	-0.733
585	1.315
586	-0.268
