Compound Id	Experimental BCF class
1	nB
2	nB
3	nB
4	nB
5	nB
7	nB
8	nB
9	nB
10	nB
11	nB
12	nB
13	nB
14	nB
15	nB
16	nB
17	nB
18	B
19	B
20	nB
21	nB
22	nB
23	nB
24	nB
25	nB
26	nB
27	nB
28	nB
29	nB
30	nB
31	nB
32	nB
33	nB
34	nB
35	nB
36	nB
37	nB
38	nB
39	nB
40	nB
41	nB
42	nB
43	nB
44	nB
45	nB
46	nB
47	nB
48	nB
49	nB
50	nB
51	nB
52	B
53	nB
54	nB
55	nB
56	nB
57	nB
58	nB
59	nB
60	nB
61	nB
62	nB
63	nB
64	nB
65	nB
66	nB
67	nB
68	nB
69	nB
70	nB
71	nB
72	nB
73	nB
74	nB
75	nB
76	nB
77	nB
78	nB
79	nB
80	nB
81	B
82	nB
83	nB
84	nB
85	nB
86	nB
87	nB
88	nB
89	nB
90	nB
91	nB
92	nB
93	nB
94	nB
95	nB
96	nB
97	nB
98	nB
99	nB
100	nB
101	nB
102	B
103	nB
104	B
105	nB
106	B
107	nB
108	nB
109	nB
110	B
111	nB
112	nB
113	nB
114	nB
115	nB
116	nB
117	B
118	nB
119	nB
120	nB
121	nB
122	nB
123	B
124	nB
125	B
126	nB
127	nB
128	B
129	nB
130	nB
131	nB
132	nB
133	B
134	nB
135	nB
136	nB
137	nB
138	B
139	nB
140	B
141	B
142	nB
143	nB
144	B
145	nB
146	nB
147	nB
148	nB
149	nB
150	nB
151	nB
152	B
153	nB
154	nB
155	nB
156	nB
157	nB
158	B
159	B
161	nB
162	nB
163	B
164	nB
165	nB
166	B
167	B
168	nB
169	nB
170	nB
171	nB
172	B
173	nB
174	nB
176	nB
178	nB
179	nB
180	nB
181	B
182	B
183	nB
184	nB
185	B
186	nB
187	nB
188	nB
189	nB
190	nB
191	nB
192	nB
193	B
194	nB
195	nB
196	B
197	nB
198	nB
199	nB
200	nB
201	B
202	nB
203	nB
204	nB
205	nB
206	nB
207	B
208	nB
209	B
210	nB
211	B
212	nB
213	nB
214	nB
215	nB
216	nB
217	B
218	B
219	nB
220	nB
221	nB
222	nB
223	nB
224	nB
225	B
226	nB
227	nB
