Compound Id	ChiPath [VP-1]
13837650	2.104
29015	2.155
258	2.023
7714	2.509
7882	5.023
7837	3.523
7812	3.023
932	4.023
6040	2.523
1004	1.523
10445	3.417
6320	1.951
6312	1.879
6146	1.724
21011	2.451
3644	1.413
29000	2.379
175	1.204
6102	0.724
236	2.0
7224	2.384
7673	2.893
6321	1.765
29012	2.904
5730	2.268
7676	2.478
5977	1.964
7787	3.0
7679	2.911
14840	4.914
8569	3.992
121365	4.575
6104	1.604
3168	1.992
12181	2.974
7890	5.914
682	1.023
8525	1.904
7219	2.971
9614	2.1
8560	3.414
7767	2.914
864	0.447
6335	1.316
14672	2.112
7674	3.394
7641	2.821
11752	2.015
11815	1.585
13014	3.045
6334	1.454
28994	1.024
12814	2.545
7849	4.414
349	3.914
6967	2.827
7712	2.414
7636	2.122
7521	2.821
29080	3.434
7737	2.077
1108	2.411
13619	5.414
