Compound Id	ZagrebIndex
13837650	10.0
29015	24.0
258	14.0
7714	14.0
7882	38.0
7837	26.0
7812	22.0
932	30.0
6040	18.0
1004	10.0
10445	34.0
6320	16.0
6312	16.0
6146	20.0
21011	20.0
3644	12.0
29000	20.0
175	12.0
6102	6.0
236	24.0
7224	34.0
7673	30.0
6321	16.0
29012	28.0
5730	20.0
7676	30.0
5977	12.0
7787	24.0
7679	30.0
14840	34.0
8569	30.0
121365	40.0
6104	6.0
3168	14.0
12181	30.0
7890	42.0
682	6.0
8525	20.0
7219	34.0
9614	30.0
8560	22.0
7767	18.0
864	2.0
6335	16.0
14672	24.0
7674	30.0
7641	36.0
11752	20.0
11815	14.0
13014	36.0
6334	16.0
28994	10.0
12814	32.0
7849	30.0
349	26.0
6967	36.0
7712	14.0
7636	32.0
7521	36.0
29080	34.0
7737	20.0
1108	30.0
13619	38.0
