Compound Id	Logarithmic octanol-water distribution coeffiecient at pH 9
B1	1.15
B2	3.98
B3	2.86
B4	1.22
B5	3.8
B6	-0.33
B7	-0.2
B8	1.79
B9	1.45
B10	3.23
B11	2.58
B12	2.99
B13	-0.29
B14	2.91
B15	2.43
B16	3.38
B17	2.84
B18	2.67
B19	2.96
B20	2.04
B21	2.9
B22	3.01
B23	2.79
B24	0.56
B25	3.31
B26	2.41
B27	3.62
B28	0.75
B29	3.87
B30	3.34
B31	-1.1
B32	2.82
B33	1.07
B34	1.01
B35	-0.46
B36	2.03
B37	3.97
B38	1
B39	2.49
B40	2.34
B41	1.42
B42	3.08
B43	2.31
B44	-2.22
B45	3.63
B46	2.37
B47	0.94
B48	1.6
B49	3.96
B50	2.81
B51	0.68
B52	2.19
B53	0.89
B54	-0.92
B55	-1.19
B56	2.36
B57	0.51
B58	-0.58
B59	2.01
B60	3.13
B61	4.28
