Compound Id	Logarithmic octanol-water distribution coefficient at pH 7.4
B1	1.15
B2	2.48
B3	1.64
B4	1.22
B5	2.55
B6	-1.8
B7	-1.68
B8	0.31
B9	-0.03
B10	2.07
B11	0.88
B12	1.52
B13	-0.34
B14	1.41
B15	1.66
B16	2.89
B17	1.37
B18	1.89
B19	1.46
B20	0.57
B21	2.75
B22	1.51
B23	2.79
B24	0.56
B25	1.83
B26	1.05
B27	2.93
B28	0.71
B29	2.48
B30	3.16
B31	-1.1
B32	2.33
B33	-0.25
B34	-0.47
B35	-0.46
B36	2.03
B37	3.92
B38	-0.07
B39	2.49
B40	2.11
B41	-0.06
B42	3.06
B43	0.83
B44	-2.5
B45	2.82
B46	0.91
B47	-0.53
B48	0.31
B49	2.64
B50	1.34
B51	-0.78
B52	0.86
B53	0.76
B54	-0.92
B55	-1.19
B56	1.25
B57	-0.97
B58	-0.58
B59	1.68
B60	2.96
B61	2.79
