Compound Id	PF_C3-1-C3
CHEMBL101311	14
CHEMBL1081312	10
CHEMBL1084546	12
CHEMBL1164180	15
CHEMBL117697	13
CHEMBL1178727	8
CHEMBL1233887	13
CHEMBL1421720	9
CHEMBL1825138	13
CHEMBL1870106	7
CHEMBL189963	10
CHEMBL191003	13
CHEMBL1949855	7
CHEMBL1964382	12
CHEMBL1964441	19
CHEMBL1964718	4
CHEMBL1965660	14
CHEMBL1966799	4
CHEMBL1967252	12
CHEMBL1967612	7
CHEMBL1967878	9
CHEMBL1967992	17
CHEMBL1967998	15
CHEMBL1968130	2
CHEMBL1969151	9
CHEMBL1970317	22
CHEMBL1970352	20
CHEMBL1970873	13
CHEMBL1971289	9
CHEMBL1971519	14
CHEMBL1971534	7
CHEMBL1972220	22
CHEMBL1972346	15
CHEMBL1972355	16
CHEMBL1972934	4
CHEMBL1973013	3
CHEMBL1973516	15
CHEMBL1973720	9
CHEMBL1973793	21
CHEMBL1973868	14
CHEMBL1974328	9
CHEMBL1974617	10
CHEMBL1974875	5
CHEMBL1975212	11
CHEMBL1975921	4
CHEMBL1975927	16
CHEMBL1976040	14
CHEMBL1976420	11
CHEMBL1976872	6
CHEMBL1977138	14
CHEMBL1977749	17
CHEMBL1977931	12
CHEMBL1978166	19
CHEMBL1978167	13
CHEMBL1978195	14
CHEMBL1979690	15
CHEMBL1980329	20
CHEMBL1980391	16
CHEMBL1980407	24
CHEMBL1980763	10
CHEMBL1980995	21
CHEMBL1981047	15
CHEMBL1981133	22
CHEMBL1981492	6
CHEMBL1982711	14
CHEMBL1983268	20
CHEMBL1983348	15
CHEMBL1983575	13
CHEMBL1983630	11
CHEMBL1983715	10
CHEMBL1983923	13
CHEMBL1983980	22
CHEMBL1984296	20
CHEMBL1984402	11
CHEMBL1984500	7
CHEMBL1984760	11
CHEMBL1985042	11
CHEMBL1985206	13
CHEMBL1986590	18
CHEMBL1986943	9
CHEMBL1987535	11
CHEMBL1988076	25
CHEMBL1988437	21
CHEMBL1988581	6
CHEMBL1988622	13
CHEMBL1988692	12
CHEMBL1988805	7
CHEMBL1989267	25
CHEMBL1989423	9
CHEMBL1989471	12
CHEMBL1991078	22
CHEMBL1991410	18
CHEMBL1991674	9
CHEMBL1991734	18
CHEMBL1991867	2
CHEMBL1992073	5
CHEMBL1992125	12
CHEMBL1992581	17
CHEMBL1992607	3
CHEMBL1992673	7
CHEMBL1992937	10
CHEMBL1993335	13
CHEMBL1993661	14
CHEMBL1993877	4
CHEMBL1993904	20
CHEMBL1994318	20
CHEMBL1994526	4
CHEMBL1994555	12
CHEMBL1994808	8
CHEMBL1995211	11
CHEMBL1995811	22
CHEMBL1995916	10
CHEMBL1996048	16
CHEMBL1996176	13
CHEMBL1996510	20
CHEMBL1996646	13
CHEMBL1996649	20
CHEMBL1996702	21
CHEMBL1997007	11
CHEMBL1997041	11
CHEMBL1997119	12
CHEMBL1997611	9
CHEMBL1997846	9
CHEMBL1997924	12
CHEMBL1998470	11
CHEMBL1998953	11
CHEMBL1999120	5
CHEMBL1999414	20
CHEMBL1999484	10
CHEMBL2000029	22
CHEMBL2000568	14
CHEMBL2000879	8
CHEMBL2001613	7
CHEMBL2001641	8
CHEMBL2001704	6
CHEMBL2002099	7
CHEMBL2002105	5
CHEMBL2002182	11
CHEMBL2002992	6
CHEMBL2004033	6
CHEMBL2004290	22
CHEMBL2004515	11
CHEMBL2005449	10
CHEMBL2005478	13
CHEMBL2006564	8
CHEMBL2006765	11
CHEMBL2007421	8
CHEMBL2007559	11
CHEMBL2007574	9
CHEMBL21156	14
CHEMBL235157	17
CHEMBL242865	15
CHEMBL24828	13
CHEMBL289959	13
CHEMBL379975	22
CHEMBL38380	9
CHEMBL422897	16
CHEMBL451401	8
CHEMBL458997	15
CHEMBL475251	12
CHEMBL482538	13
CHEMBL483158	24
CHEMBL49120	18
CHEMBL521851	12
CHEMBL522892	16
CHEMBL550418	20
CHEMBL565612	20
CHEMBL572878	10
CHEMBL574738	14
CHEMBL592030	21
CHEMBL1727312	13
CHEMBL1879463	25
CHEMBL1964948	20
CHEMBL1965838	1
CHEMBL1966175	5
CHEMBL1970340	14
CHEMBL1973359	10
CHEMBL1975903	15
CHEMBL1978713	13
CHEMBL1980297	22
CHEMBL1980376	14
CHEMBL1982753	11
CHEMBL1983111	8
CHEMBL1985681	10
CHEMBL1989708	22
CHEMBL1992371	13
CHEMBL1994159	12
CHEMBL1995765	6
CHEMBL1997051	25
CHEMBL1997335	19
CHEMBL2001149	26
CHEMBL2002586	10
CHEMBL2003785	8
CHEMBL2004118	10
CHEMBL225519	9
CHEMBL234085	4
CHEMBL262623	9
CHEMBL461876	17
