Compound Id	TF_C3-2-C3-4-C3-4
CHEMBL101311	5
CHEMBL1081312	6
CHEMBL1084546	3
CHEMBL1164180	4
CHEMBL117697	6
CHEMBL1178727	1
CHEMBL1233887	5
CHEMBL1421720	0
CHEMBL1825138	3
CHEMBL1870106	1
CHEMBL189963	6
CHEMBL191003	2
CHEMBL1949855	2
CHEMBL1964382	6
CHEMBL1964441	10
CHEMBL1964718	1
CHEMBL1965660	7
CHEMBL1966799	0
CHEMBL1967252	7
CHEMBL1967612	0
CHEMBL1967878	2
CHEMBL1967992	10
CHEMBL1967998	5
CHEMBL1968130	0
CHEMBL1969151	6
CHEMBL1970317	14
CHEMBL1970352	22
CHEMBL1970873	5
CHEMBL1971289	2
CHEMBL1971519	11
CHEMBL1971534	0
CHEMBL1972220	14
CHEMBL1972346	4
CHEMBL1972355	7
CHEMBL1972934	0
CHEMBL1973013	1
CHEMBL1973516	5
CHEMBL1973720	6
CHEMBL1973793	6
CHEMBL1973868	13
CHEMBL1974328	2
CHEMBL1974617	4
CHEMBL1974875	0
CHEMBL1975212	8
CHEMBL1975921	0
CHEMBL1975927	10
CHEMBL1976040	5
CHEMBL1976420	3
CHEMBL1976872	0
CHEMBL1977138	5
CHEMBL1977749	12
CHEMBL1977931	9
CHEMBL1978166	10
CHEMBL1978167	5
CHEMBL1978195	9
CHEMBL1979690	5
CHEMBL1980329	12
CHEMBL1980391	10
CHEMBL1980407	11
CHEMBL1980763	2
CHEMBL1980995	13
CHEMBL1981047	2
CHEMBL1981133	9
CHEMBL1981492	2
CHEMBL1982711	9
CHEMBL1983268	8
CHEMBL1983348	1
CHEMBL1983575	1
CHEMBL1983630	5
CHEMBL1983715	3
CHEMBL1983923	4
CHEMBL1983980	5
CHEMBL1984296	13
CHEMBL1984402	5
CHEMBL1984500	0
CHEMBL1984760	2
CHEMBL1985042	3
CHEMBL1985206	0
CHEMBL1986590	10
CHEMBL1986943	6
CHEMBL1987535	2
CHEMBL1988076	11
CHEMBL1988437	10
CHEMBL1988581	3
CHEMBL1988622	4
CHEMBL1988692	1
CHEMBL1988805	4
CHEMBL1989267	14
CHEMBL1989423	0
CHEMBL1989471	7
CHEMBL1991078	6
CHEMBL1991410	11
CHEMBL1991674	5
CHEMBL1991734	28
CHEMBL1991867	0
CHEMBL1992073	3
CHEMBL1992125	4
CHEMBL1992581	7
CHEMBL1992607	0
CHEMBL1992673	3
CHEMBL1992937	1
CHEMBL1993335	5
CHEMBL1993661	5
CHEMBL1993877	0
CHEMBL1993904	10
CHEMBL1994318	9
CHEMBL1994526	1
CHEMBL1994555	3
CHEMBL1994808	1
CHEMBL1995211	8
CHEMBL1995811	6
CHEMBL1995916	2
CHEMBL1996048	6
CHEMBL1996176	4
CHEMBL1996510	21
CHEMBL1996646	3
CHEMBL1996649	13
CHEMBL1996702	13
CHEMBL1997007	2
CHEMBL1997041	8
CHEMBL1997119	10
CHEMBL1997611	7
CHEMBL1997846	5
CHEMBL1997924	2
CHEMBL1998470	10
CHEMBL1998953	8
CHEMBL1999120	0
CHEMBL1999414	13
CHEMBL1999484	3
CHEMBL2000029	8
CHEMBL2000568	9
CHEMBL2000879	2
CHEMBL2001613	0
CHEMBL2001641	2
CHEMBL2001704	2
CHEMBL2002099	7
CHEMBL2002105	0
CHEMBL2002182	7
CHEMBL2002992	2
CHEMBL2004033	0
CHEMBL2004290	14
CHEMBL2004515	8
CHEMBL2005449	2
CHEMBL2005478	5
CHEMBL2006564	3
CHEMBL2006765	2
CHEMBL2007421	1
CHEMBL2007559	2
CHEMBL2007574	6
CHEMBL21156	14
CHEMBL235157	24
CHEMBL242865	6
CHEMBL24828	6
CHEMBL289959	6
CHEMBL379975	22
CHEMBL38380	2
CHEMBL422897	10
CHEMBL451401	2
CHEMBL458997	6
CHEMBL475251	5
CHEMBL482538	12
CHEMBL483158	14
CHEMBL49120	11
CHEMBL521851	5
CHEMBL522892	7
CHEMBL550418	13
CHEMBL565612	21
CHEMBL572878	4
CHEMBL574738	5
CHEMBL592030	16
CHEMBL1727312	5
CHEMBL1879463	28
CHEMBL1964948	9
CHEMBL1965838	0
CHEMBL1966175	3
CHEMBL1970340	11
CHEMBL1973359	2
CHEMBL1975903	7
CHEMBL1978713	1
CHEMBL1980297	14
CHEMBL1980376	11
CHEMBL1982753	4
CHEMBL1983111	2
CHEMBL1985681	7
CHEMBL1989708	14
CHEMBL1992371	6
CHEMBL1994159	6
CHEMBL1995765	1
CHEMBL1997051	11
CHEMBL1997335	15
CHEMBL2001149	10
CHEMBL2002586	2
CHEMBL2003785	1
CHEMBL2004118	2
CHEMBL225519	3
CHEMBL234085	0
CHEMBL262623	2
CHEMBL461876	8
