Compound Id	D0000019
CHEMBL101311	1.015043467
CHEMBL1081312	1.111028911
CHEMBL1084546	1.005707219
CHEMBL1164180	0.981880625
CHEMBL117697	1.101144472
CHEMBL1178727	0.9948935185
CHEMBL1233887	1.088202175
CHEMBL1421720	1.073385394
CHEMBL1825138	0.9898450492
CHEMBL1870106	0.9957280392
CHEMBL189963	1.033691899
CHEMBL191003	1.024681522
CHEMBL1949855	1.0871578
CHEMBL1964382	1.006698579
CHEMBL1964441	1.028029803
CHEMBL1964718	1.032235833
CHEMBL1965660	1.020555833
CHEMBL1966799	1.097966444
CHEMBL1967252	1.070963781
CHEMBL1967612	0.9557151818
CHEMBL1967878	1.007001901
CHEMBL1967992	1.0840455
CHEMBL1967998	1.036995677
CHEMBL1968130	1.047943889
CHEMBL1969151	1.075755769
CHEMBL1970317	1.013087954
CHEMBL1970352	1.042708038
CHEMBL1970873	0.9603538684
CHEMBL1971289	1.066304818
CHEMBL1971519	1.03810597
CHEMBL1971534	1.088048476
CHEMBL1972220	1.005482575
CHEMBL1972346	1.154734613
CHEMBL1972355	1.098418791
CHEMBL1972934	1.176585313
CHEMBL1973013	1.063263647
CHEMBL1973516	1.064532485
CHEMBL1973720	1.0901295
CHEMBL1973793	1.010766184
CHEMBL1973868	1.09582025
CHEMBL1974328	0.9906539464
CHEMBL1974617	1.082634517
CHEMBL1974875	0.9646077037
CHEMBL1975212	1.077947867
CHEMBL1975921	0.9544856
CHEMBL1975927	1.061299052
CHEMBL1976040	1.013913519
CHEMBL1976420	1.019688043
CHEMBL1976872	1.027264154
CHEMBL1977138	1.064013627
CHEMBL1977749	1.069206595
CHEMBL1977931	1.087315559
CHEMBL1978166	1.016465964
CHEMBL1978167	1.103164472
CHEMBL1978195	1.037989143
CHEMBL1979690	1.040130258
CHEMBL1980329	1.057066511
CHEMBL1980391	1.055369109
CHEMBL1980407	1.038043706
CHEMBL1980763	1.020805912
CHEMBL1980995	1.040548746
CHEMBL1981047	0.9947035526
CHEMBL1981133	1.059951328
CHEMBL1981492	1.052546731
CHEMBL1982711	1.059141914
CHEMBL1983268	1.020050494
CHEMBL1983348	1.069519621
CHEMBL1983575	1.002942974
CHEMBL1983630	0.986308
CHEMBL1983715	0.9985757015
CHEMBL1983923	1.018308869
CHEMBL1983980	0.9874854675
CHEMBL1984296	1.044695547
CHEMBL1984402	1.008315216
CHEMBL1984500	0.9601444091
CHEMBL1984760	1.022068796
CHEMBL1985042	1.005982778
CHEMBL1985206	1.071187233
CHEMBL1986590	1.070814231
CHEMBL1986943	1.092389422
CHEMBL1987535	1.06739484
CHEMBL1988076	1.006474829
CHEMBL1988437	1.057149655
CHEMBL1988581	1.058896765
CHEMBL1988622	1.065604176
CHEMBL1988692	1.068427875
CHEMBL1988805	1.188608963
CHEMBL1989267	1.067475568
CHEMBL1989423	0.9982409231
CHEMBL1989471	1.095980368
CHEMBL1991078	0.9990827857
CHEMBL1991410	1.071015935
CHEMBL1991674	1.07059613
CHEMBL1991734	0.9940796346
CHEMBL1991867	1.016250125
CHEMBL1992073	0.9899565
CHEMBL1992125	1.042368836
CHEMBL1992581	1.011780922
CHEMBL1992607	1.098800304
CHEMBL1992673	1.0618602
CHEMBL1992937	1.082200722
CHEMBL1993335	1.101987389
