Compound Id	D0000119
CHEMBL101311	0.6112757387
CHEMBL1081312	0.9087696898
CHEMBL1084546	0.7641296235
CHEMBL1164180	0.5168086264
CHEMBL117697	0.5107211179
CHEMBL1178727	0.7776606771
CHEMBL1233887	0.6035682242
CHEMBL1421720	1.039201611
CHEMBL1825138	0.5172436631
CHEMBL1870106	0.8857048537
CHEMBL189963	0.9126467069
CHEMBL191003	0.8872328094
CHEMBL1949855	0.7057909203
CHEMBL1964382	0.3968547267
CHEMBL1964441	0.9285223013
CHEMBL1964718	0.8608783994
CHEMBL1965660	0.966995418
CHEMBL1966799	0.9327121962
CHEMBL1967252	0.6317993397
CHEMBL1967612	0.4627477108
CHEMBL1967878	0.7125639431
CHEMBL1967992	0.600722423
CHEMBL1967998	0.8077867352
CHEMBL1968130	1.224929229
CHEMBL1969151	0.624419992
CHEMBL1970317	1.04334856
CHEMBL1970352	0.1940575447
CHEMBL1970873	0.543620382
CHEMBL1971289	1.161755929
CHEMBL1971519	0.5696164434
CHEMBL1971534	1.135646523
CHEMBL1972220	1.077751671
CHEMBL1972346	1.007086918
CHEMBL1972355	0.7024555039
CHEMBL1972934	1.159439698
CHEMBL1973013	0.833934932
CHEMBL1973516	1.04969717
CHEMBL1973720	0.7093621426
CHEMBL1973793	0.2445528107
CHEMBL1973868	0.7324665588
CHEMBL1974328	0.839261928
CHEMBL1974617	0.6746510522
CHEMBL1974875	1.145632054
CHEMBL1975212	0.9765679761
CHEMBL1975921	0.9850582127
CHEMBL1975927	0.310653784
CHEMBL1976040	0.8895305856
CHEMBL1976420	0.6394781655
CHEMBL1976872	0.7603105191
CHEMBL1977138	0.9557927644
CHEMBL1977749	0.1964832487
CHEMBL1977931	0.7824965893
CHEMBL1978166	0.8707870741
CHEMBL1978167	0.5900152984
CHEMBL1978195	0.9655605537
CHEMBL1979690	0.8452780626
CHEMBL1980329	0.7112296792
CHEMBL1980391	0.5142387297
CHEMBL1980407	0.7302327194
CHEMBL1980763	0.4134375343
CHEMBL1980995	0.3087056238
CHEMBL1981047	0.7716822263
CHEMBL1981133	0.6240675077
CHEMBL1981492	0.5213397497
CHEMBL1982711	0.8042288987
CHEMBL1983268	0.6056288482
CHEMBL1983348	0.9905233237
CHEMBL1983575	0.7904790867
CHEMBL1983630	0.7014911241
CHEMBL1983715	1.033927371
CHEMBL1983923	0.7100105465
CHEMBL1983980	1.277127012
CHEMBL1984296	0.3581662175
CHEMBL1984402	0.9144498431
CHEMBL1984500	0.472771918
