Compound Id	TF_C3-1-C3-7-C3-8
CHEMBL101311	16
CHEMBL1081312	2
CHEMBL1084546	11
CHEMBL1164180	20
CHEMBL117697	12
CHEMBL1178727	0
CHEMBL1233887	4
CHEMBL1421720	8
CHEMBL1825138	19
CHEMBL1870106	0
CHEMBL189963	12
CHEMBL191003	16
CHEMBL1949855	0
CHEMBL1964382	4
CHEMBL1964441	26
CHEMBL1964718	0
CHEMBL1965660	9
CHEMBL1966799	0
CHEMBL1967252	0
CHEMBL1967612	0
CHEMBL1967878	4
CHEMBL1967992	26
CHEMBL1967998	16
CHEMBL1968130	0
CHEMBL1969151	0
CHEMBL1970317	37
CHEMBL1970352	16
CHEMBL1970873	0
CHEMBL1971289	0
CHEMBL1971519	0
CHEMBL1971534	0
CHEMBL1972220	37
CHEMBL1972346	12
CHEMBL1972355	16
CHEMBL1972934	0
CHEMBL1973013	0
CHEMBL1973516	16
CHEMBL1973720	0
CHEMBL1973793	26
CHEMBL1973868	4
CHEMBL1974328	3
CHEMBL1974617	0
CHEMBL1974875	0
CHEMBL1975212	2
CHEMBL1975921	0
CHEMBL1975927	22
CHEMBL1976040	18
CHEMBL1976420	4
CHEMBL1976872	0
CHEMBL1977138	15
CHEMBL1977749	18
CHEMBL1977931	0
CHEMBL1978166	26
CHEMBL1978167	4
CHEMBL1978195	3
CHEMBL1979690	16
CHEMBL1980329	20
CHEMBL1980391	4
CHEMBL1980407	34
CHEMBL1980763	10
CHEMBL1980995	16
CHEMBL1981047	13
CHEMBL1981133	20
CHEMBL1981492	0
CHEMBL1982711	5
CHEMBL1983268	30
CHEMBL1983348	18
CHEMBL1983575	16
CHEMBL1983630	2
CHEMBL1983715	15
CHEMBL1983923	16
CHEMBL1983980	46
CHEMBL1984296	37
CHEMBL1984402	0
CHEMBL1984500	0
CHEMBL1984760	12
CHEMBL1985042	5
CHEMBL1985206	6
CHEMBL1986590	20
CHEMBL1986943	0
CHEMBL1987535	3
CHEMBL1988076	54
CHEMBL1988437	30
CHEMBL1988581	0
CHEMBL1988622	13
CHEMBL1988692	0
CHEMBL1988805	0
CHEMBL1989267	43
CHEMBL1989423	0
CHEMBL1989471	0
CHEMBL1991078	48
CHEMBL1991410	28
CHEMBL1991674	3
CHEMBL1991734	8
CHEMBL1991867	0
CHEMBL1992073	0
CHEMBL1992125	12
CHEMBL1992581	22
CHEMBL1992607	0
CHEMBL1992673	0
CHEMBL1992937	12
CHEMBL1993335	4
CHEMBL1993661	16
CHEMBL1993877	0
CHEMBL1993904	21
CHEMBL1994318	28
CHEMBL1994526	0
CHEMBL1994555	4
CHEMBL1994808	0
CHEMBL1995211	2
CHEMBL1995811	48
CHEMBL1995916	0
CHEMBL1996048	9
CHEMBL1996176	5
CHEMBL1996510	27
CHEMBL1996646	22
CHEMBL1996649	29
CHEMBL1996702	28
CHEMBL1997007	12
CHEMBL1997041	0
CHEMBL1997119	0
CHEMBL1997611	1
CHEMBL1997846	3
CHEMBL1997924	21
CHEMBL1998470	1
CHEMBL1998953	2
CHEMBL1999120	0
CHEMBL1999414	29
CHEMBL1999484	13
CHEMBL2000029	58
CHEMBL2000568	5
CHEMBL2000879	0
CHEMBL2001613	0
CHEMBL2001641	0
CHEMBL2001704	0
CHEMBL2002099	0
CHEMBL2002105	0
CHEMBL2002182	0
CHEMBL2002992	0
CHEMBL2004033	0
CHEMBL2004290	37
CHEMBL2004515	0
CHEMBL2005449	8
CHEMBL2005478	4
CHEMBL2006564	6
CHEMBL2006765	12
CHEMBL2007421	11
CHEMBL2007559	13
CHEMBL2007574	0
CHEMBL21156	0
CHEMBL235157	4
CHEMBL242865	17
CHEMBL24828	12
CHEMBL289959	12
CHEMBL379975	21
CHEMBL38380	0
CHEMBL422897	12
CHEMBL451401	0
CHEMBL458997	17
CHEMBL475251	12
CHEMBL482538	0
CHEMBL483158	41
CHEMBL49120	19
CHEMBL521851	3
CHEMBL522892	20
CHEMBL550418	24
CHEMBL565612	27
CHEMBL572878	11
CHEMBL574738	21
CHEMBL592030	28
CHEMBL1727312	0
CHEMBL1879463	48
CHEMBL1964948	28
CHEMBL1965838	0
CHEMBL1966175	1
CHEMBL1970340	0
CHEMBL1973359	3
CHEMBL1975903	25
CHEMBL1978713	14
CHEMBL1980297	37
CHEMBL1980376	0
CHEMBL1982753	4
CHEMBL1983111	6
CHEMBL1985681	4
CHEMBL1989708	37
CHEMBL1992371	16
CHEMBL1994159	5
CHEMBL1995765	0
CHEMBL1997051	54
CHEMBL1997335	16
CHEMBL2001149	24
CHEMBL2002586	11
CHEMBL2003785	7
CHEMBL2004118	10
CHEMBL225519	0
CHEMBL234085	1
CHEMBL262623	2
CHEMBL461876	26
