Compound Id	PF_C3-8-C3
CHEMBL101311	9
CHEMBL1081312	2
CHEMBL1084546	9
CHEMBL1164180	10
CHEMBL117697	4
CHEMBL1178727	0
CHEMBL1233887	4
CHEMBL1421720	8
CHEMBL1825138	9
CHEMBL1870106	0
CHEMBL189963	7
CHEMBL191003	9
CHEMBL1949855	0
CHEMBL1964382	1
CHEMBL1964441	12
CHEMBL1964718	0
CHEMBL1965660	5
CHEMBL1966799	0
CHEMBL1967252	0
CHEMBL1967612	0
CHEMBL1967878	3
CHEMBL1967992	12
CHEMBL1967998	9
CHEMBL1968130	0
CHEMBL1969151	0
CHEMBL1970317	17
CHEMBL1970352	5
CHEMBL1970873	0
CHEMBL1971289	0
CHEMBL1971519	0
CHEMBL1971534	0
CHEMBL1972220	17
CHEMBL1972346	4
CHEMBL1972355	8
CHEMBL1972934	0
CHEMBL1973013	0
CHEMBL1973516	9
CHEMBL1973720	0
CHEMBL1973793	12
CHEMBL1973868	2
CHEMBL1974328	1
CHEMBL1974617	0
CHEMBL1974875	0
CHEMBL1975212	1
CHEMBL1975921	0
CHEMBL1975927	13
CHEMBL1976040	11
CHEMBL1976420	2
CHEMBL1976872	0
CHEMBL1977138	10
CHEMBL1977749	8
CHEMBL1977931	0
CHEMBL1978166	12
CHEMBL1978167	4
CHEMBL1978195	1
CHEMBL1979690	9
CHEMBL1980329	9
CHEMBL1980391	1
CHEMBL1980407	18
CHEMBL1980763	5
CHEMBL1980995	8
CHEMBL1981047	8
CHEMBL1981133	12
CHEMBL1981492	0
CHEMBL1982711	2
CHEMBL1983268	13
CHEMBL1983348	8
CHEMBL1983575	9
CHEMBL1983630	1
CHEMBL1983715	7
CHEMBL1983923	8
CHEMBL1983980	24
CHEMBL1984296	17
CHEMBL1984402	0
CHEMBL1984500	0
CHEMBL1984760	7
CHEMBL1985042	2
CHEMBL1985206	4
CHEMBL1986590	8
CHEMBL1986943	0
CHEMBL1987535	3
CHEMBL1988076	28
CHEMBL1988437	14
CHEMBL1988581	0
CHEMBL1988622	7
CHEMBL1988692	0
CHEMBL1988805	0
CHEMBL1989267	21
CHEMBL1989423	0
CHEMBL1989471	0
CHEMBL1991078	22
CHEMBL1991410	13
CHEMBL1991674	1
CHEMBL1991734	2
CHEMBL1991867	0
CHEMBL1992073	0
CHEMBL1992125	8
CHEMBL1992581	10
CHEMBL1992607	0
CHEMBL1992673	0
CHEMBL1992937	6
CHEMBL1993335	4
CHEMBL1993661	9
CHEMBL1993877	0
CHEMBL1993904	11
CHEMBL1994318	16
CHEMBL1994526	0
CHEMBL1994555	2
CHEMBL1994808	0
CHEMBL1995211	1
CHEMBL1995811	22
CHEMBL1995916	0
CHEMBL1996048	3
CHEMBL1996176	2
CHEMBL1996510	13
CHEMBL1996646	9
CHEMBL1996649	13
CHEMBL1996702	13
CHEMBL1997007	7
CHEMBL1997041	0
CHEMBL1997119	0
CHEMBL1997611	1
CHEMBL1997846	1
CHEMBL1997924	11
CHEMBL1998470	1
CHEMBL1998953	1
CHEMBL1999120	0
CHEMBL1999414	13
CHEMBL1999484	6
CHEMBL2000029	25
CHEMBL2000568	2
CHEMBL2000879	0
CHEMBL2001613	0
CHEMBL2001641	0
CHEMBL2001704	0
CHEMBL2002099	0
CHEMBL2002105	0
CHEMBL2002182	0
CHEMBL2002992	0
CHEMBL2004033	0
CHEMBL2004290	17
CHEMBL2004515	0
CHEMBL2005449	5
CHEMBL2005478	4
CHEMBL2006564	3
CHEMBL2006765	7
CHEMBL2007421	6
CHEMBL2007559	6
CHEMBL2007574	0
CHEMBL21156	0
CHEMBL235157	1
CHEMBL242865	10
CHEMBL24828	4
CHEMBL289959	4
CHEMBL379975	10
CHEMBL38380	0
CHEMBL422897	4
CHEMBL451401	0
CHEMBL458997	10
CHEMBL475251	9
CHEMBL482538	0
CHEMBL483158	20
CHEMBL49120	10
CHEMBL521851	1
CHEMBL522892	10
CHEMBL550418	11
CHEMBL565612	13
CHEMBL572878	6
CHEMBL574738	9
CHEMBL592030	14
CHEMBL1727312	0
CHEMBL1879463	21
CHEMBL1964948	16
CHEMBL1965838	0
CHEMBL1966175	1
CHEMBL1970340	0
CHEMBL1973359	2
CHEMBL1975903	11
CHEMBL1978713	9
CHEMBL1980297	17
CHEMBL1980376	0
CHEMBL1982753	1
CHEMBL1983111	3
CHEMBL1985681	1
CHEMBL1989708	17
CHEMBL1992371	9
CHEMBL1994159	2
CHEMBL1995765	0
CHEMBL1997051	28
CHEMBL1997335	5
CHEMBL2001149	13
CHEMBL2002586	4
CHEMBL2003785	4
CHEMBL2004118	5
CHEMBL225519	0
CHEMBL234085	1
CHEMBL262623	2
CHEMBL461876	17
