Compound Id	TF_C3-1-C3-3-N3-4
CHEMBL101311	6
CHEMBL1081312	5
CHEMBL1084546	9
CHEMBL1164180	8
CHEMBL117697	4
CHEMBL1178727	1
CHEMBL1233887	6
CHEMBL1421720	3
CHEMBL1825138	4
CHEMBL1870106	1
CHEMBL189963	5
CHEMBL191003	7
CHEMBL1949855	2
CHEMBL1964382	0
CHEMBL1964441	12
CHEMBL1964718	1
CHEMBL1965660	8
CHEMBL1966799	2
CHEMBL1967252	2
CHEMBL1967612	2
CHEMBL1967878	7
CHEMBL1967992	5
CHEMBL1967998	11
CHEMBL1968130	2
CHEMBL1969151	6
CHEMBL1970317	14
CHEMBL1970352	6
CHEMBL1970873	8
CHEMBL1971289	1
CHEMBL1971519	6
CHEMBL1971534	1
CHEMBL1972220	14
CHEMBL1972346	0
CHEMBL1972355	4
CHEMBL1972934	1
CHEMBL1973013	2
CHEMBL1973516	11
CHEMBL1973720	6
CHEMBL1973793	5
CHEMBL1973868	0
CHEMBL1974328	4
CHEMBL1974617	2
CHEMBL1974875	1
CHEMBL1975212	2
CHEMBL1975921	3
CHEMBL1975927	6
CHEMBL1976040	10
CHEMBL1976420	3
CHEMBL1976872	1
CHEMBL1977138	6
CHEMBL1977749	0
CHEMBL1977931	1
CHEMBL1978166	12
CHEMBL1978167	6
CHEMBL1978195	1
CHEMBL1979690	11
CHEMBL1980329	6
CHEMBL1980391	3
CHEMBL1980407	7
CHEMBL1980763	6
CHEMBL1980995	15
CHEMBL1981047	6
CHEMBL1981133	4
CHEMBL1981492	1
CHEMBL1982711	6
CHEMBL1983268	10
CHEMBL1983348	9
CHEMBL1983575	6
CHEMBL1983630	2
CHEMBL1983715	8
CHEMBL1983923	2
CHEMBL1983980	9
CHEMBL1984296	5
CHEMBL1984402	4
CHEMBL1984500	2
CHEMBL1984760	6
CHEMBL1985042	7
CHEMBL1985206	3
CHEMBL1986590	6
CHEMBL1986943	6
CHEMBL1987535	5
CHEMBL1988076	13
CHEMBL1988437	5
CHEMBL1988581	2
CHEMBL1988622	1
CHEMBL1988692	6
CHEMBL1988805	4
CHEMBL1989267	10
CHEMBL1989423	2
CHEMBL1989471	4
CHEMBL1991078	10
CHEMBL1991410	9
CHEMBL1991674	3
CHEMBL1991734	8
CHEMBL1991867	0
CHEMBL1992073	1
CHEMBL1992125	4
CHEMBL1992581	4
CHEMBL1992607	0
CHEMBL1992673	4
CHEMBL1992937	9
CHEMBL1993335	6
CHEMBL1993661	8
CHEMBL1993877	1
CHEMBL1993904	8
CHEMBL1994318	14
CHEMBL1994526	0
CHEMBL1994555	3
CHEMBL1994808	0
CHEMBL1995211	4
CHEMBL1995811	10
CHEMBL1995916	3
CHEMBL1996048	9
CHEMBL1996176	5
CHEMBL1996510	11
CHEMBL1996646	7
CHEMBL1996649	13
CHEMBL1996702	12
CHEMBL1997007	6
CHEMBL1997041	1
CHEMBL1997119	5
CHEMBL1997611	8
CHEMBL1997846	3
CHEMBL1997924	6
CHEMBL1998470	7
CHEMBL1998953	4
CHEMBL1999120	3
CHEMBL1999414	13
CHEMBL1999484	8
CHEMBL2000029	10
CHEMBL2000568	2
CHEMBL2000879	0
CHEMBL2001613	4
CHEMBL2001641	5
CHEMBL2001704	4
CHEMBL2002099	2
CHEMBL2002105	3
CHEMBL2002182	5
CHEMBL2002992	3
CHEMBL2004033	0
CHEMBL2004290	14
CHEMBL2004515	1
CHEMBL2005449	4
CHEMBL2005478	6
CHEMBL2006564	6
CHEMBL2006765	7
CHEMBL2007421	3
CHEMBL2007559	8
CHEMBL2007574	6
CHEMBL21156	8
CHEMBL235157	6
CHEMBL242865	8
CHEMBL24828	2
CHEMBL289959	4
CHEMBL379975	10
CHEMBL38380	3
CHEMBL422897	0
CHEMBL451401	4
CHEMBL458997	10
CHEMBL475251	8
CHEMBL482538	3
CHEMBL483158	5
CHEMBL49120	6
CHEMBL521851	6
CHEMBL522892	9
CHEMBL550418	9
CHEMBL565612	11
CHEMBL572878	3
CHEMBL574738	10
CHEMBL592030	8
CHEMBL1727312	8
CHEMBL1879463	8
CHEMBL1964948	14
CHEMBL1965838	0
CHEMBL1966175	1
CHEMBL1970340	3
CHEMBL1973359	3
CHEMBL1975903	5
CHEMBL1978713	4
CHEMBL1980297	14
CHEMBL1980376	3
CHEMBL1982753	7
CHEMBL1983111	6
CHEMBL1985681	3
CHEMBL1989708	14
CHEMBL1992371	8
CHEMBL1994159	2
CHEMBL1995765	4
CHEMBL1997051	15
CHEMBL1997335	6
CHEMBL2001149	8
CHEMBL2002586	8
CHEMBL2003785	2
CHEMBL2004118	6
CHEMBL225519	3
CHEMBL234085	1
CHEMBL262623	1
CHEMBL461876	11
