Compound Id	PF_C3-6-N3
CHEMBL101311	6
CHEMBL1081312	4
CHEMBL1084546	5
CHEMBL1164180	9
CHEMBL117697	0
CHEMBL1178727	2
CHEMBL1233887	1
CHEMBL1421720	0
CHEMBL1825138	7
CHEMBL1870106	5
CHEMBL189963	4
CHEMBL191003	8
CHEMBL1949855	0
CHEMBL1964382	0
CHEMBL1964441	7
CHEMBL1964718	0
CHEMBL1965660	5
CHEMBL1966799	0
CHEMBL1967252	2
CHEMBL1967612	0
CHEMBL1967878	6
CHEMBL1967992	2
CHEMBL1967998	8
CHEMBL1968130	0
CHEMBL1969151	3
CHEMBL1970317	11
CHEMBL1970352	0
CHEMBL1970873	0
CHEMBL1971289	2
CHEMBL1971519	4
CHEMBL1971534	1
CHEMBL1972220	11
CHEMBL1972346	0
CHEMBL1972355	1
CHEMBL1972934	0
CHEMBL1973013	0
CHEMBL1973516	8
CHEMBL1973720	3
CHEMBL1973793	2
CHEMBL1973868	0
CHEMBL1974328	5
CHEMBL1974617	1
CHEMBL1974875	0
CHEMBL1975212	2
CHEMBL1975921	0
CHEMBL1975927	4
CHEMBL1976040	7
CHEMBL1976420	0
CHEMBL1976872	0
CHEMBL1977138	3
CHEMBL1977749	0
CHEMBL1977931	3
CHEMBL1978166	6
CHEMBL1978167	1
CHEMBL1978195	2
CHEMBL1979690	8
CHEMBL1980329	6
CHEMBL1980391	6
CHEMBL1980407	8
CHEMBL1980763	3
CHEMBL1980995	14
CHEMBL1981047	7
CHEMBL1981133	3
CHEMBL1981492	0
CHEMBL1982711	2
CHEMBL1983268	7
CHEMBL1983348	4
CHEMBL1983575	4
CHEMBL1983630	2
CHEMBL1983715	6
CHEMBL1983923	7
CHEMBL1983980	4
CHEMBL1984296	2
CHEMBL1984402	3
CHEMBL1984500	0
CHEMBL1984760	2
CHEMBL1985042	2
CHEMBL1985206	0
CHEMBL1986590	4
CHEMBL1986943	2
CHEMBL1987535	4
CHEMBL1988076	7
CHEMBL1988437	5
CHEMBL1988581	2
CHEMBL1988622	2
CHEMBL1988692	4
CHEMBL1988805	0
CHEMBL1989267	11
CHEMBL1989423	1
CHEMBL1989471	0
CHEMBL1991078	6
CHEMBL1991410	2
CHEMBL1991674	3
CHEMBL1991734	10
CHEMBL1991867	0
CHEMBL1992073	3
CHEMBL1992125	4
CHEMBL1992581	1
CHEMBL1992607	0
CHEMBL1992673	0
CHEMBL1992937	1
CHEMBL1993335	1
CHEMBL1993661	5
CHEMBL1993877	0
CHEMBL1993904	6
CHEMBL1994318	11
CHEMBL1994526	1
CHEMBL1994555	1
CHEMBL1994808	0
CHEMBL1995211	3
CHEMBL1995811	6
CHEMBL1995916	2
CHEMBL1996048	6
CHEMBL1996176	4
CHEMBL1996510	10
CHEMBL1996646	2
CHEMBL1996649	8
CHEMBL1996702	5
CHEMBL1997007	2
CHEMBL1997041	2
CHEMBL1997119	2
CHEMBL1997611	5
CHEMBL1997846	3
CHEMBL1997924	4
CHEMBL1998470	2
CHEMBL1998953	3
CHEMBL1999120	0
CHEMBL1999414	8
CHEMBL1999484	6
CHEMBL2000029	4
CHEMBL2000568	2
CHEMBL2000879	2
CHEMBL2001613	0
CHEMBL2001641	1
CHEMBL2001704	1
CHEMBL2002099	1
CHEMBL2002105	0
CHEMBL2002182	3
CHEMBL2002992	1
CHEMBL2004033	0
CHEMBL2004290	11
CHEMBL2004515	2
CHEMBL2005449	4
CHEMBL2005478	1
CHEMBL2006564	6
CHEMBL2006765	4
CHEMBL2007421	4
CHEMBL2007559	2
CHEMBL2007574	2
CHEMBL21156	3
CHEMBL235157	5
CHEMBL242865	5
CHEMBL24828	3
CHEMBL289959	0
CHEMBL379975	6
CHEMBL38380	2
CHEMBL422897	2
CHEMBL451401	0
CHEMBL458997	6
CHEMBL475251	4
CHEMBL482538	2
CHEMBL483158	3
CHEMBL49120	6
CHEMBL521851	7
CHEMBL522892	9
CHEMBL550418	3
CHEMBL565612	10
CHEMBL572878	8
CHEMBL574738	7
CHEMBL592030	12
CHEMBL1727312	0
CHEMBL1879463	5
CHEMBL1964948	11
CHEMBL1965838	0
CHEMBL1966175	3
CHEMBL1970340	2
CHEMBL1973359	2
CHEMBL1975903	2
CHEMBL1978713	3
CHEMBL1980297	11
CHEMBL1980376	2
CHEMBL1982753	6
CHEMBL1983111	6
CHEMBL1985681	1
CHEMBL1989708	11
CHEMBL1992371	4
CHEMBL1994159	2
CHEMBL1995765	1
CHEMBL1997051	8
CHEMBL1997335	1
CHEMBL2001149	0
CHEMBL2002586	3
CHEMBL2003785	1
CHEMBL2004118	3
CHEMBL225519	2
CHEMBL234085	3
CHEMBL262623	4
CHEMBL461876	11
