Compound Id	PF_C3-5-C3
CHEMBL101311	13
CHEMBL1081312	6
CHEMBL1084546	11
CHEMBL1164180	12
CHEMBL117697	12
CHEMBL1178727	2
CHEMBL1233887	9
CHEMBL1421720	3
CHEMBL1825138	9
CHEMBL1870106	4
CHEMBL189963	5
CHEMBL191003	8
CHEMBL1949855	1
CHEMBL1964382	10
CHEMBL1964441	15
CHEMBL1964718	1
CHEMBL1965660	15
CHEMBL1966799	0
CHEMBL1967252	8
CHEMBL1967612	0
CHEMBL1967878	9
CHEMBL1967992	14
CHEMBL1967998	14
CHEMBL1968130	0
CHEMBL1969151	6
CHEMBL1970317	22
CHEMBL1970352	27
CHEMBL1970873	12
CHEMBL1971289	5
CHEMBL1971519	10
CHEMBL1971534	1
CHEMBL1972220	22
CHEMBL1972346	10
CHEMBL1972355	13
CHEMBL1972934	0
CHEMBL1973013	2
CHEMBL1973516	14
CHEMBL1973720	6
CHEMBL1973793	15
CHEMBL1973868	11
CHEMBL1974328	8
CHEMBL1974617	4
CHEMBL1974875	0
CHEMBL1975212	7
CHEMBL1975921	0
CHEMBL1975927	16
CHEMBL1976040	18
CHEMBL1976420	7
CHEMBL1976872	2
CHEMBL1977138	12
CHEMBL1977749	18
CHEMBL1977931	12
CHEMBL1978166	15
CHEMBL1978167	9
CHEMBL1978195	12
CHEMBL1979690	14
CHEMBL1980329	19
CHEMBL1980391	21
CHEMBL1980407	20
CHEMBL1980763	6
CHEMBL1980995	22
CHEMBL1981047	8
CHEMBL1981133	12
CHEMBL1981492	1
CHEMBL1982711	10
CHEMBL1983268	19
CHEMBL1983348	10
CHEMBL1983575	4
CHEMBL1983630	7
CHEMBL1983715	10
CHEMBL1983923	10
CHEMBL1983980	16
CHEMBL1984296	22
CHEMBL1984402	7
CHEMBL1984500	0
CHEMBL1984760	6
CHEMBL1985042	9
CHEMBL1985206	8
CHEMBL1986590	14
CHEMBL1986943	6
CHEMBL1987535	4
CHEMBL1988076	34
CHEMBL1988437	21
CHEMBL1988581	2
CHEMBL1988622	9
CHEMBL1988692	8
CHEMBL1988805	5
CHEMBL1989267	23
CHEMBL1989423	2
CHEMBL1989471	8
CHEMBL1991078	15
CHEMBL1991410	15
CHEMBL1991674	7
CHEMBL1991734	30
CHEMBL1991867	0
CHEMBL1992073	1
CHEMBL1992125	10
CHEMBL1992581	12
CHEMBL1992607	0
CHEMBL1992673	3
CHEMBL1992937	5
CHEMBL1993335	9
CHEMBL1993661	13
CHEMBL1993877	0
CHEMBL1993904	19
CHEMBL1994318	16
CHEMBL1994526	0
CHEMBL1994555	8
CHEMBL1994808	3
CHEMBL1995211	7
CHEMBL1995811	15
CHEMBL1995916	5
CHEMBL1996048	12
CHEMBL1996176	9
CHEMBL1996510	23
CHEMBL1996646	8
CHEMBL1996649	16
CHEMBL1996702	23
CHEMBL1997007	6
CHEMBL1997041	9
CHEMBL1997119	11
CHEMBL1997611	8
CHEMBL1997846	7
CHEMBL1997924	9
CHEMBL1998470	9
CHEMBL1998953	7
CHEMBL1999120	0
CHEMBL1999414	16
CHEMBL1999484	9
CHEMBL2000029	20
CHEMBL2000568	11
CHEMBL2000879	6
CHEMBL2001613	0
CHEMBL2001641	4
CHEMBL2001704	1
CHEMBL2002099	2
CHEMBL2002105	0
CHEMBL2002182	8
CHEMBL2002992	1
CHEMBL2004033	0
CHEMBL2004290	22
CHEMBL2004515	9
CHEMBL2005449	9
CHEMBL2005478	9
CHEMBL2006564	7
CHEMBL2006765	6
CHEMBL2007421	7
CHEMBL2007559	7
CHEMBL2007574	6
CHEMBL21156	11
CHEMBL235157	18
CHEMBL242865	14
CHEMBL24828	12
CHEMBL289959	12
CHEMBL379975	25
CHEMBL38380	1
CHEMBL422897	13
CHEMBL451401	0
CHEMBL458997	14
CHEMBL475251	12
CHEMBL482538	10
CHEMBL483158	28
CHEMBL49120	15
CHEMBL521851	11
CHEMBL522892	12
CHEMBL550418	22
CHEMBL565612	23
CHEMBL572878	10
CHEMBL574738	13
CHEMBL592030	25
CHEMBL1727312	12
CHEMBL1879463	33
CHEMBL1964948	16
CHEMBL1965838	0
CHEMBL1966175	1
CHEMBL1970340	10
CHEMBL1973359	7
CHEMBL1975903	12
CHEMBL1978713	7
CHEMBL1980297	22
CHEMBL1980376	10
CHEMBL1982753	10
CHEMBL1983111	8
CHEMBL1985681	9
CHEMBL1989708	22
CHEMBL1992371	9
CHEMBL1994159	9
CHEMBL1995765	5
CHEMBL1997051	34
CHEMBL1997335	17
CHEMBL2001149	30
CHEMBL2002586	7
CHEMBL2003785	6
CHEMBL2004118	6
CHEMBL225519	6
CHEMBL234085	1
CHEMBL262623	7
CHEMBL461876	18
