Compound Id	TF_C3-2-C3-6-C3-8
CHEMBL101311	10
CHEMBL1081312	7
CHEMBL1084546	14
CHEMBL1164180	18
CHEMBL117697	12
CHEMBL1178727	0
CHEMBL1233887	8
CHEMBL1421720	12
CHEMBL1825138	17
CHEMBL1870106	0
CHEMBL189963	15
CHEMBL191003	12
CHEMBL1949855	0
CHEMBL1964382	4
CHEMBL1964441	27
CHEMBL1964718	0
CHEMBL1965660	11
CHEMBL1966799	0
CHEMBL1967252	0
CHEMBL1967612	0
CHEMBL1967878	4
CHEMBL1967992	22
CHEMBL1967998	10
CHEMBL1968130	0
CHEMBL1969151	0
CHEMBL1970317	38
CHEMBL1970352	16
CHEMBL1970873	0
CHEMBL1971289	0
CHEMBL1971519	0
CHEMBL1971534	0
CHEMBL1972220	38
CHEMBL1972346	12
CHEMBL1972355	18
CHEMBL1972934	0
CHEMBL1973013	0
CHEMBL1973516	10
CHEMBL1973720	0
CHEMBL1973793	24
CHEMBL1973868	6
CHEMBL1974328	3
CHEMBL1974617	0
CHEMBL1974875	0
CHEMBL1975212	4
CHEMBL1975921	0
CHEMBL1975927	20
CHEMBL1976040	18
CHEMBL1976420	6
CHEMBL1976872	0
CHEMBL1977138	14
CHEMBL1977749	19
CHEMBL1977931	0
CHEMBL1978166	27
CHEMBL1978167	8
CHEMBL1978195	3
CHEMBL1979690	10
CHEMBL1980329	24
CHEMBL1980391	4
CHEMBL1980407	33
CHEMBL1980763	12
CHEMBL1980995	12
CHEMBL1981047	13
CHEMBL1981133	18
CHEMBL1981492	0
CHEMBL1982711	7
CHEMBL1983268	30
CHEMBL1983348	16
CHEMBL1983575	12
CHEMBL1983630	3
CHEMBL1983715	12
CHEMBL1983923	15
CHEMBL1983980	36
CHEMBL1984296	37
CHEMBL1984402	0
CHEMBL1984500	0
CHEMBL1984760	18
CHEMBL1985042	6
CHEMBL1985206	8
CHEMBL1986590	20
CHEMBL1986943	0
CHEMBL1987535	1
CHEMBL1988076	54
CHEMBL1988437	32
CHEMBL1988581	0
CHEMBL1988622	11
CHEMBL1988692	0
CHEMBL1988805	0
CHEMBL1989267	40
CHEMBL1989423	0
CHEMBL1989471	0
CHEMBL1991078	43
CHEMBL1991410	26
CHEMBL1991674	2
CHEMBL1991734	8
CHEMBL1991867	0
CHEMBL1992073	0
CHEMBL1992125	8
CHEMBL1992581	21
CHEMBL1992607	0
CHEMBL1992673	0
CHEMBL1992937	10
CHEMBL1993335	8
CHEMBL1993661	10
CHEMBL1993877	0
CHEMBL1993904	25
CHEMBL1994318	23
CHEMBL1994526	0
CHEMBL1994555	6
CHEMBL1994808	0
CHEMBL1995211	4
CHEMBL1995811	43
CHEMBL1995916	0
CHEMBL1996048	9
CHEMBL1996176	6
CHEMBL1996510	29
CHEMBL1996646	21
CHEMBL1996649	30
CHEMBL1996702	27
CHEMBL1997007	18
CHEMBL1997041	0
CHEMBL1997119	0
CHEMBL1997611	2
CHEMBL1997846	2
CHEMBL1997924	14
CHEMBL1998470	2
CHEMBL1998953	4
CHEMBL1999120	0
CHEMBL1999414	30
CHEMBL1999484	10
CHEMBL2000029	52
CHEMBL2000568	5
CHEMBL2000879	0
CHEMBL2001613	0
CHEMBL2001641	0
CHEMBL2001704	0
CHEMBL2002099	0
CHEMBL2002105	0
CHEMBL2002182	0
CHEMBL2002992	0
CHEMBL2004033	0
CHEMBL2004290	38
CHEMBL2004515	0
CHEMBL2005449	8
CHEMBL2005478	8
CHEMBL2006564	6
CHEMBL2006765	18
CHEMBL2007421	7
CHEMBL2007559	14
CHEMBL2007574	0
CHEMBL21156	0
CHEMBL235157	4
CHEMBL242865	12
CHEMBL24828	12
CHEMBL289959	12
CHEMBL379975	21
CHEMBL38380	0
CHEMBL422897	13
CHEMBL451401	0
CHEMBL458997	12
CHEMBL475251	14
CHEMBL482538	0
CHEMBL483158	39
CHEMBL49120	23
CHEMBL521851	3
CHEMBL522892	20
CHEMBL550418	22
CHEMBL565612	29
CHEMBL572878	8
CHEMBL574738	17
CHEMBL592030	28
CHEMBL1727312	0
CHEMBL1879463	48
CHEMBL1964948	23
CHEMBL1965838	0
CHEMBL1966175	1
CHEMBL1970340	0
CHEMBL1973359	4
CHEMBL1975903	19
CHEMBL1978713	15
CHEMBL1980297	38
CHEMBL1980376	0
CHEMBL1982753	3
CHEMBL1983111	4
CHEMBL1985681	3
CHEMBL1989708	38
CHEMBL1992371	15
CHEMBL1994159	3
CHEMBL1995765	0
CHEMBL1997051	54
CHEMBL1997335	16
CHEMBL2001149	36
CHEMBL2002586	8
CHEMBL2003785	10
CHEMBL2004118	12
CHEMBL225519	0
CHEMBL234085	1
CHEMBL262623	6
CHEMBL461876	29
