Compound Id	PF_C3-5-N3
CHEMBL101311	3
CHEMBL1081312	4
CHEMBL1084546	4
CHEMBL1164180	7
CHEMBL117697	1
CHEMBL1178727	2
CHEMBL1233887	4
CHEMBL1421720	4
CHEMBL1825138	4
CHEMBL1870106	5
CHEMBL189963	5
CHEMBL191003	8
CHEMBL1949855	1
CHEMBL1964382	0
CHEMBL1964441	9
CHEMBL1964718	1
CHEMBL1965660	5
CHEMBL1966799	1
CHEMBL1967252	1
CHEMBL1967612	0
CHEMBL1967878	5
CHEMBL1967992	3
CHEMBL1967998	4
CHEMBL1968130	0
CHEMBL1969151	4
CHEMBL1970317	9
CHEMBL1970352	1
CHEMBL1970873	1
CHEMBL1971289	2
CHEMBL1971519	5
CHEMBL1971534	2
CHEMBL1972220	9
CHEMBL1972346	0
CHEMBL1972355	2
CHEMBL1972934	0
CHEMBL1973013	1
CHEMBL1973516	4
CHEMBL1973720	4
CHEMBL1973793	3
CHEMBL1973868	0
CHEMBL1974328	5
CHEMBL1974617	1
CHEMBL1974875	1
CHEMBL1975212	2
CHEMBL1975921	0
CHEMBL1975927	4
CHEMBL1976040	6
CHEMBL1976420	1
CHEMBL1976872	2
CHEMBL1977138	3
CHEMBL1977749	0
CHEMBL1977931	2
CHEMBL1978166	7
CHEMBL1978167	4
CHEMBL1978195	2
CHEMBL1979690	4
CHEMBL1980329	5
CHEMBL1980391	5
CHEMBL1980407	8
CHEMBL1980763	3
CHEMBL1980995	13
CHEMBL1981047	9
CHEMBL1981133	4
CHEMBL1981492	2
CHEMBL1982711	3
CHEMBL1983268	7
CHEMBL1983348	5
CHEMBL1983575	5
CHEMBL1983630	1
CHEMBL1983715	4
CHEMBL1983923	5
CHEMBL1983980	6
CHEMBL1984296	3
CHEMBL1984402	4
CHEMBL1984500	0
CHEMBL1984760	5
CHEMBL1985042	3
CHEMBL1985206	3
CHEMBL1986590	4
CHEMBL1986943	4
CHEMBL1987535	6
CHEMBL1988076	5
CHEMBL1988437	4
CHEMBL1988581	0
CHEMBL1988622	1
CHEMBL1988692	2
CHEMBL1988805	4
CHEMBL1989267	11
CHEMBL1989423	2
CHEMBL1989471	0
CHEMBL1991078	8
CHEMBL1991410	5
CHEMBL1991674	4
CHEMBL1991734	6
CHEMBL1991867	0
CHEMBL1992073	1
CHEMBL1992125	2
CHEMBL1992581	2
CHEMBL1992607	1
CHEMBL1992673	1
CHEMBL1992937	5
CHEMBL1993335	4
CHEMBL1993661	4
CHEMBL1993877	0
CHEMBL1993904	7
CHEMBL1994318	11
CHEMBL1994526	0
CHEMBL1994555	1
CHEMBL1994808	0
CHEMBL1995211	4
CHEMBL1995811	8
CHEMBL1995916	2
CHEMBL1996048	8
CHEMBL1996176	3
CHEMBL1996510	11
CHEMBL1996646	4
CHEMBL1996649	12
CHEMBL1996702	6
CHEMBL1997007	5
CHEMBL1997041	2
CHEMBL1997119	4
CHEMBL1997611	5
CHEMBL1997846	4
CHEMBL1997924	4
CHEMBL1998470	4
CHEMBL1998953	4
CHEMBL1999120	0
CHEMBL1999414	12
CHEMBL1999484	4
CHEMBL2000029	7
CHEMBL2000568	1
CHEMBL2000879	1
CHEMBL2001613	0
CHEMBL2001641	0
CHEMBL2001704	2
CHEMBL2002099	5
CHEMBL2002105	1
CHEMBL2002182	4
CHEMBL2002992	1
CHEMBL2004033	0
CHEMBL2004290	9
CHEMBL2004515	2
CHEMBL2005449	2
CHEMBL2005478	4
CHEMBL2006564	3
CHEMBL2006765	6
CHEMBL2007421	3
CHEMBL2007559	4
CHEMBL2007574	4
CHEMBL21156	5
CHEMBL235157	6
CHEMBL242865	2
CHEMBL24828	1
CHEMBL289959	1
CHEMBL379975	7
CHEMBL38380	4
CHEMBL422897	2
CHEMBL451401	2
CHEMBL458997	4
CHEMBL475251	4
CHEMBL482538	2
CHEMBL483158	3
CHEMBL49120	7
CHEMBL521851	4
CHEMBL522892	10
CHEMBL550418	3
CHEMBL565612	11
CHEMBL572878	6
CHEMBL574738	7
CHEMBL592030	9
CHEMBL1727312	1
CHEMBL1879463	6
CHEMBL1964948	11
CHEMBL1965838	1
CHEMBL1966175	5
CHEMBL1970340	3
CHEMBL1973359	5
CHEMBL1975903	2
CHEMBL1978713	3
CHEMBL1980297	9
CHEMBL1980376	3
CHEMBL1982753	5
CHEMBL1983111	3
CHEMBL1985681	2
CHEMBL1989708	9
CHEMBL1992371	5
CHEMBL1994159	2
CHEMBL1995765	3
CHEMBL1997051	6
CHEMBL1997335	3
CHEMBL2001149	2
CHEMBL2002586	2
CHEMBL2003785	1
CHEMBL2004118	3
CHEMBL225519	1
CHEMBL234085	1
CHEMBL262623	3
CHEMBL461876	12
