Compound Id	D0000087
CHEMBL101311	0.1688088123
CHEMBL1081312	0.2875410829
CHEMBL1084546	0.2336312275
CHEMBL1164180	0.1255498568
CHEMBL117697	0.119369322
CHEMBL1178727	0.1569882095
CHEMBL1233887	0.1521133127
CHEMBL1421720	0.1811510329
CHEMBL1825138	0.1482606565
CHEMBL1870106	0.2444650874
CHEMBL189963	0.1976791791
CHEMBL191003	0.2400761544
CHEMBL1949855	0.1219372477
CHEMBL1964382	0.071508166
CHEMBL1964441	0.2096649163
CHEMBL1964718	0.190946374
CHEMBL1965660	0.2452286845
CHEMBL1966799	0.2236078161
CHEMBL1967252	0.1446832981
CHEMBL1967612	0.0734701467
CHEMBL1967878	0.2250080582
CHEMBL1967992	0.0881045722
CHEMBL1967998	0.1993203245
CHEMBL1968130	0.2420245816
CHEMBL1969151	0.1815149482
CHEMBL1970317	0.2305006626
CHEMBL1970352	0.0559201024
CHEMBL1970873	0.1066540677
CHEMBL1971289	0.1723140274
CHEMBL1971519	0.1396167834
CHEMBL1971534	0.2135453247
CHEMBL1972220	0.2484260429
CHEMBL1972346	0.1910653836
CHEMBL1972355	0.1363089027
CHEMBL1972934	0.2462438828
CHEMBL1973013	0.1833954926
CHEMBL1973516	0.216692575
CHEMBL1973720	0.1888949648
CHEMBL1973793	0.0972443269
CHEMBL1973868	0.1290340672
CHEMBL1974328	0.226833188
CHEMBL1974617	0.1703319373
CHEMBL1974875	0.2220368109
CHEMBL1975212	0.176094353
CHEMBL1975921	0.2540022149
CHEMBL1975927	0.1352490171
CHEMBL1976040	0.2469302758
CHEMBL1976420	0.1644092919
CHEMBL1976872	0.1773051922
CHEMBL1977138	0.1442559999
CHEMBL1977749	0.0585535984
CHEMBL1977931	0.1938433585
CHEMBL1978166	0.189388447
CHEMBL1978167	0.1506750568
CHEMBL1978195	0.1563549815
CHEMBL1979690	0.2065105474
CHEMBL1980329	0.1901060305
CHEMBL1980391	0.1404571563
CHEMBL1980407	0.1986254706
CHEMBL1980763	0.1675181391
CHEMBL1980995	0.1192866004
CHEMBL1981047	0.1695780549
CHEMBL1981133	0.1347617405
CHEMBL1981492	0.1509532474
CHEMBL1982711	0.21003085
CHEMBL1983268	0.1427285591
CHEMBL1983348	0.1904092753
CHEMBL1983575	0.1249876221
CHEMBL1983630	0.1335126446
CHEMBL1983715	0.2010387402
CHEMBL1983923	0.1895294707
CHEMBL1983980	0.204483062
CHEMBL1984296	0.0867092514
CHEMBL1984402	0.1712225633
CHEMBL1984500	0.1022294081
CHEMBL1984760	0.1991598096
CHEMBL1985042	0.1807201529
CHEMBL1985206	0.1323693221
CHEMBL1986590	0.1588671992
CHEMBL1986943	0.2063925764
CHEMBL1987535	0.2038958994
CHEMBL1988076	0.1630080032
CHEMBL1988437	0.189046784
CHEMBL1988581	0.1808799179
CHEMBL1988622	0.138622973
CHEMBL1988692	0.1618234799
CHEMBL1988805	0.2057175192
CHEMBL1989267	0.1859028537
CHEMBL1989423	0.13087804
CHEMBL1989471	0.1221627731
CHEMBL1991078	0.1890038638
CHEMBL1991410	0.197974504
CHEMBL1991674	0.2016066317
CHEMBL1991734	0.1109988226
CHEMBL1991867	0.229555239
CHEMBL1992073	0.2011401924
CHEMBL1992125	0.1453504659
CHEMBL1992581	0.0997503264
CHEMBL1992607	0.293370561
CHEMBL1992673	0.1225498567
CHEMBL1992937	0.1632428695
CHEMBL1993335	0.1503618043
CHEMBL1993661	0.1413190514
CHEMBL1993877	0.1907063526
CHEMBL1993904	0.2508942096
CHEMBL1994318	0.0867511429
CHEMBL1994526	0.1365536118
CHEMBL1994555	0.1580630187
CHEMBL1994808	0.0849921138
CHEMBL1995211	0.148469576
CHEMBL1995811	0.1423058281
CHEMBL1995916	0.1695289799
CHEMBL1996048	0.165438415
CHEMBL1996176	0.164343368
