Compound Id	PF_C3-3-C3
CHEMBL101311	12
CHEMBL1081312	10
CHEMBL1084546	11
CHEMBL1164180	14
CHEMBL117697	13
CHEMBL1178727	8
CHEMBL1233887	16
CHEMBL1421720	6
CHEMBL1825138	11
CHEMBL1870106	7
CHEMBL189963	8
CHEMBL191003	12
CHEMBL1949855	7
CHEMBL1964382	10
CHEMBL1964441	23
CHEMBL1964718	4
CHEMBL1965660	17
CHEMBL1966799	4
CHEMBL1967252	14
CHEMBL1967612	5
CHEMBL1967878	7
CHEMBL1967992	17
CHEMBL1967998	14
CHEMBL1968130	4
CHEMBL1969151	11
CHEMBL1970317	28
CHEMBL1970352	28
CHEMBL1970873	15
CHEMBL1971289	9
CHEMBL1971519	17
CHEMBL1971534	8
CHEMBL1972220	28
CHEMBL1972346	15
CHEMBL1972355	18
CHEMBL1972934	2
CHEMBL1973013	2
CHEMBL1973516	14
CHEMBL1973720	11
CHEMBL1973793	23
CHEMBL1973868	19
CHEMBL1974328	9
CHEMBL1974617	10
CHEMBL1974875	3
CHEMBL1975212	13
CHEMBL1975921	3
CHEMBL1975927	16
CHEMBL1976040	12
CHEMBL1976420	12
CHEMBL1976872	7
CHEMBL1977138	15
CHEMBL1977749	21
CHEMBL1977931	15
CHEMBL1978166	23
CHEMBL1978167	16
CHEMBL1978195	19
CHEMBL1979690	14
CHEMBL1980329	25
CHEMBL1980391	21
CHEMBL1980407	26
CHEMBL1980763	7
CHEMBL1980995	30
CHEMBL1981047	14
CHEMBL1981133	26
CHEMBL1981492	8
CHEMBL1982711	17
CHEMBL1983268	19
CHEMBL1983348	16
CHEMBL1983575	11
CHEMBL1983630	13
CHEMBL1983715	10
CHEMBL1983923	13
CHEMBL1983980	22
CHEMBL1984296	23
CHEMBL1984402	11
CHEMBL1984500	5
CHEMBL1984760	9
CHEMBL1985042	10
CHEMBL1985206	13
CHEMBL1986590	22
CHEMBL1986943	11
CHEMBL1987535	9
CHEMBL1988076	30
CHEMBL1988437	23
CHEMBL1988581	7
CHEMBL1988622	14
CHEMBL1988692	12
CHEMBL1988805	7
CHEMBL1989267	32
CHEMBL1989423	9
CHEMBL1989471	13
CHEMBL1991078	20
CHEMBL1991410	21
CHEMBL1991674	9
CHEMBL1991734	23
CHEMBL1991867	1
CHEMBL1992073	7
CHEMBL1992125	10
CHEMBL1992581	19
CHEMBL1992607	1
CHEMBL1992673	9
CHEMBL1992937	8
CHEMBL1993335	16
CHEMBL1993661	12
CHEMBL1993877	2
CHEMBL1993904	26
CHEMBL1994318	24
CHEMBL1994526	4
CHEMBL1994555	14
CHEMBL1994808	8
CHEMBL1995211	13
CHEMBL1995811	20
CHEMBL1995916	9
CHEMBL1996048	18
CHEMBL1996176	14
CHEMBL1996510	28
CHEMBL1996646	11
CHEMBL1996649	24
CHEMBL1996702	28
CHEMBL1997007	9
CHEMBL1997041	12
CHEMBL1997119	16
CHEMBL1997611	15
CHEMBL1997846	9
CHEMBL1997924	10
CHEMBL1998470	15
CHEMBL1998953	13
CHEMBL1999120	3
CHEMBL1999414	24
CHEMBL1999484	10
CHEMBL2000029	21
CHEMBL2000568	16
CHEMBL2000879	4
CHEMBL2001613	5
CHEMBL2001641	8
CHEMBL2001704	7
CHEMBL2002099	7
CHEMBL2002105	3
CHEMBL2002182	14
CHEMBL2002992	6
CHEMBL2004033	6
CHEMBL2004290	28
CHEMBL2004515	12
CHEMBL2005449	6
CHEMBL2005478	16
CHEMBL2006564	9
CHEMBL2006765	9
CHEMBL2007421	6
CHEMBL2007559	11
CHEMBL2007574	11
CHEMBL21156	22
CHEMBL235157	24
CHEMBL242865	14
CHEMBL24828	13
CHEMBL289959	13
CHEMBL379975	32
CHEMBL38380	10
CHEMBL422897	18
CHEMBL451401	7
CHEMBL458997	14
CHEMBL475251	11
CHEMBL482538	16
CHEMBL483158	30
CHEMBL49120	19
CHEMBL521851	14
CHEMBL522892	17
CHEMBL550418	26
CHEMBL565612	28
CHEMBL572878	10
CHEMBL574738	14
CHEMBL592030	29
CHEMBL1727312	15
CHEMBL1879463	36
CHEMBL1964948	24
CHEMBL1965838	1
CHEMBL1966175	7
CHEMBL1970340	17
CHEMBL1973359	11
CHEMBL1975903	15
CHEMBL1978713	10
CHEMBL1980297	28
CHEMBL1980376	17
CHEMBL1982753	9
CHEMBL1983111	9
CHEMBL1985681	11
CHEMBL1989708	28
CHEMBL1992371	17
CHEMBL1994159	14
CHEMBL1995765	5
CHEMBL1997051	30
CHEMBL1997335	24
CHEMBL2001149	28
CHEMBL2002586	9
CHEMBL2003785	6
CHEMBL2004118	7
CHEMBL225519	9
CHEMBL234085	2
CHEMBL262623	9
CHEMBL461876	17
