Compound Id	TF_C3-1-C3-2-C3-3
CHEMBL101311	31
CHEMBL1081312	22
CHEMBL1084546	24
CHEMBL1164180	36
CHEMBL117697	34
CHEMBL1178727	20
CHEMBL1233887	35
CHEMBL1421720	15
CHEMBL1825138	28
CHEMBL1870106	12
CHEMBL189963	19
CHEMBL191003	31
CHEMBL1949855	19
CHEMBL1964382	28
CHEMBL1964441	55
CHEMBL1964718	6
CHEMBL1965660	37
CHEMBL1966799	8
CHEMBL1967252	36
CHEMBL1967612	16
CHEMBL1967878	16
CHEMBL1967992	46
CHEMBL1967998	35
CHEMBL1968130	6
CHEMBL1969151	23
CHEMBL1970317	65
CHEMBL1970352	66
CHEMBL1970873	35
CHEMBL1971289	23
CHEMBL1971519	46
CHEMBL1971534	16
CHEMBL1972220	65
CHEMBL1972346	42
CHEMBL1972355	45
CHEMBL1972934	4
CHEMBL1973013	3
CHEMBL1973516	35
CHEMBL1973720	23
CHEMBL1973793	62
CHEMBL1973868	47
CHEMBL1974328	20
CHEMBL1974617	26
CHEMBL1974875	5
CHEMBL1975212	32
CHEMBL1975921	7
CHEMBL1975927	36
CHEMBL1976040	24
CHEMBL1976420	28
CHEMBL1976872	12
CHEMBL1977138	34
CHEMBL1977749	51
CHEMBL1977931	35
CHEMBL1978166	55
CHEMBL1978167	35
CHEMBL1978195	44
CHEMBL1979690	35
CHEMBL1980329	60
CHEMBL1980391	47
CHEMBL1980407	64
CHEMBL1980763	18
CHEMBL1980995	74
CHEMBL1981047	32
CHEMBL1981133	67
CHEMBL1981492	12
CHEMBL1982711	42
CHEMBL1983268	50
CHEMBL1983348	40
CHEMBL1983575	30
CHEMBL1983630	33
CHEMBL1983715	22
CHEMBL1983923	28
CHEMBL1983980	55
CHEMBL1984296	54
CHEMBL1984402	28
CHEMBL1984500	16
CHEMBL1984760	22
CHEMBL1985042	23
CHEMBL1985206	29
CHEMBL1986590	54
CHEMBL1986943	23
CHEMBL1987535	18
CHEMBL1988076	67
CHEMBL1988437	55
CHEMBL1988581	12
CHEMBL1988622	30
CHEMBL1988692	28
CHEMBL1988805	16
CHEMBL1989267	72
CHEMBL1989423	22
CHEMBL1989471	35
CHEMBL1991078	54
CHEMBL1991410	50
CHEMBL1991674	18
CHEMBL1991734	52
CHEMBL1991867	1
CHEMBL1992073	9
CHEMBL1992125	28
CHEMBL1992581	48
CHEMBL1992607	2
CHEMBL1992673	20
CHEMBL1992937	21
CHEMBL1993335	35
CHEMBL1993661	31
CHEMBL1993877	4
CHEMBL1993904	60
CHEMBL1994318	58
CHEMBL1994526	8
CHEMBL1994555	32
CHEMBL1994808	21
CHEMBL1995211	32
CHEMBL1995811	54
CHEMBL1995916	24
CHEMBL1996048	46
CHEMBL1996176	32
CHEMBL1996510	65
CHEMBL1996646	31
CHEMBL1996649	57
CHEMBL1996702	67
CHEMBL1997007	22
CHEMBL1997041	29
CHEMBL1997119	35
CHEMBL1997611	26
CHEMBL1997846	18
CHEMBL1997924	20
CHEMBL1998470	33
CHEMBL1998953	32
CHEMBL1999120	8
CHEMBL1999414	57
CHEMBL1999484	22
CHEMBL2000029	58
CHEMBL2000568	40
CHEMBL2000879	12
CHEMBL2001613	16
CHEMBL2001641	19
CHEMBL2001704	16
CHEMBL2002099	13
CHEMBL2002105	8
CHEMBL2002182	34
CHEMBL2002992	12
CHEMBL2004033	11
CHEMBL2004290	65
CHEMBL2004515	29
CHEMBL2005449	15
CHEMBL2005478	35
CHEMBL2006564	19
CHEMBL2006765	22
CHEMBL2007421	10
CHEMBL2007559	24
CHEMBL2007574	23
CHEMBL21156	56
CHEMBL235157	62
CHEMBL242865	35
CHEMBL24828	34
CHEMBL289959	34
CHEMBL379975	80
CHEMBL38380	28
CHEMBL422897	48
CHEMBL451401	20
CHEMBL458997	35
CHEMBL475251	25
CHEMBL482538	40
CHEMBL483158	73
CHEMBL49120	50
CHEMBL521851	30
CHEMBL522892	43
CHEMBL550418	63
CHEMBL565612	65
CHEMBL572878	20
CHEMBL574738	33
CHEMBL592030	66
CHEMBL1727312	35
CHEMBL1879463	84
CHEMBL1964948	58
CHEMBL1965838	0
CHEMBL1966175	9
CHEMBL1970340	46
CHEMBL1973359	18
CHEMBL1975903	39
CHEMBL1978713	25
CHEMBL1980297	65
CHEMBL1980376	46
CHEMBL1982753	23
CHEMBL1983111	16
CHEMBL1985681	24
CHEMBL1989708	65
CHEMBL1992371	43
CHEMBL1994159	30
CHEMBL1995765	8
CHEMBL1997051	67
CHEMBL1997335	66
CHEMBL2001149	68
CHEMBL2002586	20
CHEMBL2003785	15
CHEMBL2004118	18
CHEMBL225519	19
CHEMBL234085	4
CHEMBL262623	21
CHEMBL461876	39
