Compound Id	PF_C3-4-C3
CHEMBL101311	10
CHEMBL1081312	11
CHEMBL1084546	9
CHEMBL1164180	10
CHEMBL117697	10
CHEMBL1178727	5
CHEMBL1233887	14
CHEMBL1421720	7
CHEMBL1825138	7
CHEMBL1870106	7
CHEMBL189963	9
CHEMBL191003	7
CHEMBL1949855	3
CHEMBL1964382	8
CHEMBL1964441	17
CHEMBL1964718	2
CHEMBL1965660	15
CHEMBL1966799	1
CHEMBL1967252	10
CHEMBL1967612	1
CHEMBL1967878	7
CHEMBL1967992	13
CHEMBL1967998	11
CHEMBL1968130	0
CHEMBL1969151	10
CHEMBL1970317	22
CHEMBL1970352	27
CHEMBL1970873	12
CHEMBL1971289	6
CHEMBL1971519	13
CHEMBL1971534	3
CHEMBL1972220	22
CHEMBL1972346	10
CHEMBL1972355	15
CHEMBL1972934	2
CHEMBL1973013	4
CHEMBL1973516	11
CHEMBL1973720	10
CHEMBL1973793	17
CHEMBL1973868	15
CHEMBL1974328	7
CHEMBL1974617	7
CHEMBL1974875	1
CHEMBL1975212	11
CHEMBL1975921	2
CHEMBL1975927	16
CHEMBL1976040	15
CHEMBL1976420	10
CHEMBL1976872	4
CHEMBL1977138	11
CHEMBL1977749	18
CHEMBL1977931	14
CHEMBL1978166	17
CHEMBL1978167	14
CHEMBL1978195	14
CHEMBL1979690	11
CHEMBL1980329	21
CHEMBL1980391	20
CHEMBL1980407	20
CHEMBL1980763	6
CHEMBL1980995	26
CHEMBL1981047	8
CHEMBL1981133	16
CHEMBL1981492	5
CHEMBL1982711	14
CHEMBL1983268	15
CHEMBL1983348	10
CHEMBL1983575	4
CHEMBL1983630	10
CHEMBL1983715	7
CHEMBL1983923	12
CHEMBL1983980	16
CHEMBL1984296	20
CHEMBL1984402	8
CHEMBL1984500	1
CHEMBL1984760	7
CHEMBL1985042	8
CHEMBL1985206	10
CHEMBL1986590	18
CHEMBL1986943	10
CHEMBL1987535	8
CHEMBL1988076	26
CHEMBL1988437	20
CHEMBL1988581	5
CHEMBL1988622	12
CHEMBL1988692	9
CHEMBL1988805	8
CHEMBL1989267	28
CHEMBL1989423	5
CHEMBL1989471	10
CHEMBL1991078	14
CHEMBL1991410	18
CHEMBL1991674	9
CHEMBL1991734	26
CHEMBL1991867	0
CHEMBL1992073	6
CHEMBL1992125	8
CHEMBL1992581	13
CHEMBL1992607	1
CHEMBL1992673	5
CHEMBL1992937	6
CHEMBL1993335	14
CHEMBL1993661	10
CHEMBL1993877	2
CHEMBL1993904	20
CHEMBL1994318	19
CHEMBL1994526	2
CHEMBL1994555	11
CHEMBL1994808	4
CHEMBL1995211	11
CHEMBL1995811	14
CHEMBL1995916	6
CHEMBL1996048	15
CHEMBL1996176	11
CHEMBL1996510	26
CHEMBL1996646	6
CHEMBL1996649	20
CHEMBL1996702	23
CHEMBL1997007	7
CHEMBL1997041	12
CHEMBL1997119	13
CHEMBL1997611	12
CHEMBL1997846	9
CHEMBL1997924	7
CHEMBL1998470	14
CHEMBL1998953	11
CHEMBL1999120	1
CHEMBL1999414	20
CHEMBL1999484	7
CHEMBL2000029	16
CHEMBL2000568	14
CHEMBL2000879	4
CHEMBL2001613	1
CHEMBL2001641	5
CHEMBL2001704	4
CHEMBL2002099	9
CHEMBL2002105	1
CHEMBL2002182	10
CHEMBL2002992	6
CHEMBL2004033	3
CHEMBL2004290	22
CHEMBL2004515	12
CHEMBL2005449	6
CHEMBL2005478	14
CHEMBL2006564	7
CHEMBL2006765	7
CHEMBL2007421	5
CHEMBL2007559	6
CHEMBL2007574	10
CHEMBL21156	17
CHEMBL235157	22
CHEMBL242865	12
CHEMBL24828	10
CHEMBL289959	10
CHEMBL379975	29
CHEMBL38380	4
CHEMBL422897	14
CHEMBL451401	3
CHEMBL458997	12
CHEMBL475251	11
CHEMBL482538	15
CHEMBL483158	25
CHEMBL49120	16
CHEMBL521851	9
CHEMBL522892	15
CHEMBL550418	22
CHEMBL565612	26
CHEMBL572878	10
CHEMBL574738	11
CHEMBL592030	26
CHEMBL1727312	12
CHEMBL1879463	33
CHEMBL1964948	19
CHEMBL1965838	1
CHEMBL1966175	7
CHEMBL1970340	13
CHEMBL1973359	10
CHEMBL1975903	11
CHEMBL1978713	7
CHEMBL1980297	22
CHEMBL1980376	13
CHEMBL1982753	8
CHEMBL1983111	6
CHEMBL1985681	10
CHEMBL1989708	22
CHEMBL1992371	11
CHEMBL1994159	12
CHEMBL1995765	4
CHEMBL1997051	26
CHEMBL1997335	19
CHEMBL2001149	26
CHEMBL2002586	5
CHEMBL2003785	4
CHEMBL2004118	6
CHEMBL225519	7
CHEMBL234085	2
CHEMBL262623	5
CHEMBL461876	17
