Compound Id	PF_C3-2-C3
CHEMBL101311	17
CHEMBL1081312	16
CHEMBL1084546	16
CHEMBL1164180	18
CHEMBL117697	17
CHEMBL1178727	12
CHEMBL1233887	18
CHEMBL1421720	13
CHEMBL1825138	15
CHEMBL1870106	9
CHEMBL189963	15
CHEMBL191003	17
CHEMBL1949855	10
CHEMBL1964382	13
CHEMBL1964441	26
CHEMBL1964718	4
CHEMBL1965660	19
CHEMBL1966799	6
CHEMBL1967252	16
CHEMBL1967612	8
CHEMBL1967878	10
CHEMBL1967992	20
CHEMBL1967998	19
CHEMBL1968130	4
CHEMBL1969151	14
CHEMBL1970317	31
CHEMBL1970352	28
CHEMBL1970873	16
CHEMBL1971289	12
CHEMBL1971519	18
CHEMBL1971534	9
CHEMBL1972220	31
CHEMBL1972346	18
CHEMBL1972355	21
CHEMBL1972934	7
CHEMBL1973013	6
CHEMBL1973516	19
CHEMBL1973720	14
CHEMBL1973793	27
CHEMBL1973868	19
CHEMBL1974328	10
CHEMBL1974617	12
CHEMBL1974875	6
CHEMBL1975212	17
CHEMBL1975921	6
CHEMBL1975927	22
CHEMBL1976040	17
CHEMBL1976420	14
CHEMBL1976872	7
CHEMBL1977138	18
CHEMBL1977749	21
CHEMBL1977931	18
CHEMBL1978166	26
CHEMBL1978167	18
CHEMBL1978195	19
CHEMBL1979690	19
CHEMBL1980329	27
CHEMBL1980391	20
CHEMBL1980407	31
CHEMBL1980763	14
CHEMBL1980995	30
CHEMBL1981047	17
CHEMBL1981133	30
CHEMBL1981492	8
CHEMBL1982711	20
CHEMBL1983268	24
CHEMBL1983348	19
CHEMBL1983575	15
CHEMBL1983630	16
CHEMBL1983715	14
CHEMBL1983923	15
CHEMBL1983980	29
CHEMBL1984296	25
CHEMBL1984402	13
CHEMBL1984500	8
CHEMBL1984760	16
CHEMBL1985042	13
CHEMBL1985206	16
CHEMBL1986590	25
CHEMBL1986943	14
CHEMBL1987535	14
CHEMBL1988076	35
CHEMBL1988437	25
CHEMBL1988581	8
CHEMBL1988622	15
CHEMBL1988692	15
CHEMBL1988805	12
CHEMBL1989267	34
CHEMBL1989423	11
CHEMBL1989471	16
CHEMBL1991078	26
CHEMBL1991410	25
CHEMBL1991674	13
CHEMBL1991734	22
CHEMBL1991867	3
CHEMBL1992073	9
CHEMBL1992125	17
CHEMBL1992581	22
CHEMBL1992607	5
CHEMBL1992673	11
CHEMBL1992937	13
CHEMBL1993335	18
CHEMBL1993661	17
CHEMBL1993877	7
CHEMBL1993904	28
CHEMBL1994318	26
CHEMBL1994526	5
CHEMBL1994555	16
CHEMBL1994808	10
CHEMBL1995211	17
CHEMBL1995811	26
CHEMBL1995916	11
CHEMBL1996048	21
CHEMBL1996176	17
CHEMBL1996510	30
CHEMBL1996646	16
CHEMBL1996649	28
CHEMBL1996702	28
CHEMBL1997007	16
CHEMBL1997041	16
CHEMBL1997119	17
CHEMBL1997611	13
CHEMBL1997846	13
CHEMBL1997924	14
CHEMBL1998470	17
CHEMBL1998953	17
CHEMBL1999120	6
CHEMBL1999414	28
CHEMBL1999484	14
CHEMBL2000029	26
CHEMBL2000568	20
CHEMBL2000879	7
CHEMBL2001613	8
CHEMBL2001641	9
CHEMBL2001704	10
CHEMBL2002099	11
CHEMBL2002105	6
CHEMBL2002182	16
CHEMBL2002992	9
CHEMBL2004033	6
CHEMBL2004290	31
CHEMBL2004515	16
CHEMBL2005449	11
CHEMBL2005478	18
CHEMBL2006564	13
CHEMBL2006765	16
CHEMBL2007421	9
CHEMBL2007559	15
CHEMBL2007574	14
CHEMBL21156	22
CHEMBL235157	24
CHEMBL242865	19
CHEMBL24828	17
CHEMBL289959	17
CHEMBL379975	32
CHEMBL38380	12
CHEMBL422897	20
CHEMBL451401	10
CHEMBL458997	19
CHEMBL475251	16
CHEMBL482538	18
CHEMBL483158	32
CHEMBL49120	25
CHEMBL521851	16
CHEMBL522892	21
CHEMBL550418	26
CHEMBL565612	30
CHEMBL572878	13
CHEMBL574738	18
CHEMBL592030	31
CHEMBL1727312	16
CHEMBL1879463	36
CHEMBL1964948	26
CHEMBL1965838	3
CHEMBL1966175	9
CHEMBL1970340	18
CHEMBL1973359	14
CHEMBL1975903	19
CHEMBL1978713	15
CHEMBL1980297	31
CHEMBL1980376	18
CHEMBL1982753	13
CHEMBL1983111	10
CHEMBL1985681	14
CHEMBL1989708	31
CHEMBL1992371	18
CHEMBL1994159	15
CHEMBL1995765	6
CHEMBL1997051	35
CHEMBL1997335	25
CHEMBL2001149	33
CHEMBL2002586	13
CHEMBL2003785	11
CHEMBL2004118	14
CHEMBL225519	12
CHEMBL234085	7
CHEMBL262623	12
CHEMBL461876	24
