Compound Id	ChiCluster [SC-3]
6088	0.0
864	0.0
13837281	0.667
937	0.0
56232	1.561
71390	0.577
5979	2.5
13837190	0.0
7074	0.977
15077490	1.655
13872989	0.0
13638	0.0
7170	1.0
10534	0.0
6128	0.577
9391	1.655
6086	0.0
10410	0.612
68503	0.707
10675065	0.977
14694	1.561
7090	1.510
7028	0.289
63156	0.0
12626	0.0
62597	0.0
15803	0.994
10487	0.289
13492	0.204
15747	0.204
8356	0.402
13849981	1.615
12933	0.707
6105	0.0
18971812	2.5
14688	1.561
6125	0.577
13835977	0.0
5977	0.577
71876	0.569
7128	0.5
7183	0.789
7088	1.510
15461	1.195
13299573	3.121
107412	1.339
7073	0.977
455353	0.0
16778	0.0
7705	0.408
2340753	1.561
7728	0.0
8554	0.0
10340	0.289
21112738	0.0
4481813	0.0
13487	0.204
7385	0.204
8531	0.408
7448	0.408
4514586	0.0
764	0.577
10325184	1.561
6406	0.569
12066	0.0
7738	0.0
7098	1.799
10404	0.204
7419	0.204
7219	0.204
11660	0.493
6999	0.943
5026296	1.803
18688	1.570
7737	0.0
13871721	0.0
1108	0.289
236	0.0
7521	0.577
7641	0.577
7659	0.866
11871	0.0
55130	0.697
10433	0.697
11992	0.697
13836399	0.0
7703	0.408
10253	0.705
60886	1.762
83962	2.152
12161	0.707
7671	1.105
10446	1.969
62249	1.570
11526	0.289
13571291	0.0
71312	1.655
7026	0.289
7678	0.289
9970	0.289
7672	0.289
7786	0.0
8335	0.333
6301	1.615
10606755	2.366
7657	0.697
22453	0.471
7065	0.569
11193	1.339
13836591	0.0
13875283	0.577
7553	0.0
11409	0.402
13249	0.408
3631	1.978
13835836	0.289
55084	0.289
7694	0.289
7482	0.289
11716	0.289
11045	0.289
7515	0.289
13836549	1.155
7546	0.204
7677	0.289
13836674	0.0
2293678	1.655
6967	0.471
6977	0.760
21168808	0.289
960	0.408
6177	1.655
61213	1.561
20545	0.816
7472	0.697
11207996	0.697
29016	0.816
7747	0.816
7627	0.816
10571	0.569
7076	0.569
6649	0.5
8012	0.569
7003	0.569
13854944	0.408
6104	0.0
4937830	0.0
61191	1.799
9614	0.289
7739	0.0
8883	0.816
7757	0.289
7511	0.289
7509	0.289
29005	0.289
10420	0.289
7478	0.289
7475	0.289
7463	0.289
6333	0.408
21111806	0.577
10364	0.204
21111820	0.289
21171407	0.0
3210	0.986
10756	1.380
11910	1.561
7469	0.697
7064	0.569
60329	0.0
13842001	0.204
13850082	1.743
21106169	1.561
7872	0.408
7875	0.408
7913	0.408
7670	1.105
8568	0.408
14846	0.289
7800	0.289
11843	0.408
29012	0.408
10797	0.859
7538	0.289
7536	0.289
11755	0.408
7706	0.408
7761	0.408
10492	0.408
11680	0.289
11706	0.289
10653	0.289
68179	0.0
10001	0.816
6341	0.667
11727	0.0
7727	0.0
3951	0.667
21108550	0.577
13836021	0.0
9724	1.409
11731	0.0
8950	0.204
14866	1.714
6720	0.994
13850142	1.799
558917	0.697
11153	0.0
7559	0.0
558928	0.0
415	0.0
390927	1.799
10236	0.664
7012	0.289
11065	0.408
28981	0.204
99681	1.892
8525	0.408
6176	1.655
7081	0.204
6313	0.408
13837702	0.0
9903	0.333
13849989	0.697
55123	0.0
12012	0.0
7534	0.577
10791	0.569
11125	0.0
7782	0.0
8552	0.408
7701	0.408
6316	0.408
9325	0.471
13866593	0.0
11911	1.561
55091	1.655
552744	0.408
7888	0.408
12013	0.408
123860	0.0
28986	0.289
2863	0.408
6335	0.408
7803	0.408
259	0.408
7616	0.408
171	0.577
24641	0.577
7129	0.5
7866	0.408
3756	0.408
10033	0.408
30713	0.667
10788	0.569
7621	0.816
8329688	1.561
10777	0.667
441	0.0
7838	0.0
5949	0.0
370	0.408
29029	0.0
7772	0.0
256	0.0
512	0.0
1005	0.408
2018460	1.570
21169510	1.570
48024	0.289
7013	0.289
7676	0.289
13875281	0.471
7220	0.204
7248	0.493
11661	0.493
12674	0.333
8097	0.333
12071	0.408
10035	0.408
12972	0.289
9976	0.289
7514	0.289
215929	0.289
11025	0.289
7734	0.0
7016	0.289
1087	0.0
60524	0.408
72551	0.697
763	0.0
1095	0.0
6179	1.655
2038738	0.204
11154	0.0
12259	1.049
3973	1.339
13836589	0.0
172	0.0
13836520	0.204
22191	0.697
75951	0.697
72793	0.577
13835336	0.0
13875230	0.577
18219	0.0
4514549	0.0
10801109	0.754
15016	0.0
29004	0.866
7871	0.408
21153	0.408
7802	0.408
12218	0.408
12632	0.408
7760	0.408
11095	0.408
21106173	0.866
7607	0.408
13866746	1.049
7577	0.0
7506	0.697
13835861	1.561
6326	0.408
9228	0.577
29036	0.577
13838404	0.577
7239	0.204
11647	0.612
7530	0.577
21106535	0.289
6119	0.577
10251740	0.5
9326	0.471
2916	0.0
558875	0.0
6106	0.0
3544	1.305
1266019	1.105
109838	0.0
6321	0.408
175	0.577
13874867	0.697
6314	0.408
4510484	0.204
68832	0.697
62530	0.204
13842613	0.577
7391	0.204
7984	0.707
11809	0.0
7242	0.204
58234	1.803
26325086	1.496
13862665	0.408
15443	0.204
124968	0.289
9581	0.493
66809	0.204
221082	0.204
13875320	0.471
6642	1.155
62826	1.339
13835376	0.0
127750	0.0
12442	0.0
13857694	0.577
7673	0.289
7443	0.493
7662	0.866
1609	0.0
363458	0.289
7684	0.289
61111	0.289
13875196	0.493
11042	0.577
24972	0.760
28992	0.577
13875160	0.577
13875258	0.577
73479	0.676
8935	0.595
15093	0.901
9994	0.0
29015	0.0
278	0.0
4446445	0.0
4444608	0.0
394562	0.0
13839199	0.289
18724	1.510
7238	0.204
21105959	0.402
13866817	0.577
13875392	0.577
13839575	0.0
6322	0.408
558020	0.289
733	0.289
6342	0.667
21132380	0.577
7551	0.0
12244	0.953
1266393	0.408
13677	0.469
124	0.901
132	0.789
21106015	0.0
65750	0.204
63903	0.204
10940	0.471
13865438	0.493
7223	0.204
13868640	0.577
29001	0.816
59674	0.0
21106135	0.493
10248	0.953
13837988	0.471
8528	0.577
8900	0.0
10400	0.408
8067	1.155
13839109	0.408
13837537	0.0
21105905	0.204
11077	0.577
13839123	0.760
9911	0.943
13839174	0.664
906	0.333
7630	0.816
13865426	0.697
13884973	1.969
10710415	0.577
8543	0.0
13835604	0.0
6093	0.0
59447	0.289
21106560	0.204
20843	0.471
15965	0.402
70682	0.0
13658	0.943
11862	0.0
7710	0.0
7809	0.0
7765	0.0
69177	1.049
21111822	0.577
6794	0.333
7681	0.289
26516	0.204
17131	0.754
10772140	0.408
7190	0.789
63054	1.049
18801	0.0
68156	0.0
21106520	0.289
16119	0.856
10244	1.049
924	0.5
13862559	0.760
6788	0.622
7131	0.5
7466	0.289
13861343	1.655
73412	0.0
8904	0.0
13874733	0.289
24535	0.811
25552	0.333
10437215	0.204
12225	0.289
13839151	0.664
13848808	0.607
8140	0.760
11087	0.289
10909	0.911
10918	0.911
15489	0.622
2441	1.803
12499	1.155
7480	0.289
10939	0.471
7018	0.289
11784	0.289
13839128	0.760
8868	0.333
7518	0.577
21106019	0.493
7528	0.577
24533	0.204
1020	0.0
2039535	0.204
13839110	0.866
21105998	0.994
13865680	0.402
11604	0.493
8374	0.402
21106586	0.761
11756	0.408
8733	0.0
13835459	0.0
71089	0.289
7688	0.289
8902	0.0
10937	0.471
6897	0.402
773	0.0
17443	0.204
6883	0.402
11785	0.289
15495	0.607
1141	0.577
7240	0.204
503239	0.5
13860641	0.402
6974	0.471
21106571	0.953
10908	0.805
3463	2.610
16388	1.276
6828	0.333
7161	0.971
592	0.667
8141	0.289
7679	0.289
4444456	0.0
83866	0.471
66996	0.289
21105897	0.607
15427	0.204
5830	0.204
13840690	0.204
13839105	0.760
11667	0.493
13835772	0.471
61538	0.856
238	0.5
13864445	0.664
21108548	0.577
13047	1.049
21106163	0.943
967	1.155
13876103	0.606
2018165	0.408
14256731	0.866
6311	0.408
11699	0.289
12643	0.289
83850	0.471
30595	0.607
13839082	0.577
13865424	0.493
13853758	0.789
13860335	0.204
4366810	0.697
10422	0.697
11695	0.289
13229	1.021
24099	0.0
11576	0.971
7175	0.691
7157	0.691
12060	0.493
14678	0.493
11021	0.493
21105871	0.577
466305	2.265
13837686	0.471
61411	1.049
917	0.538
21106519	0.493
65	0.760
13029	0.856
13875356	0.577
19766	1.049
12044	0.538
12682	1.093
10181341	0.612
748	0.0
71628	0.204
7568	0.0
13839553	0.0
9363	0.289
6296	1.784
9574	0.789
971	0.289
13846663	1.799
21106091	1.483
10246	0.953
70715	0.289
13871718	0.204
2654	0.606
9547	0.705
92731	1.488
62632	0.0
78998	0.0
11884	0.0
16177	0.0
15853	0.0
67360	0.0
11866	0.0
15846	0.0
7566	0.0
29026	0.0
11846	0.0
7770	0.0
7717	0.0
6102	0.0
21109330	2.5
10948	0.289
13835293	1.207
13835224	0.408
13839441	0.0
13835235	0.0
62808	0.289
7236	0.204
11589	0.704
79969	0.704
21106366	0.612
62310	0.607
7420	0.204
28982	0.493
19709	0.811
21168831	0.204
55443	0.204
453675	0.204
60121	0.402
69340	0.204
10992	0.493
6633	0.664
16804	1.155
21159695	0.493
455090	0.5
57726	1.539
7234	0.204
6630	0.664
71437	1.539
13063	0.537
558878	0.697
2005981	0.577
25886	0.204
71430	0.408
7736	0.0
447	0.402
21106525	0.493
18707	0.760
559096	0.939
13868660	0.577
