Compound Id	VAdjMa
502855	4.807
6191	4.0
26325183	5.392
5709	4.170
6153	3.322
16425	3.807
8521	5.392
23150	4.170
76894	4.907
2041618	5.0
8520	5.087
66656	4.0
26824	5.087
18019	5.392
11434292	4.585
26325084	6.426
6190	4.0
11919	4.170
10696	5.0
26325083	6.285
10451	5.322
23101	4.7
122090	4.807
26325082	6.129
26325081	5.954
512621	4.170
10449	5.585
26325080	5.755
66655	4.322
10652594	4.907
14021447	5.524
67991	4.170
109705	5.170
17619	3.807
9256	3.807
692	2.0
291	1.0
6084	2.0
6094	2.585
7555	3.0
6120	3.0
7712	3.322
6308	3.322
9646	3.322
10781	4.0
15802	4.170
17976	4.170
7767	3.585
7604	3.585
7010	3.585
6163	3.585
6340	3.585
8560	3.807
11094	3.807
11023	3.807
11055	3.807
10786	3.807
7619	3.807
10755	3.807
11551	3.807
349	4.0
11035	4.0
11104	4.0
10795	4.0
10445	4.0
7849	4.170
17558	4.170
13439	4.170
13402	4.170
14840	4.322
13448	4.322
13619	4.459
7890	4.585
11882	4.7
11883	4.807
10540	5.0
7929	5.322
11897	5.392
11899	5.459
12017	5.524
12072	5.585
11900	5.644
11901	5.7
11146	5.755
11902	5.807
10542	6.0
11906	6.170
8878	3.807
11585	4.459
11557190	5.248
10452	4.585
10784857	5.170
108106	5.585
127983	2.0
78828	4.907
68328	4.459
67414	5.170
13837650	3.0
13853215	4.0
9392	4.0
10765	3.322
7674	3.807
14998	3.807
10614293	4.0
61149	4.585
6156	3.322
12201	3.585
11109	3.585
24142	4.907
13622	4.807
16180	4.7
7891	4.585
12446	3.585
29025	4.170
12635	4.459
11121	3.807
7713	3.322
12809	4.322
7833	4.0
7556	3.0
7954	2.585
555074	3.807
7957	3.0
4516601	4.0
56442	3.0
4483639	3.322
4516599	4.0
4512361	4.0
4483638	3.322
4449912	3.0
4512642	4.0
18410	4.322
22408	1.0
66675	4.0
10113	3.322
9484	3.322
23208	2.585
6085	2.0
7024	3.585
15438	4.0
8896	3.322
14751	4.0
221117	4.0
7787	3.585
8908	3.807
8909	4.0
8910	4.322
71433	3.585
22814	1.0
9095782	4.0
6151	3.322
14299946	5.0
6188	4.0
11099	3.322
73583	4.0
7340	4.7
8158	3.807
11110	3.585
9642	2.585
12577	3.585
11996	3.807
10756390	5.322
62827	4.0
7626	3.807
10265264	4.0
13835550	3.0
56117	4.170
11230	3.322
63631	3.585
11086	3.807
21106179	3.0
11841	4.170
6402	4.322
1406720	4.907
2056044	4.585
1114	3.0
14692	4.322
10179173	4.0
21800	4.0
8544	3.322
7788	3.585
4927801	5.907
9088156	5.0
29040	3.807
10325078	4.0
55188	3.807
7624	3.807
68224	5.322
24263	4.322
6364	4.322
11749	3.585
14672	3.585
11228	3.322
11864	4.0
12209	3.585
11857	3.807
391428	4.322
10733068	5.644
454638	4.907
12456	4.322
17880	4.170
11845	3.807
11806	3.322
9990	3.0
6309	3.322
7557	3.0
558883	3.322
56020	3.322
10124	3.585
6111	2.585
10265270	4.322
14198	4.322
7794	4.170
7180	4.322
9286	3.585
9411	4.170
14441700	3.585
6148	3.322
6149	3.322
15765	4.0
553642	4.0
15413	4.459
7182	4.322
10669	4.322
66567	4.459
6132	3.0
8569	4.170
12220	4.459
7823	3.807
11849	3.807
10441	3.0
3168	3.322
11833	3.585
455420	4.170
10709	3.322
7558	3.0
6095	2.585
10179239	4.322
12197	3.0
11761	3.807
6108	2.585
69914	4.907
59573	3.807
70850	3.322
38403	4.322
11671339	4.907
7956	2.585
55090	3.585
11180	3.807
274	2.585
6145	3.322
10053	3.322
28993	4.322
59483	4.585
11811	3.322
7777	3.585
15482	4.459
454215	3.807
7856	4.170
8562	3.807
10054	3.322
7730	3.322
11739	4.0
11056	3.807
6146	3.322
9461	4.0
654	2.585
11194	4.0
6165	3.585
11216	4.0
62230	4.170
16791	4.0
18717	4.0
11210	4.0
518	1.0
11117	3.585
205483	4.459
10979	4.322
61346	4.170
6186	4.0
391	1.0
69371	4.170
69569	4.7
6310	3.322
7606	3.585
7181	4.322
99596	3.807
23255	3.322
6123	3.0
4514529	1.0
11351244	3.807
499714	4.0
78467	4.459
16841	3.807
2062437	3.807
61266	5.459
15954	4.0
11819	4.0
7622	3.807
99440	4.0
11239	3.585
11543	4.0
10790	3.807
6187	4.0
2656	4.459
6827	4.585
20939	4.322
9016	3.807
7817	3.807
11788	3.807
13835316	3.0
6270	4.7
454209	3.585
9633	4.170
9377	3.807
9243	2.585
11148	2.0
923	2.585
6121	3.0
8576	4.459
7851	4.170
15387	4.322
6315	3.322
7811	3.807
7835	4.0
7769	3.585
7716	3.322
7564	3.0
6101	2.585
6089	2.0
6118	3.0
8577	4.459
14349	4.322
7852	4.170
14680	4.0
7776	3.585
7330	3.322
6122	3.0
63863	4.170
2282428	3.807
15486	4.459
7732	3.322
18920	4.170
11861	4.322
123993	4.170
11036	4.0
11029	4.0
11794	3.807
11732	3.807
10511	4.0
21011	3.585
11678	3.807
7533	4.170
3644	3.0
6320	3.322
10947	3.585
6164	3.585
11729	3.0
9254	3.807
9251	3.807
6307	3.322
62589	3.807
7686	3.807
13837280	3.322
9253	3.807
13255	3.807
10512	3.585
13837797	3.807
16641	2.585
6098	2.585
10536	4.170
7827	3.807
9233	3.322
18607	3.322
5730	3.322
3441	3.807
83734	3.807
217	1.0
56559	5.248
9053802	4.907
10787	3.807
29000	3.585
11793	3.807
10526	3.807
120464	3.807
7434	4.170
7459	3.807
11024	3.807
6312	3.322
8398	3.585
24590970	3.807
7733	3.322
56144	4.322
23055	3.585
6130	3.0
7850	4.170
11865	4.0
7714	3.322
10437	3.0
6097	2.585
12219	4.322
7848	4.170
61487	3.585
11863	4.0
7810	3.807
7766	3.585
7711	3.322
7552	3.0
6092	2.585
7791	3.585
12010	3.807
11830	3.585
10497	3.322
31029	3.0
6100	2.585
12228	3.807
6042	3.322
553742	3.0
13836713	3.0
13803	4.0
11898	5.392
72522	5.322
7928	5.248
14348	5.170
2581	5.087
11891	5.0
7917	4.907
7915	4.807
7901	4.7
7892	4.585
7882	4.459
8574	4.322
932	4.170
7812	3.807
7837	4.0
6040	3.585
258	3.322
1004	3.0
682	2.585
7815	3.807
7560	3.0
6103	2.585
6635	4.322
14829	3.322
6087	2.0
11525	3.585
7721	3.322
6083	2.0
1039	2.585
6088	2.0
864	2.0
13837281	3.585
937	1.0
56232	4.585
71390	3.0
5979	4.0
13837190	3.322
7074	4.322
15077490	3.807
13872989	3.0
13638	4.0
7170	4.585
10534	3.807
6128	3.0
9391	3.807
6086	2.0
10410	4.322
68503	4.170
10675065	4.170
14694	3.585
7090	4.322
7028	3.585
63156	3.807
12626	3.585
62597	3.322
15803	4.459
10487	3.807
13492	4.7
15747	4.807
8356	4.322
13849981	4.459
12933	4.807
6105	2.585
18971812	4.0
14688	5.0
6125	3.0
13835977	3.0
5977	3.0
71876	4.7
7128	4.170
7183	4.322
7088	4.322
15461	4.459
13299573	4.170
107412	4.0
7073	4.322
455353	4.170
16778	3.807
7705	3.807
2340753	3.585
7728	3.322
8554	3.585
10340	3.585
21112738	3.0
4481813	3.0
13487	4.585
7385	4.170
8531	4.322
7448	4.322
4514586	1.0
764	4.0
10325184	3.585
6406	3.807
12066	3.322
7738	3.322
7098	4.459
10404	4.459
7419	4.322
7219	4.0
11660	4.170
6999	4.322
5026296	4.459
18688	4.170
7737	3.322
13871721	3.322
1108	3.807
236	3.585
7521	4.0
7641	4.0
7659	4.170
11871	4.0
55130	4.170
10433	4.170
11992	4.0
13836399	4.0
7703	3.807
10253	4.322
60886	5.170
83962	4.807
12161	4.170
7671	4.322
10446	4.0
62249	4.0
11526	3.585
13571291	3.0
71312	3.807
7026	3.585
7678	3.807
9970	4.0
7672	3.807
7786	3.585
8335	4.322
6301	4.459
10606755	4.322
7657	4.170
22453	4.170
7065	4.0
11193	4.0
13836591	3.585
13875283	4.0
7553	3.0
11409	4.170
13249	5.087
3631	4.322
13835836	4.0
55084	4.459
7694	4.322
7482	4.170
11716	4.322
11045	4.170
7515	4.0
13836549	4.585
7546	3.322
7677	3.807
13836674	3.0
2293678	3.807
6967	4.0
6977	4.170
21168808	3.585
960	5.170
6177	3.807
61213	3.585
20545	5.322
7472	4.0
11207996	4.0
29016	4.170
7747	4.0
7627	3.807
10571	3.807
7076	4.322
6649	4.0
8012	3.807
7003	4.170
13854944	3.585
6104	2.585
4937830	3.0
61191	4.459
9614	3.807
7739	3.322
8883	4.322
7757	4.807
7511	4.585
7509	4.459
29005	4.322
10420	4.170
7478	4.0
7475	4.0
7463	3.807
6333	3.322
21111806	4.0
10364	4.0
21111820	3.585
21171407	3.0
3210	5.0
10756	4.459
11910	3.585
7469	4.0
7064	4.0
60329	3.585
13842001	4.0
13850082	4.807
21106169	3.585
7872	4.585
7875	4.807
7913	5.0
7670	4.322
8568	4.322
14846	4.585
7800	4.459
11843	4.170
29012	4.0
10797	4.0
7538	4.322
7536	4.170
11755	3.585
7706	3.807
7761	4.0
10492	3.807
11680	3.807
11706	4.0
10653	3.585
68179	4.170
10001	3.807
6341	3.585
11727	3.0
7727	3.322
3951	3.585
21108550	4.0
13836021	3.322
9724	4.322
11731	3.0
8950	4.170
14866	4.585
6720	4.459
13850142	4.459
558917	4.459
11153	2.585
7559	3.0
558928	3.0
415	3.322
390927	4.459
10236	4.170
7012	3.585
11065	3.585
28981	4.170
99681	4.807
8525	3.585
6176	3.807
7081	3.807
6313	3.322
13837702	3.585
9903	4.170
13849989	4.459
55123	4.170
12012	4.0
7534	4.170
10791	3.807
11125	3.807
7782	3.585
8552	4.0
7701	3.807
6316	3.322
9325	4.0
13866593	3.807
11911	3.585
55091	3.807
552744	3.585
7888	4.7
12013	4.907
123860	4.322
28986	4.0
2863	4.585
6335	3.322
7803	4.170
259	3.585
7616	3.585
171	3.0
24641	4.459
7129	4.170
7866	4.459
3756	4.807
10033	5.248
30713	3.585
10788	3.807
7621	3.807
8329688	3.585
10777	3.585
441	4.170
7838	4.0
5949	3.807
370	4.322
29029	4.322
7772	3.585
256	3.322
512	3.0
1005	3.322
2018460	4.0
21169510	4.170
48024	3.807
7013	3.585
7676	3.807
13875281	4.0
7220	4.0
7248	4.170
11661	4.170
12674	4.585
8097	4.322
12071	5.392
10035	5.459
12972	4.585
9976	4.322
7514	4.0
215929	4.170
11025	3.807
7734	3.322
7016	3.585
1087	2.585
60524	3.322
72551	4.459
763	2.0
1095	3.322
6179	3.807
2038738	4.0
11154	2.585
12259	4.459
3973	4.0
13836589	3.585
172	2.585
13836520	4.0
22191	4.170
75951	4.322
72793	4.322
13835336	3.0
13875230	4.0
18219	3.322
4514549	1.0
10801109	4.907
15016	5.248
29004	4.170
7871	4.585
21153	4.7
7802	4.170
12218	4.459
12632	4.322
7760	4.0
11095	3.807
21106173	4.170
7607	3.585
13866746	4.459
7577	3.0
7506	4.459
13835861	3.585
6326	3.322
9228	4.0
29036	3.0
13838404	3.0
7239	4.0
11647	4.322
7530	4.0
21106535	3.585
6119	3.0
10251740	4.0
9326	4.0
2916	2.585
558875	3.0
6106	2.585
3544	4.907
1266019	4.807
109838	3.807
6321	3.322
175	3.0
13874867	4.0
6314	3.322
4510484	4.170
68832	4.0
62530	4.170
13842613	4.0
7391	4.170
7984	4.170
11809	3.322
7242	4.0
58234	4.459
26325086	4.170
13862665	3.807
15443	4.0
124968	3.807
9581	4.170
66809	4.0
221082	4.170
13875320	4.0
6642	4.585
62826	4.0
13835376	4.0
127750	4.0
12442	3.0
13857694	4.0
7673	3.807
7443	4.170
7662	4.170
1609	3.585
363458	3.807
7684	3.807
61111	3.807
13875196	4.170
11042	4.0
24972	4.170
28992	4.0
13875160	4.0
13875258	4.0
73479	4.322
8935	4.585
15093	4.459
9994	3.0
29015	3.585
278	2.585
4446445	4.170
4444608	3.807
394562	3.322
13839199	3.807
18724	4.322
7238	4.0
21105959	4.170
13866817	4.0
13875392	4.0
13839575	4.170
6322	3.322
558020	3.807
733	3.585
6342	3.585
21132380	4.0
7551	3.0
12244	4.322
1266393	3.807
13677	4.585
124	4.459
132	4.322
21106015	3.0
65750	4.459
63903	4.170
10940	4.0
13865438	4.170
7223	4.0
13868640	4.0
29001	3.807
59674	3.585
21106135	4.170
10248	4.322
13837988	4.0
8528	4.0
8900	3.322
10400	4.807
8067	4.585
13839109	4.170
13837537	3.585
21105905	4.0
11077	4.0
13839123	4.170
9911	4.322
13839174	4.170
906	4.322
7630	3.807
13865426	4.170
13884973	4.0
10710415	4.170
8543	3.322
13835604	3.807
6093	2.585
59447	3.807
21106560	4.0
20843	4.0
15965	4.585
70682	4.322
13658	4.322
11862	4.0
7710	3.322
7809	3.807
7765	3.585
69177	4.459
21111822	4.0
6794	4.459
7681	3.807
26516	4.170
17131	4.7
10772140	3.322
7190	4.322
63054	4.459
18801	4.0
68156	3.807
21106520	3.807
16119	4.322
10244	4.459
924	4.170
13862559	4.170
6788	4.459
7131	4.170
7466	3.807
13861343	3.807
73412	3.585
8904	3.585
13874733	3.807
24535	4.459
25552	4.322
10437215	4.322
12225	3.585
13839151	4.170
13848808	4.459
8140	4.170
11087	3.807
10909	4.585
10918	4.585
15489	4.7
2441	4.459
12499	4.585
7480	4.0
10939	4.0
7018	3.585
11784	3.807
13839128	4.170
8868	4.170
7518	4.0
21106019	4.170
7528	4.0
24533	4.0
1020	3.585
2039535	4.170
13839110	4.170
21105998	4.459
13865680	4.170
11604	4.170
8374	4.7
21106586	4.322
11756	3.585
8733	3.322
13835459	3.585
71089	3.807
7688	3.807
8902	3.585
10937	4.0
6897	4.459
773	3.322
17443	4.0
6883	4.322
11785	3.807
15495	4.807
1141	4.0
7240	4.0
503239	4.170
13860641	4.170
6974	4.0
21106571	4.322
10908	4.585
3463	5.087
16388	5.0
6828	4.585
7161	4.459
592	3.585
8141	3.585
7679	3.807
4444456	3.322
83866	4.0
66996	3.807
21105897	4.585
15427	4.322
5830	4.170
13840690	4.0
13839105	4.170
11667	4.170
13835772	4.0
61538	4.322
238	4.170
13864445	4.170
21108548	4.0
13047	4.459
21106163	4.322
967	4.585
13876103	4.585
2018165	3.322
14256731	4.807
6311	3.322
11699	4.170
12643	3.807
83850	4.0
30595	4.459
13839082	4.0
13865424	4.170
13853758	4.322
13860335	4.0
4366810	4.459
10422	4.322
11695	4.0
13229	4.459
24099	3.585
11576	4.459
7175	4.459
7157	4.459
12060	4.322
14678	4.459
11021	4.170
21105871	4.0
466305	4.807
13837686	4.0
61411	4.459
917	4.585
21106519	4.459
65	4.170
13029	4.322
13875356	4.0
19766	4.459
12044	4.7
12682	4.7
10181341	4.322
748	2.0
71628	4.170
7568	3.0
13839553	3.322
9363	3.807
6296	4.322
9574	4.322
971	3.807
13846663	4.459
21106091	4.585
10246	4.322
70715	3.807
13871718	4.322
2654	5.087
9547	4.322
92731	4.170
62632	5.087
78998	5.0
11884	4.807
16177	4.7
15853	4.585
67360	4.459
11866	4.0
15846	4.322
7566	3.0
29026	4.170
11846	3.807
7770	3.585
7717	3.322
6102	2.585
21109330	4.0
10948	3.585
13835293	3.807
13835224	3.322
13839441	3.807
13835235	3.0
62808	3.807
7236	4.0
11589	4.459
79969	4.7
21106366	4.322
62310	4.7
7420	4.322
28982	4.170
19709	4.459
21168831	4.170
55443	4.585
453675	4.7
60121	4.322
69340	4.459
10992	4.170
6633	4.170
16804	4.585
21159695	4.322
455090	4.170
57726	4.459
7234	4.0
6630	4.170
71437	4.459
13063	4.585
558878	4.459
2005981	3.0
25886	4.170
71430	4.170
7736	3.322
447	4.170
21106525	4.170
18707	4.170
559096	5.087
13868660	4.0
707	4.585
7140	4.322
8070	4.322
387	3.585
10018	3.585
61001	4.7
13854136	4.0
1664	3.807
20570	4.170
13854248	4.0
7001	4.322
11366	4.322
21106540	4.322
21106570	4.459
15855	4.459
7790	3.585
13835209	3.585
8903	3.585
62489	4.0
8899	3.322
13634	4.0
13630	3.807
13869434	4.170
553578	4.459
66565	4.0
10437135	4.170
66021	3.807
7221	4.0
10857	4.170
7383	4.170
13030	4.322
6339	3.585
6736	4.459
10851	4.585
10850	4.585
23977588	5.248
434	4.322
24043	3.807
12069	4.170
191367	4.0
11799	3.807
7615	3.585
6338	3.322
11265	4.170
6135	3.0
72056	4.807
34095	4.585
18685	4.459
62628	4.322
67653	4.322
11875	4.170
21106032	3.585
7021	3.585
1348	3.585
66896	5.248
62534	4.322
62408	4.322
7389	4.170
13848467	4.322
72556	4.459
13835151	4.0
10991	4.170
13860692	4.0
13869462	4.170
38364	4.170
12045	4.7
2003	5.170
17784	4.170
12637	4.585
13839416	4.0
11694	4.0
29008	3.322
2606	3.807
21106524	4.170
12823	4.170
5889	3.807
81815	4.0
13840647	4.170
13875212	4.0
9579	4.322
21105859	4.322
19475	3.585
9874	4.459
13647	4.170
9350	4.0
21168826	4.170
10801842	4.322
65785	4.807
13860491	4.170
6780	4.322
10841	4.585
5593	4.170
25889	4.0
25890	4.585
10227261	5.0
220998	4.7
12954	4.459
9454	4.459
9360	4.0
13851576	4.0
21105848	4.459
12047	4.7
16736498	5.248
913	4.170
6478	4.585
6745	4.585
8912	4.585
12229	3.807
6898	4.585
10849	4.585
11038	4.0
89076	5.0
21105870	4.322
199342	4.907
19477	4.170
6287	4.459
13811	4.585
14169248	4.170
1019	3.322
10437074	3.807
21105878	4.322
21168813	4.322
235	4.0
8186	4.322
11596	4.585
13860775	4.170
6674	4.322
11083	4.170
2206	4.7
13872122	4.322
8098	4.322
10328	4.0
6737	4.459
6789	4.459
15861	4.7
7600	4.585
4445317	4.807
11632	4.170
7961	3.585
13885245	4.585
8674	4.322
7132	4.170
13856352	4.170
8071	4.322
11783	3.807
10980	4.322
21106172	4.322
27488	4.170
10813	4.585
7202	4.459
30516	4.322
26325090	4.322
21112023	4.322
13876539	4.170
21106018	4.170
68676	4.585
551	4.7
11776	4.170
66895	4.907
66887	4.807
9893	4.459
63518	4.7
59482	4.585
6881	4.322
13839308	4.170
10586285	4.907
218253	4.7
8341	4.459
20198	4.807
7689	3.807
63310	4.322
7299	4.7
10829	4.585
191	4.322
12957	3.807
84036	4.0
68152	4.0
24041	4.170
19953955	3.807
13835630	4.322
14556	4.459
21106140	4.7
13863618	4.170
13837787	4.322
1361549	4.907
10831	4.585
23886	4.807
33421	4.807
992	4.585
70714	3.807
13875432	4.0
12640	3.585
6480	4.322
15755	4.585
14995	4.585
14994	4.585
67470	4.585
15476	4.585
15756	4.585
1906	4.459
6592	4.7
21943	4.0
10106	4.807
19956441	4.0
11930	4.0
10384035	4.170
65936	4.0
14227	4.322
11584	4.459
13867714	4.585
6706	4.459
6916	4.807
19957731	4.459
10205670	3.322
120489	4.0
13875219	4.0
7302	4.7
70660	4.585
16387	4.907
502245	4.807
5708	3.807
16159	3.807
13648	4.170
9349	4.0
63889	4.0
13835126	4.322
10437210	4.322
768	4.322
34863	4.907
23730	3.585
23621376	3.585
11332993	4.459
21106146	4.322
12231	4.0
13837760	4.0
10008	3.807
10972	4.322
2079	5.0
