Compound Id	ChiPathCluster [VPC-5]
1039	0.0
6088	0.0
864	0.0
13837281	0.0
937	0.0
56232	0.25
71390	0.0
5979	2.480
13837190	0.0
7074	0.202
15077490	0.145
13872989	0.0
13638	0.0
7170	1.005
10534	0.0
6128	0.0
9391	0.023
6086	0.0
10410	0.568
68503	1.570
10675065	0.129
14694	0.065
7090	0.279
7028	0.25
63156	0.0
12626	0.0
62597	0.0
15803	1.881
10487	0.491
13492	0.273
15747	0.273
8356	0.726
13849981	0.606
12933	2.384
6105	0.0
18971812	0.278
14688	0.25
6125	0.0
13835977	0.0
5977	0.0
71876	0.122
7128	0.511
7183	0.654
7088	1.161
15461	1.594
13299573	0.591
107412	0.220
7073	0.254
455353	0.0
16778	0.0
7705	0.118
2340753	0.112
7728	0.0
8554	0.0
10340	0.118
21112738	0.0
4481813	0.0
13487	0.273
7385	0.297
8531	0.552
7448	0.487
4514586	0.0
764	0.136
10325184	0.112
6406	0.143
12066	0.0
7738	0.0
7098	0.365
10404	0.273
7419	0.273
7219	0.254
11660	0.395
6999	1.055
5026296	6.450
18688	0.538
7737	0.0
13871721	0.0
1108	0.167
236	0.0
7521	0.304
7641	0.470
7659	0.914
11871	0.0
55130	0.265
10433	0.149
11992	0.234
13836399	0.0
7703	0.158
10253	1.174
60886	1.285
83962	6.693
12161	1.391
7671	0.772
10446	0.658
62249	0.635
11526	0.034
13571291	0.0
71312	0.190
7026	0.194
7678	0.194
9970	0.194
7672	0.850
7786	0.0
8335	0.812
6301	0.606
10606755	0.237
7657	0.3
22453	0.352
7065	0.185
11193	0.663
13836591	0.0
13875283	0.209
7553	0.0
11409	0.686
13249	0.032
3631	0.231
13835836	0.184
55084	0.088
7694	0.101
7482	0.101
11716	0.071
11045	0.071
7515	0.071
13836549	0.467
7546	0.0
7677	0.25
13836674	0.0
2293678	0.061
6967	0.455
6977	0.712
21168808	0.354
960	0.032
6177	0.214
61213	0.057
20545	0.236
7472	0.283
11207996	0.203
29016	0.160
7747	0.117
7627	0.262
10571	0.214
7076	0.122
6649	0.466
8012	0.212
7003	0.118
13854944	0.1
6104	0.0
4937830	0.0
61191	0.340
9614	0.063
7739	0.0
8883	2.816
7757	0.101
7511	0.101
7509	0.101
29005	0.101
10420	0.101
7478	0.065
7475	0.113
7463	0.083
6333	0.0
21111806	0.139
10364	0.139
21111820	0.354
21171407	0.0
3210	0.682
10756	1.654
11910	0.118
7469	0.331
7064	0.294
60329	0.0
13842001	0.432
13850082	1.114
21106169	0.009
7872	0.042
7875	0.042
7913	0.042
7670	0.725
8568	0.042
14846	0.071
7800	0.071
11843	0.042
29012	0.042
10797	0.939
7538	0.071
7536	0.071
11755	0.056
7706	0.042
7761	0.118
10492	0.096
11680	0.083
11706	0.071
10653	0.059
68179	0.0
10001	0.249
6341	0.0
11727	0.0
7727	0.0
3951	0.0
21108550	0.115
13836021	0.0
9724	4.315
11731	0.0
8950	0.245
14866	1.319
6720	1.615
13850142	1.553
558917	0.394
11153	0.0
7559	0.0
558928	0.0
415	0.0
390927	1.553
10236	0.968
7012	0.096
11065	0.096
28981	0.317
99681	2.182
8525	0.059
6176	0.352
7081	0.303
6313	0.0
13837702	0.0
9903	0.760
13849989	0.394
55123	0.0
12012	0.0
7534	0.465
10791	0.371
11125	0.0
7782	0.0
8552	0.032
7701	0.032
6316	0.0
9325	0.133
13866593	0.0
11911	0.584
55091	0.359
552744	0.030
7888	0.032
12013	0.032
123860	0.0
28986	0.195
2863	0.032
6335	0.0
7803	0.032
259	0.046
7616	0.034
171	0.0
24641	0.330
7129	0.365
7866	0.032
3756	0.032
10033	0.032
30713	0.0
10788	0.371
7621	0.454
8329688	0.099
10777	0.0
441	0.0
7838	0.0
5949	0.0
370	0.032
29029	0.0
7772	0.0
256	0.0
512	0.0
1005	0.0
2018460	1.106
21169510	0.706
48024	0.270
7013	0.421
7676	0.189
13875281	0.497
7220	0.175
7248	0.409
11661	0.318
12674	0.898
8097	0.760
12071	0.032
10035	0.032
12972	0.153
9976	0.153
7514	0.123
215929	0.123
11025	0.144
7734	0.0
7016	0.102
1087	0.0
60524	0.0
72551	0.239
763	0.0
1095	0.0
6179	0.954
2038738	0.076
11154	0.0
12259	1.979
3973	0.409
13836589	0.0
172	0.0
13836520	0.034
22191	0.261
75951	0.239
72793	0.273
13835336	0.0
13875230	0.513
18219	0.0
4514549	0.0
10801109	3.484
15016	0.0
29004	0.566
7871	0.072
21153	0.072
7802	0.072
12218	0.072
12632	0.072
7760	0.072
11095	0.072
21106173	0.566
7607	0.102
13866746	0.373
7577	0.0
7506	0.448
13835861	0.091
6326	0.0
9228	0.229
29036	0.0
13838404	0.0
7239	0.440
11647	0.411
7530	0.506
21106535	0.166
6119	0.0
10251740	0.143
9326	0.147
2916	0.0
558875	0.0
6106	0.0
3544	1.122
1266019	0.423
109838	0.0
6321	0.0
175	0.0
13874867	0.130
6314	0.0
4510484	0.224
68832	0.203
62530	0.230
13842613	0.364
7391	0.172
7984	0.648
11809	0.0
7242	0.197
58234	6.450
26325086	0.761
13862665	0.034
15443	0.346
124968	0.038
9581	0.218
66809	0.114
221082	0.216
13875320	0.755
6642	2.813
62826	0.366
13835376	0.0
127750	0.0
12442	0.0
13857694	0.558
7673	0.327
7443	0.171
7662	1.112
1609	0.0
363458	0.201
7684	0.241
61111	0.054
13875196	0.198
11042	0.246
24972	0.503
28992	0.199
13875160	0.324
13875258	0.450
73479	0.424
8935	0.764
15093	0.435
9994	0.0
29015	0.0
278	0.0
4446445	0.0
4444608	0.0
394562	0.0
13839199	0.129
18724	1.148
7238	0.147
21105959	0.457
13866817	0.344
13875392	0.777
13839575	0.0
6322	0.0
558020	0.041
733	0.026
6342	0.0
21132380	0.394
7551	0.0
12244	0.966
1266393	0.072
13677	0.984
124	0.331
132	0.257
21106015	0.0
65750	0.255
63903	0.280
10940	0.382
13865438	0.292
7223	0.196
13868640	0.596
29001	0.203
59674	0.0
21106135	0.355
10248	1.055
13837988	0.542
8528	0.179
8900	0.0
10400	0.313
8067	3.660
13839109	0.042
13837537	0.0
21105905	0.221
11077	0.423
13839123	0.553
9911	0.829
13839174	0.658
906	0.5
7630	0.117
13865426	0.163
13884973	0.874
10710415	0.154
8543	0.0
13835604	0.0
6093	0.0
59447	0.246
21106560	0.236
20843	0.319
15965	0.269
70682	0.0
13658	0.759
11862	0.0
7710	0.0
7809	0.0
7765	0.0
69177	1.566
