Compound Id	MannholdLogP
502855	2.12
6191	1.02
26325183	2.67
5709	1.79
6153	1.130
16425	0.69
8521	1.790
23150	1.79
76894	1.570
2041618	1.680
8520	1.79
66656	1.680
26824	1.79
18019	1.790
11434292	1.68
26325084	2.01
6190	1.02
11919	2.23
10696	1.46
26325083	2.01
10451	1.46
23101	1.790
122090	1.9
26325082	2.010
26325081	2.01
512621	1.79
10449	1.460
26325080	2.01
66655	1.9
10652594	0.910
14021447	2.01
67991	1.350
109705	1.460
17619	1.570
9256	1.13
692	1.46
291	1.57
6084	1.68
6094	1.79
7555	1.9
6120	1.9
7712	2.01
6308	2.01
9646	2.01
10781	2.34
15802	2.45
17976	2.45
7767	2.12
7604	2.12
7010	2.12
6163	2.12
6340	2.12
8560	2.23
11094	2.23
11023	2.23
11055	2.23
10786	2.23
7619	2.23
10755	2.23
11551	2.23
349	2.34
11035	2.34
11104	2.34
10795	2.34
10445	2.34
7849	2.45
17558	2.45
13439	2.45
13402	2.45
14840	2.56
13448	2.56
13619	2.67
7890	2.780
11882	2.890
11883	3.0
10540	3.220
7929	3.66
11897	3.77
11899	3.88
12017	3.990
12072	4.1
11900	4.21
11901	4.32
11146	4.43
11902	4.54
10542	4.98
11906	5.42
8878	2.23
11585	2.01
11557190	2.010
10452	1.46
10784857	0.8
108106	2.34
127983	1.24
78828	2.01
68328	2.01
67414	2.12
13837650	1.46
13853215	1.02
9392	1.02
10765	2.01
7674	2.23
14998	1.790
10614293	2.34
61149	1.02
6156	1.790
12201	2.12
11109	2.12
24142	3.11
13622	3.0
16180	2.890
7891	2.780
12446	2.12
29025	2.45
12635	2.67
11121	2.23
7713	2.01
12809	2.56
7833	2.34
7556	1.9
7954	1.79
555074	2.23
7957	1.9
4516601	2.34
56442	1.9
4483639	2.01
4516599	2.34
4512361	2.34
4483638	2.01
4449912	1.9
4512642	2.34
18410	2.56
22408	1.350
66675	1.9
10113	2.01
9484	1.350
23208	1.13
6085	1.68
7024	2.12
15438	2.34
8896	2.01
14751	2.34
221117	2.34
7787	2.12
8908	2.23
8909	2.34
8910	2.56
71433	1.9
22814	1.350
9095782	1.46
6151	1.130
14299946	1.24
6188	1.02
11099	2.01
73583	1.24
7340	2.670
8158	2.010
11110	2.12
9642	1.79
12577	1.24
11996	2.010
10756390	1.9
62827	1.24
7626	2.010
10265264	2.34
13835550	1.46
56117	1.79
11230	1.790
63631	1.9
11086	2.23
21106179	1.24
11841	2.23
6402	2.56
1406720	3.11
2056044	1.02
1114	1.68
14692	2.56
10179173	2.34
21800	2.34
8544	2.01
7788	2.12
4927801	2.56
9088156	1.9
29040	1.13
10325078	1.02
55188	2.010
7624	2.010
68224	1.9
24263	2.56
6364	2.56
11749	1.9
14672	1.9
11228	1.790
11864	2.34
12209	2.12
11857	2.23
391428	2.56
10733068	2.01
454638	3.11
12456	2.56
17880	2.45
11845	2.23
11806	2.01
9990	1.9
6309	2.01
7557	1.9
558883	2.01
56020	2.01
10124	2.12
6111	1.79
10265270	2.56
14198	2.56
7794	2.23
7180	2.56
9286	1.24
9411	1.350
14441700	1.46
6148	1.350
6149	1.130
15765	2.34
553642	2.34
15413	1.79
7182	2.56
10669	2.56
66567	1.13
6132	1.24
8569	2.23
12220	2.45
7823	2.010
11849	2.010
10441	1.68
3168	1.790
11833	1.9
455420	2.23
10709	1.790
7558	1.9
6095	1.79
10179239	2.56
12197	1.9
11761	2.010
6108	1.35
69914	1.79
59573	1.570
70850	1.790
38403	1.02
11671339	1.79
7956	1.570
55090	1.9
11180	2.010
274	1.35
6145	1.790
10053	1.790
28993	2.56
59483	1.46
11811	1.790
7777	1.9
15482	2.45
454215	1.13
7856	2.23
8562	2.010
10054	1.790
7730	1.790
11739	2.12
11056	2.010
6146	1.790
9461	1.46
654	1.570
11194	2.12
6165	1.9
11216	2.12
62230	2.23
16791	2.34
18717	2.12
11210	2.12
518	1.350
11117	2.12
205483	2.01
10979	2.56
61346	1.13
6186	1.02
391	1.350
69371	1.79
69569	1.35
6310	1.790
7606	1.9
7181	2.56
99596	1.35
23255	1.790
6123	1.68
4514529	1.350
11351244	2.23
499714	1.9
78467	2.01
16841	1.13
2062437	1.35
61266	1.680
15954	2.12
11819	2.12
7622	2.010
99440	2.12
11239	1.9
11543	2.12
10790	2.010
6187	1.02
2656	2.45
6827	2.780
20939	2.56
9016	1.13
7817	2.010
11788	2.010
13835316	1.46
6270	1.790
454209	1.68
9633	2.23
9377	2.010
9243	1.570
11148	1.46
923	1.13
6121	1.68
8576	2.45
7851	2.23
15387	2.340
6315	1.790
7811	2.010
7835	2.12
7769	1.9
7716	1.790
7564	1.68
6101	1.570
6089	1.46
6118	1.68
8577	2.45
14349	2.340
7852	2.23
14680	2.12
7776	1.9
7330	2.01
6122	1.68
63863	1.350
2282428	1.13
15486	2.45
7732	1.790
18920	2.23
11861	2.340
123993	2.23
11036	2.12
11029	2.12
11794	2.010
11732	2.010
10511	2.12
21011	1.9
11678	2.010
7533	2.23
3644	1.68
6320	1.790
10947	1.9
6164	1.9
11729	1.68
9254	1.13
9251	1.13
6307	1.790
62589	2.010
7686	2.010
13837280	1.350
9253	1.13
13255	2.010
10512	1.9
13837797	2.010
16641	1.13
6098	1.570
10536	2.23
7827	2.010
9233	1.790
18607	1.790
5730	1.130
3441	1.13
83734	1.13
217	1.350
56559	3.33
9053802	2.89
10787	2.010
29000	1.9
11793	2.010
10526	2.010
120464	2.010
7434	2.23
7459	2.010
11024	2.010
6312	1.790
8398	1.9
24590970	1.35
7733	1.790
56144	1.02
