Compound Id	EccentricConnectivityIndex
960	415
6177	29
61213	24
20545	500
7472	54
11207996	54
29016	76
7747	56
7627	38
10571	36
7076	98
6649	43
8012	36
7003	74
13854944	31
6104	6
4937830	14
61191	99
9614	45
7739	20
8883	84
7757	235
7511	165
7509	135
29005	107
10420	83
7478	61
7475	61
7463	45
6333	19
21111806	54
10364	60
21111820	29
21171407	14
3210	273
10756	97
11910	24
7469	54
7064	54
60329	38
13842001	54
13850082	161
21106169	24
7872	169
7875	239
7913	321
7670	83
8568	111
14846	167
7800	137
11843	87
29012	65
10797	43
7538	109
7536	85
11755	31
7706	47
7761	65
10492	47
11680	45
11706	63
10653	29
68179	96
10001	38
6341	24
11727	14
7727	24
3951	24
21108550	58
13836021	24
9724	74
11731	14
8950	81
14866	126
6720	95
13850142	99
558917	122
11153	6
7559	14
558928	14
415	24
390927	99
10236	63
7012	29
11065	31
28981	74
99681	166
8525	31
6176	29
7081	36
6313	19
13837702	38
9903	70
13849989	122
55123	96
12012	74
7534	72
10791	36
11125	54
7782	38
8552	65
7701	47
6316	19
9325	54
13866593	54
11911	24
55091	29
552744	31
7888	203
12013	279
123860	122
28986	61
2863	169
6335	19
7803	87
259	31
7616	31
171	9
24641	118
7129	69
7866	139
3756	239
10033	467
30713	24
10788	36
7621	38
8329688	24
10777	24
441	96
7838	74
5949	54
370	111
29029	122
7772	38
256	24
512	14
1005	19
2018460	43
21169510	63
48024	45
7013	29
7676	45
13875281	54
7220	60
7248	71
11661	77
12674	140
8097	90
12071	579
10035	639
12972	161
9976	105
7514	63
215929	85
11025	45
7734	24
7016	29
1087	6
60524	19
72551	122
763	2
1095	20
6179	29
2038738	60
11154	6
12259	89
3973	41
13836589	38
172	6
13836520	77
22191	72
75951	96
72793	94
13835336	14
13875230	54
18219	24
4514549	0
10801109	128
15016	486
29004	63
7871	169
21153	203
7802	87
12218	139
12632	111
7760	65
11095	47
21106173	63
7607	31
13866746	89
7577	14
7506	122
13835861	24
6326	19
9228	58
29036	9
13838404	9
7239	60
11647	92
7530	58
21106535	29
6119	9
10251740	51
9326	54
2916	6
558875	14
6106	6
3544	203
1266019	199
109838	54
6321	19
175	9
13874867	54
6314	19
4510484	74
68832	54
62530	81
13842613	54
7391	81
7984	48
11809	24
7242	60
58234	73
26325086	61
13862665	47
15443	60
124968	45
9581	71
66809	60
221082	81
13875320	54
6642	102
62826	41
13835376	74
127750	74
12442	14
13857694	54
7673	45
7443	77
7662	63
1609	38
363458	45
7684	45
61111	45
13875196	77
11042	58
24972	67
28992	58
13875160	58
13875258	58
73479	88
8935	127
15093	115
9994	16
29015	36
278	6
4446445	96
4444608	54
394562	24
13839199	45
18724	78
7238	60
21105959	67
13866817	58
13875392	54
13839575	96
6322	19
558020	45
733	29
6342	24
21132380	54
7551	14
12244	76
1266393	47
13677	119
124	115
132	88
21106015	14
65750	135
63903	81
10940	54
13865438	77
7223	60
13868640	58
29001	38
59674	38
21106135	71
10248	76
13837988	54
8528	54
8900	20
10400	212
8067	102
13839109	87
13837537	36
21105905	60
11077	54
13839123	67
9911	80
13839174	63
906	90
7630	38
13865426	72
13884973	45
10710415	72
8543	24
13835604	54
6093	6
59447	45
21106560	60
20843	54
15965	144
70682	122
13658	80
11862	74
7710	24
7809	54
7765	38
69177	89
21111822	58
6794	101
7681	45
26516	81
17131	121
10772140	19
7190	88
63054	89
18801	74
68156	54
21106520	45
16119	76
10244	89
924	69
13862559	67
6788	108
7131	69
7466	45
13861343	29
73412	38
8904	36
13874733	45
24535	101
25552	80
10437215	107
12225	29
13839151	63
13848808	99
8140	67
11087	45
10909	130
10918	123
15489	168
2441	73
12499	102
7480	53
10939	54
7018	29
11784	45
13839128	67
8868	70
7518	58
21106019	77
7528	58
24533	60
1020	36
2039535	81
13839110	63
21105998	95
13865680	67
11604	71
8374	178
21106586	81
11756	31
8733	24
13835459	36
71089	45
7688	45
8902	36
10937	54
6897	116
773	20
17443	60
6883	90
11785	45
15495	193
1141	54
7240	60
503239	69
13860641	67
6974	54
21106571	76
10908	126
3463	166
16388	218
6828	140
7161	99
592	24
8141	29
7679	45
4444456	24
83866	54
66996	45
21105897	127
15427	107
5830	81
13840690	60
13839105	67
11667	77
13835772	54
61538	76
238	69
13864445	63
21108548	58
13047	89
21106163	80
967	102
13876103	128
2018165	19
14256731	195
6311	19
11699	83
12643	45
83850	54
30595	99
13839082	58
13865424	77
13853758	88
13860335	60
4366810	122
10422	96
11695	61
13229	92
24099	38
11576	99
7175	113
7157	101
12060	102
14678	129
11021	77
21105871	54
466305	170
13837686	54
61411	89
917	124
21106519	129
65	67
13029	76
13875356	54
19766	89
12044	151
12682	145
10181341	92
748	2
71628	74
7568	14
13839553	24
9363	45
6296	70
9574	80
971	45
13846663	99
21106091	124
10246	76
70715	45
13871718	107
2654	301
9547	76
92731	48
62632	384
78998	338
11884	254
16177	216
15853	182
67360	150
11866	74
15846	122
7566	14
29026	96
11846	54
7770	38
7717	24
6102	6
21109330	34
10948	29
13835293	34
13835224	19
13839441	54
13835235	14
62808	45
7236	60
11589	113
79969	173
21106366	92
62310	157
7420	107
28982	77
19709	101
21168831	81
55443	167
453675	201
60121	90
69340	135
10992	71
6633	63
16804	102
21159695	102
455090	69
57726	91
7234	60
6630	63
71437	91
13063	135
558878	122
2005981	9
25886	70
71430	78
7736	20
447	67
21106525	77
18707	67
559096	252
13868660	58
707	102
7140	80
8070	76
387	24
10018	36
61001	123
13854136	54
1664	45
20570	69
13854248	54
7001	80
11366	76
21106540	76
21106570	89
15855	99
7790	36
13835209	38
8903	36
62489	60
8899	20
13634	60
13630	45
13869434	67
553578	122
66565	54
10437135	81
66021	45
7221	60
10857	63
7383	81
13030	76
6339	24
6736	99
10851	119
10850	117
23977588	233
434	80
24043	36
12069	87
191367	65
11799	47
7615	31
6338	19
11265	50
6135	9
72056	254
34095	182
18685	150
62628	122
67653	122
11875	96
21106032	38
7021	29
1348	29
66896	442
62534	102
62408	90
7389	81
13848467	107
72556	135
13835151	58
10991	71
13860692	54
13869462	67
38364	63
12045	153
2003	198
17784	50
12637	182
13839416	74
11694	61
29008	20
2606	29
21106524	67
12823	77
5889	45
81815	51
13840647	63
13875212	54
9579	88
21105859	100
19475	29
9874	101
13647	69
9350	58
21168826	71
10801842	81
65785	208
13860491	67
6780	90
10841	117
5593	70
25889	43
25890	146
10227261	254
220998	174
12954	116
9454	115
9360	54
13851576	60
21105848	97
12047	168
16736498	233
913	69
6478	114
6745	112
8912	144
12229	45
6898	129
10849	117
11038	58
89076	284
21105870	107
199342	205
19477	74
6287	88
13811	101
14169248	70
1019	20
10437074	45
21105878	100
21168813	80
235	60
8186	88
11596	140
13860775	67
6674	76
11083	63
2206	111
13872122	107
8098	90
10328	54
6737	99
6789	108
15861	137
7600	137
4445317	153
11632	70
7961	24
13885245	146
8674	90
7132	69
13856352	81
8071	76
11783	45
10980	88
21106172	76
27488	63
10813	108
7202	113
30516	94
26325090	122
21112023	88
13876539	81
21106018	67
68676	124
551	144
11776	63
66895	254
66887	214
9893	116
63518	178
59482	144
6881	90
13839308	81
10586285	171
218253	151
8341	108
20198	123
7689	45
63310	76
7299	174
10829	108
191	100
12957	45
84036	54
68152	43
24041	85
19953955	54
13835630	81
14556	116
21106140	151
13863618	67
13837787	76
1361549	225
10831	108
23886	162
33421	162
992	98
70714	45
13875432	54
12640	29
6480	83
15755	117
14995	108
14994	108
67470	119
15476	117
15756	123
1906	115
6592	144
21943	63
10106	153
19956441	74
11930	43
10384035	81
65936	60
14227	80
11584	113
13867714	140
6706	89
6916	206
19957731	150
10205670	19
120489	60
13875219	58
7302	174
70660	122
16387	221
502245	186
5708	36
16159	36
13648	69
9349	58
63889	58
13835126	88
10437210	88
768	79
34863	173
23730	29
23621376	38
11332993	103
21106146	80
12231	54
13837760	54
10008	45
10972	80
2079	186
13869451	54
4759	196
33617	196
11961	76
15619	139
6739	99
953	88
331	76
15789876	405
7224	60
11600	59
21106144	76
13863774	88
10243171	115
7138	69
4878	54
6604	119
25677	184
6840	180
4590	171
12816	60
21111781	80
123207	58
776	70
15475	117
15477	108
15478	126
15524	130
2297441	181
158870	126
157093	134
83374	139
457144	128
135925	117
457145	128
8807	114
8182	112
19476	45
13871489	170
28969	92
13863629	44
7278	118
13644	69
21106014	67
13869480	71
42330	140
13869339	58
13875441	54
30881	214
14620	181
6852	135
6735	99
30572	85
392447	120
67465	114
4962	67
21106013	80
577	54
26260	128
4932499	152
4575338	289
12586	153
7964	104
6193	113
86394	100
13860817	67
21111772	80
15620	117
11708	58
6079	88
13859497	111
9943	60
28973	161
62517	92
456015	60
63906	77
1446	95
12133	166
15621	128
11632871	256
13856009	69
79280	150
27296	129
11651	102
8657	71
8665	77
4575	182
13842573	58
8876	82
63908	77
10181339	120
86435	173
21106020	88
15488	153
84188	126
136000	128
135983	141
136001	132
136002	126
136003	137
84235	145
10438331	155
82755	148
82712	137
157094	156
103011	145
102798	126
82762	148
13849665	356
24326358	151
5894	19
15702	200
221226	102
5976	63
68437	126
26010	164
30600	164
33455	179
33934	181
33932	164
5807	240
34866	175
34665	192
34664	175
37904	175
34864	175
34188	190
34865	194
11974	80
10771217	24
33416	210
15409	180
21106036	95
120548	88
11591	113
11778	63
44152	140
11954	76
8855	90
11769	54
18941	213
29282	231
6586	130
2915	144
13328	197
8960	2
10772050	29
7225	60
70652	208
7685	45
7208	126
21111817	67
20124	108
7406	140
10498	24
70988	171
9564	67
2923	74
21106470	90
10432	58
56793	186
454495	186
40191	203
56791	205
35581	186
56774	197
82765	216
7042	123
2185	212
4760	196
12874	196
13853953	76
6988	67
13869414	77
13860720	67
11294	108
457140	135
27793	144
82754	146
457138	156
102897	154
457139	146
102947	137
97173	150
102720	143
102801	135
102833	152
102721	143
102856	137
102933	156
103066	150
97172	164
64016	308
4450907	289
120621	38
12445	45
20119	47
7030	29
13835932	52
13257	58
2937774	140
62484	113
1015	70
87265	77
12699	183
21429023	192
10892	89
376	126
13837303	210
78	60
13837329	148
11595	126
4745	286
4768	181
20848	181
65701	88
8273	144
12705	181
8183	112
11563	80
59577	61
61707	24
11610	118
7397	92
6675	76
11588	88
2283071	148
8319	99
11003	174
13104	194
6334	19
206561	113
64699	63
21106008	122
5091	521
55205	65
13816	29
11244	24
247721	182
71	99
2169	166
13303	166
13302	154
4489	58
13835706	172
26765	45
192642	36
122446	43
21181	63
11752	31
2275	23
10464	31
6330	19
11795	47
173	9
3918	227
6790	108
106355	141
102741	154
97055	167
97198	159
5993	19
693	6
28682	69
191058	112
5596	54
18	87
6807	181
13856959	265
553649	212
13848341	96
10864	76
5027	151
2271976	435
10169	261
8860	180
10986	126
5915	92
7146	91
6838	288
34874	188
36972	205
56788	207
533188	188
35579	188
16182	226
46262	205
35580	207
82818	188
56790	203
56795	209
33458	188
82777	205
35584	207
56785	188
56792	226
34189	188
34859	210
84346	229
56760	231
56755	210
33666	252
8030	205
8060	282
13867413	45
7310	146
6781	89
21106365	180
13865630	148
26325085	258
26325087	256
26325088	252
7241	60
12061	107
61765	90
15473	166
17099	181
17098	183
33933	166
15474	200
34868	177
37905	192
34869	196
37918	177
37915	194
34867	177
25605	192
26011	196
34870	194
34666	177
21924	213
36973	199
37744	216
46894	218
45444	220
56769	199
56780	199
34847	199
39406	218
35081	239
56781	218
56771	218
3584	476
6842	180
4624	383
10101	41
10025	156
5004	224
28994	14
9218	103
13835351	153
6773	149
102834	155
102722	165
154865	167
96948	165
102743	157
102857	175
154866	167
106356	165
102787	161
97240	146
102742	152
136966	77
13054	118
7636	42
71787	54
21105795	71
11629	109
13853943	76
21105699	140
5439	31
29107	24
7029	29
19231	60
67460	135
299166	88
9873	189
17868	140
13860434	101
123	77
2157	123
13850879	260
6524	326
8243	468
6528	578
13837319	370
8241	284
11422	101
6855	148
13839012	151
2927	277
69982	84
6774	97
9965	144
8262	130
10903	153
206493	116
97257	176
97224	176
102923	166
96868	186
96864	186
97234	178
97233	176
154062	186
97142	170
4777	345
2075	331
18177	155
6665	126
21106148	113
6023	90
65763	112
56782	244
36977	223
83414	267
84348	242
82823	246
13846749	140
11107	65
11586	153
21106518	80
9120	135
3277	283
1278	170
6907	172
844	38
62472	139
6950	70
744	95
4444102	355
26563	324
6035	113
3548	240
392	58
21108576	88
1151	95
10628694	87
36975	220
56778	201
43354	241
37779	218
45445	222
