Compound Id	AutocorrelationMass [ATSm5]
1039	0.0
6088	0.0
864	0.0
13837281	0.0
937	0.0
56232	8.498
71390	0.0
5979	0.0
13837190	1.0
7074	6.332
15077490	0.0
13872989	0.0
13638	4.166
7170	11.0
10534	0.0
6128	0.0
9391	0.0
6086	0.0
10410	7.0
68503	6.0
10675065	11.331
14694	0.0
7090	10.491
7028	0.0
63156	3.332
12626	2.332
62597	1.332
15803	11.328
10487	2.952
13492	9.0
15747	10.0
8356	7.0
13849981	7.332
12933	23.716
6105	0.0
18971812	0.0
14688	12.498
6125	0.0
13835977	0.0
5977	0.0
71876	9.664
7128	5.0
7183	6.0
7088	7.0
15461	9.0
13299573	46.582
107412	9.338
7073	6.332
455353	5.664
16778	3.332
7705	3.332
2340753	0.0
7728	1.332
8554	0.0
10340	0.0
21112738	0.0
4481813	0.0
13487	8.0
7385	5.0
8531	7.0
7448	6.0
4514586	0.0
764	2.664
10325184	0.0
6406	2.0
12066	0.0
7738	0.0
7098	13.155
10404	7.0
7419	6.0
7219	3.0
11660	4.0
6999	6.0
5026296	3.996
18688	5.332
7737	0.0
13871721	1.332
1108	1.0
236	0.0
7521	2.0
7641	3.0
7659	6.0
11871	7.340
55130	8.328
10433	5.332
11992	5.664
13836399	4.664
7703	3.360
10253	8.0
60886	52.648
83962	12.660
12161	6.0
7671	10.328
10446	6.996
62249	3.0
11526	1.0
13571291	0.0
71312	0.0
7026	0.0
7678	1.332
9970	2.664
7672	6.653
7786	2.0
8335	8.0
6301	7.332
10606755	15.012
7657	8.660
22453	6.996
7065	4.332
11193	2.664
13836591	2.332
13875283	2.582
7553	0.0
11409	5.0
13249	13.664
3631	17.247
13835836	5.664
55084	9.328
7694	8.328
7482	6.996
11716	6.664
11045	5.664
7515	4.332
13836549	24.503
7546	0.0
7677	1.166
13836674	0.0
2293678	0.0
6967	2.0
6977	4.0
21168808	0.0
960	14.664
6177	0.0
61213	0.0
20545	16.664
7472	5.664
11207996	6.328
29016	5.996
7747	4.332
7627	4.664
10571	2.0
7076	6.664
6649	6.328
8012	2.664
7003	5.332
13854944	2.664
6104	0.0
4937830	0.0
61191	11.823
9614	1.582
7739	0.0
8883	3.0
7757	11.996
7511	9.996
7509	8.996
29005	7.996
10420	6.996
7478	6.328
7475	5.996
7463	3.332
6333	0.0
21111806	5.666
10364	3.0
21111820	0.0
21171407	0.0
3210	14.664
10756	7.332
11910	0.0
7469	6.328
7064	4.664
60329	2.166
13842001	5.664
13850082	16.328
21106169	0.0
7872	8.664
7875	10.664
7913	12.664
7670	10.328
8568	6.664
14846	8.664
7800	7.664
11843	5.664
29012	4.664
10797	4.0
7538	6.664
7536	5.664
11755	2.664
7706	3.332
7761	4.996
10492	3.332
11680	3.664
11706	4.664
10653	1.0
68179	5.498
10001	5.328
6341	0.0
11727	0.0
7727	1.166
3951	0.0
21108550	3.164
13836021	1.332
9724	5.0
11731	0.0
8950	5.0
14866	10.0
6720	11.328
13850142	8.664
558917	8.664
11153	0.0
7559	0.0
558928	0.0
415	1.360
390927	8.664
10236	4.0
7012	1.332
11065	2.664
28981	6.664
99681	17.660
8525	2.332
6176	0.0
7081	3.664
6313	0.0
13837702	2.332
9903	4.0
13849989	8.664
55123	5.664
12012	4.664
7534	6.664
10791	2.0
11125	3.664
7782	2.332
8552	4.664
7701	3.664
6316	0.0
9325	3.164
13866593	3.332
11911	0.0
55091	0.0
552744	2.664
7888	9.664
12013	11.664
123860	6.664
28986	5.664
2863	8.664
6335	0.0
7803	5.664
259	2.664
7616	2.332
171	0.0
24641	12.103
7129	5.0
7866	7.664
3756	10.664
10033	15.664
30713	0.0
10788	2.332
7621	4.664
8329688	0.0
10777	0.0
441	5.332
7838	4.332
5949	3.332
370	6.664
29029	6.332
7772	2.332
256	1.332
512	0.0
1005	0.0
2018460	31.569
21169510	11.187
48024	1.166
7013	8.713
7676	2.952
13875281	3.952
7220	3.0
7248	5.0
11661	4.0
12674	10.0
8097	6.0
12071	17.664
10035	18.664
12972	9.664
9976	7.664
7514	4.332
215929	5.332
11025	3.332
7734	1.332
7016	1.0
1087	0.0
60524	0.0
72551	10.771
763	0.0
1095	0.0
6179	0.0
2038738	3.332
11154	0.0
12259	9.0
3973	5.903
13836589	2.664
172	0.0
13836520	4.332
22191	8.771
75951	9.771
72793	9.771
13835336	0.0
13875230	6.903
18219	1.0
4514549	0.0
10801109	29.484
15016	15.166
29004	6.996
7871	8.332
21153	9.332
7802	5.332
12218	7.332
12632	6.332
7760	4.332
11095	3.332
21106173	6.996
7607	2.332
13866746	17.917
7577	0.0
7506	8.664
13835861	0.0
6326	0.0
9228	4.534
29036	0.0
13838404	0.0
7239	4.670
11647	7.996
7530	2.332
21106535	8.713
6119	0.0
10251740	5.328
9326	2.914
2916	0.0
558875	0.0
6106	0.0
3544	17.328
1266019	11.996
109838	3.664
6321	0.0
175	0.0
13874867	7.213
6314	0.0
4510484	6.664
68832	6.439
62530	5.166
13842613	3.0
7391	5.332
7984	10.647
11809	3.932
7242	3.0
58234	3.996
26325086	5.996
13862665	3.332
15443	3.664
124968	1.582
9581	7.021
66809	3.332
221082	5.0
13875320	7.653
6642	12.0
62826	21.046
13835376	4.664
127750	4.664
12442	0.0
13857694	14.616
7673	6.653
7443	5.162
7662	34.993
1609	2.553
363458	1.0
7684	1.332
61111	1.582
13875196	4.914
11042	2.0
24972	4.0
28992	2.0
13875160	3.952
13875258	7.653
73479	7.329
8935	12.329
15093	11.280
9994	0.0
29015	0.0
278	0.0
4446445	5.332
4444608	3.332
394562	1.332
13839199	1.0
18724	7.166
7238	3.332
21105959	5.332
13866817	5.903
13875392	14.305
13839575	6.328
6322	0.0
558020	1.582
733	1.774
6342	0.0
21132380	3.166
7551	0.0
12244	7.996
1266393	4.836
13677	12.0
124	9.660
132	7.660
21106015	0.0
65750	7.166
63903	5.166
10940	2.0
13865438	4.332
7223	3.332
13868640	13.305
29001	5.439
59674	2.332
21106135	5.664
10248	7.332
13837988	5.903
8528	3.692
8900	0.0
10400	10.499
8067	69.987
13839109	5.996
13837537	0.0
21105905	3.166
11077	3.0
13839123	4.332
9911	6.664
13839174	4.332
906	6.0
7630	5.439
13865426	9.545
13884973	7.771
10710415	7.439
8543	8.713
13835604	3.664
6093	0.0
59447	1.0
21106560	3.166
20843	2.0
15965	11.660
70682	17.305
13658	6.0
11862	15.305
7710	44.258
7809	14.305
7765	13.305
69177	9.664
