Compound Id	PetitjeanNumber
502855	0.444
6191	0.333
26325183	0.5
5709	0.4
6153	0.5
16425	0.5
8521	0.5
23150	0.5
76894	0.5
2041618	0.5
8520	0.5
66656	0.5
26824	0.5
18019	0.5
11434292	0.5
26325084	0.5
6190	0.333
11919	0.5
10696	0.333
26325083	0.5
10451	0.167
23101	0.5
122090	0.5
26325082	0.5
26325081	0.5
512621	0.5
10449	0.25
26325080	0.5
66655	0.4
10652594	0.167
14021447	0.5
67991	0.5
109705	0.333
17619	0.5
9256	0.333
692	0.0
291	0.0
6084	0.0
6094	0.5
7555	0.333
6120	0.5
7712	0.5
6308	0.333
9646	0.5
10781	0.5
15802	0.429
17976	0.4
7767	0.4
7604	0.5
7010	0.5
6163	0.333
6340	0.333
8560	0.5
11094	0.4
11023	0.4
11055	0.5
10786	0.5
7619	0.5
10755	0.5
11551	0.5
349	0.429
11035	0.5
11104	0.4
10795	0.5
10445	0.5
7849	0.5
17558	0.429
13439	0.5
13402	0.5
14840	0.444
13448	0.4
13619	0.5
7890	0.455
11882	0.5
11883	0.462
10540	0.467
7929	0.474
11897	0.5
11899	0.476
12017	0.5
12072	0.478
11900	0.5
11901	0.48
11146	0.5
11902	0.481
10542	0.484
11906	0.486
8878	0.333
11585	0.429
11557190	0.5
10452	0.25
10784857	0.143
108106	0.375
127983	0.0
78828	0.5
68328	0.5
67414	0.333
13837650	0.333
13853215	0.333
9392	0.333
10765	0.333
7674	0.25
14998	0.5
10614293	0.5
61149	0.4
6156	0.5
12201	0.5
11109	0.4
24142	0.5
13622	0.462
16180	0.5
7891	0.455
12446	0.5
29025	0.5
12635	0.5
11121	0.5
7713	0.5
12809	0.444
7833	0.429
7556	0.333
7954	0.5
555074	0.5
7957	0.5
4516601	0.429
56442	0.333
4483639	0.5
4516599	0.429
4512361	0.429
4483638	0.5
4449912	0.333
4512642	0.429
18410	0.429
22408	0.0
66675	0.333
10113	0.333
9484	0.5
23208	0.5
6085	0.0
7024	0.333
15438	0.4
8896	0.0
14751	0.4
221117	0.25
7787	0.0
8908	0.0
8909	0.0
8910	0.0
71433	0.333
22814	0.0
9095782	0.333
6151	0.5
14299946	0.333
6188	0.333
11099	0.5
73583	0.333
7340	0.5
8158	0.5
11110	0.4
9642	0.5
12577	0.333
11996	0.5
10756390	0.429
62827	0.5
7626	0.5
10265264	0.4
13835550	0.333
56117	0.5
11230	0.333
63631	0.333
11086	0.25
21106179	0.5
11841	0.5
6402	0.25
1406720	0.4
2056044	0.4
1114	0.5
14692	0.444
10179173	0.4
21800	0.25
8544	0.0
7788	0.0
4927801	0.25
9088156	0.429
29040	0.333
10325078	0.333
55188	0.5
7624	0.5
68224	0.375
24263	0.4
6364	0.25
11749	0.5
14672	0.333
11228	0.333
11864	0.429
12209	0.4
11857	0.0
391428	0.4
10733068	0.375
454638	0.5
12456	0.444
17880	0.5
11845	0.5
11806	0.5
9990	0.333
6309	0.333
7557	0.333
558883	0.5
56020	0.5
10124	0.333
6111	0.0
10265270	0.4
14198	0.25
7794	0.5
7180	0.5
9286	0.333
9411	0.4
14441700	0.333
6148	0.5
6149	0.5
15765	0.25
553642	0.0
15413	0.5
7182	0.5
10669	0.5
66567	0.5
6132	0.5
8569	0.5
12220	0.5
7823	0.5
11849	0.5
10441	0.333
3168	0.5
11833	0.4
455420	0.5
10709	0.5
7558	0.333
6095	0.5
10179239	0.4
12197	0.333
11761	0.5
6108	0.5
69914	0.333
59573	0.5
70850	0.333
38403	0.4
11671339	0.333
7956	0.5
55090	0.333
11180	0.333
274	0.5
6145	0.5
10053	0.5
28993	0.429
59483	0.25
11811	0.5
7777	0.4
15482	0.5
454215	0.333
7856	0.5
8562	0.5
10054	0.5
