Compound Id	WienerNumbers [WPATH]
11525	31.0
7721	20.0
6083	1.0
1039	4.0
6088	1.0
864	1.0
13837281	29.0
937	0.0
56232	261.0
71390	9.0
5979	58.0
13837190	20.0
7074	136.0
15077490	42.0
13872989	10.0
13638	64.0
7170	197.0
10534	42.0
6128	9.0
9391	42.0
6086	1.0
10410	126.0
68503	88.0
10675065	96.0
14694	28.0
7090	114.0
7028	26.0
63156	56.0
12626	35.0
62597	20.0
15803	150.0
10487	42.0
13492	314.0
15747	399.0
8356	121.0
13849981	180.0
12933	320.0
6105	4.0
18971812	58.0
14688	643.0
6125	9.0
13835977	10.0
5977	9.0
71876	330.0
7128	88.0
7183	120.0
7088	114.0
15461	150.0
13299573	88.0
107412	62.0
7073	136.0
455353	120.0
16778	56.0
7705	52.0
2340753	28.0
7728	20.0
8554	27.0
10340	26.0
21112738	10.0
4481813	10.0
13487	242.0
7385	94.0
8531	121.0
7448	125.0
4514586	0.0
764	62.0
10325184	28.0
6406	46.0
12066	15.0
7738	15.0
7098	148.0
10404	182.0
7419	133.0
7219	64.0
11660	90.0
6999	111.0
5026296	123.0
18688	92.0
7737	15.0
13871721	20.0
1108	42.0
236	27.0
7521	62.0
7641	61.0
7659	84.0
11871	84.0
55130	102.0
10433	104.0
11992	71.0
13836399	84.0
7703	52.0
10253	114.0
60886	505.0
83962	269.0
12161	88.0
7671	135.0
10446	66.0
62249	63.0
11526	31.0
13571291	10.0
71312	42.0
7026	26.0
7678	42.0
9970	61.0
7672	42.0
7786	35.0
8335	117.0
6301	180.0
10606755	108.0
7657	102.0
22453	98.0
7065	70.0
11193	62.0
13836591	35.0
13875283	62.0
7553	10.0
11409	86.0
13249	802.0
3631	123.0
13835836	75.0
55084	200.0
7694	150.0
7482	108.0
11716	153.0
11045	110.0
7515	76.0
13836549	174.0
7546	17.0
7677	42.0
13836674	10.0
2293678	42.0
6967	60.0
6977	84.0
21168808	26.0
960	954.0
6177	42.0
61213	28.0
20545	1296.0
7472	71.0
11207996	71.0
29016	108.0
7747	74.0
7627	48.0
10571	46.0
7076	143.0
6649	67.0
8012	46.0
7003	102.0
13854944	32.0
6104	4.0
4937830	10.0
61191	152.0
9614	42.0
7739	15.0
8883	96.0
7757	428.0
7511	265.0
7509	202.0
29005	150.0
10420	108.0
7478	75.0
7475	75.0
7463	50.0
6333	18.0
21111806	61.0
10364	64.0
21111820	26.0
21171407	10.0
3210	586.0
10756	148.0
11910	28.0
7469	71.0
7064	70.0
60329	35.0
13842001	72.0
13850082	341.0
21106169	28.0
7872	277.0
7875	444.0
7913	667.0
7670	135.0
8568	158.0
14846	270.0
7800	206.0
11843	114.0
29012	79.0
10797	65.0
7538	153.0
7536	110.0
11755	32.0
7706	52.0
7761	79.0
10492	52.0
11680	50.0
11706	76.0
10653	31.0
68179	120.0
10001	48.0
6341	29.0
11727	10.0
7727	20.0
3951	29.0
21108550	62.0
13836021	20.0
9724	102.0
11731	10.0
8950	94.0
14866	201.0
6720	150.0
13850142	152.0
558917	194.0
11153	4.0
7559	10.0
558928	10.0
415	20.0
390927	152.0
10236	82.0
7012	31.0
11065	32.0
28981	104.0
99681	307.0
8525	32.0
6176	42.0
7081	48.0
6313	18.0
13837702	35.0
9903	79.0
13849989	194.0
55123	120.0
12012	84.0
7534	100.0
10791	46.0
11125	56.0
7782	35.0
8552	79.0
7701	52.0
6316	18.0
9325	60.0
13866593	56.0
11911	28.0
55091	42.0
552744	32.0
7888	354.0
12013	548.0
123860	165.0
28986	75.0
2863	277.0
6335	18.0
7803	114.0
259	32.0
7616	32.0
171	9.0
24641	184.0
7129	88.0
7866	212.0
3756	444.0
10033	1124.0
