Compound Id	a
1	0
2	0
3	12
4	18
5	27
6	72
7	12
8	24
9	0
10	0
11	0
12	80
13	12
14	39
15	12
16	1378
17	858
18	659
19	659
20	853
21	196
22	737
23	758
24	1146
25	1283
26	1308
27	1470
28	3031
29	560
30	818
31	1042
32	2118
33	54
34	496
35	486
36	558
37	83
38	310
39	532
40	458
41	458
42	872
43	260
44	260
45	88
46	88
47	622
48	1086
49	38
50	38
51	0
52	9
53	12
54	343
55	141
56	253
57	367
58	310
59	4297
60	3980
61	395
62	228
63	155
64	88
65	54
66	216
67	416
68	66
69	88
70	166
71	444
72	60
73	60
74	90
75	9
76	487
77	54
78	54
79	154
80	112
81	260
82	253
83	310
84	458
85	644
86	1146
87	2284
88	560
89	773
90	458
91	88
92	88
93	40
94	161
95	40
96	12
97	66
98	18
99	84
100	57
101	54
102	0
103	18
104	18
105	36
106	18
108	384
109	458
110	644
111	1146
112	644
113	112
114	40
115	98
116	18
117	39
118	54
119	110
120	644
121	310
122	564
123	87
124	440
125	38
126	458
127	310
128	39
129	1668
130	54
131	54
132	238
133	644
134	40
135	36
136	24
137	36
138	45
139	43
140	40
141	54
142	644
143	262
144	12
145	304
146	38
147	388
148	1146
149	252
150	48
151	36
152	0
153	260
154	644
155	644
156	229
157	112
158	1146
159	112
160	310
161	1146
162	0
163	108
164	112
165	196
166	9
167	458
168	644
169	458
170	88
171	442
172	188
173	298
174	624
175	848
176	1438
177	1118
178	4688
179	310
180	18
181	1146
182	1966
183	112
184	28
185	4831
186	644
187	112
188	458
189	644
190	5474
191	644
192	3706
193	2782
194	1026
195	18
196	310
197	858
198	112
199	2375
200	310
201	3980
202	659
203	644
204	310
205	1146
206	3980
207	3980
208	2782
209	3346
210	1009
211	310
212	458
213	551
214	1848
215	167
216	899
217	190
218	644
219	167
220	644
221	310
