Compound Id	s
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	1
9	0
10	0
11	0
12	0
13	1
14	1
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	2
24	0
25	0
26	2
27	1
28	0
29	2
30	0
31	0
32	0
33	1
34	0
35	0
36	0
37	1
38	0
39	0
40	0
41	1
42	1
43	0
44	0
45	2
46	1
47	0
48	0
49	0
50	0
51	1
52	1
53	0
54	0
55	0
56	1
57	0
58	2
59	0
60	0
61	1
62	0
63	1
64	0
65	1
66	2
67	0
68	1
69	1
70	0
71	0
72	1
73	1
74	1
75	0
76	0
77	0
78	1
79	1
80	2
81	0
82	2
83	1
84	0
85	1
86	0
87	1
88	0
89	1
90	1
91	2
92	0
93	2
94	1
95	0
96	2
97	1
98	1
99	1
100	0
101	2
102	0
103	0
104	1
105	1
106	1
108	2
109	1
110	0
111	0
112	4
113	2
114	2
115	1
116	1
117	0
118	0
119	0
120	0
121	2
122	1
123	1
124	0
125	1
126	0
127	0
128	0
129	0
130	1
131	0
132	0
133	0
134	2
135	1
136	2
137	0
138	0
139	1
140	1
141	0
142	2
143	1
144	1
145	0
146	0
147	1
148	0
149	0
150	1
151	0
152	2
153	1
154	2
155	2
156	0
157	0
158	0
159	0
160	0
161	1
162	0
163	0
164	1
165	2
166	0
167	1
168	2
169	0
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	2
180	2
181	2
182	1
183	1
184	2
185	2
186	2
187	0
188	0
189	2
190	0
191	1
192	2
193	2
194	1
195	0
196	1
197	0
198	2
199	1
200	1
201	2
202	0
203	1
204	1
205	1
206	2
207	0
208	0
209	1
210	2
211	2
212	2
213	2
214	1
215	1
216	1
217	3
218	1
219	0
220	0
221	0
