Compound Id	s
1	0.72
2	1.91
3	1.5
4	1.3
5	0.81
6	0.85
7	1.86
8	1.69
9	1.51
10	1.74
11	1.75
12	0.92
13	0.92
14	0.92
15	1.5
16	0.95
17	0.94
18	0.94
19	0.94
20	0.95
21	1.54
22	0.89
23	1.37
24	1.08
25	0.9
26	1.32
27	1.33
28	0.9
29	1.65
30	1.09
31	1.08
32	1.04
33	1.69
34	0.92
35	0.92
36	1.12
37	1.24
38	1.14
39	0.89
40	1.12
41	1.45
42	1.38
43	1.64
44	1.3
45	1.85
46	1.41
47	1.08
48	1.06
49	1.33
50	1.33
51	1.84
52	1.38
53	1.5
54	0.92
55	0.86
56	1.17
57	0.88
58	1.74
59	0.9
60	1.04
61	0.92
62	0.92
63	0.95
64	1.75
65	1.88
66	1.43
67	1.12
68	1.91
69	0.92
70	1.16
71	1.09
72	1.75
73	1.79
74	0.92
75	1.5
76	0.94
77	1.75
78	1.69
79	1.2
80	1.88
81	1.3
82	1.49
83	1.49
84	1.12
85	1.41
86	1.08
87	1.29
88	1.56
89	0.92
90	1.62
91	1.92
92	1.41
93	1.9
94	0.92
95	1.46
96	1.95
97	1.75
98	1.92
99	0.92
100	1
101	1.53
102	1.89
103	1.83
104	1.69
105	1.3
106	1.79
108	1.45
109	1.62
110	1.11
111	1.08
112	2.06
113	1.78
114	1.92
115	1.38
116	1.92
117	1.3
118	1.24
119	1
120	1.11
121	1.74
122	0.92
123	0.96
124	1.12
125	1.69
126	1.14
127	1.65
128	1.44
129	0.96
130	1.93
131	1.24
132	0.87
133	1.58
134	1.83
135	1.3
136	1.91
137	1.44
138	0.97
139	0.97
140	1.46
141	1.24
142	1.81
143	0.92
144	1.96
145	1.11
146	1.3
147	1.14
148	1.52
149	1.62
150	1.3
151	1.73
152	2.11
153	1.63
154	2.04
155	1.63
156	0.92
157	1.74
158	1.48
159	1.72
160	1.62
161	1.35
162	1.37
163	1.47
164	1.61
165	1.8
166	1.75
167	1.71
168	1.96
169	1.81
170	0.92
171	1.45
172	1.54
173	1.49
174	1.41
175	1.38
176	1.33
177	1.35
178	1.23
179	1.78
180	1.87
181	1.66
182	1.61
183	1.46
184	1.91
185	1.68
186	2.03
187	1.76
188	1.12
189	1.72
190	1.03
191	1.67
192	1.21
193	1.57
194	0.92
195	1.84
196	1.75
197	0.94
198	1.84
199	1.17
200	1.57
201	1.57
202	0.94
203	1.31
204	1.38
205	1.26
206	1.53
207	1.35
208	1.39
209	1.25
210	1.35
211	2.03
212	1.99
213	1.53
214	1.3
215	0.92
216	1.23
217	2.12
218	1.49
219	1.33
220	1.57
221	1.58
