Compound Id	a
1	0
2	1.73
3	2.25
4	2.25
5	2.25
6	3.75
7	2.47
8	2.6
9	2.83
10	3.16
11	3.24
12	6.25
13	1.33
14	2.37
15	2.25
16	21.4
17	16.3
18	15.4
19	15.4
20	18.3
21	8.05
22	11.6
23	13.1
24	14.7
25	14.7
26	16.3
27	17.4
28	20.9
29	13.9
30	11.1
31	14.7
32	17.3
33	4.27
34	11.9
35	11.1
36	11.8
37	4.93
38	8.44
39	10
40	10
41	11.2
42	14.3
43	8.76
44	7.67
45	7.67
46	7.81
47	9.52
48	12.6
49	4.98
50	4.98
51	1.73
52	1.73
53	2.25
54	10.3
55	5.31
56	8.05
57	8.44
58	10
59	24.1
60	24.1
61	8.75
62	9.38
63	7.81
64	5.63
65	5.44
66	7.04
67	8.02
68	4.56
69	4.07
70	4.95
71	7.96
72	3.08
73	3.18
74	3.48
75	2.25
76	13.8
77	4.45
78	4.93
79	6.49
80	6.88
81	8.44
82	8.44
83	9.62
84	10
85	12.7
86	14.3
87	20.6
88	11.9
89	11.9
90	11.6
91	8.69
92	6.71
93	6.11
94	5.62
95	5.15
96	4.55
97	4.16
98	3.78
99	2.53
100	4.98
101	3.66
102	1.06
103	2.91
104	3.38
105	3.38
106	3.38
108	10
109	11.2
110	11.6
111	14.7
112	16.3
113	7
114	7.13
115	4.16
116	3.89
117	3.64
118	2.6
119	5.45
120	11.6
121	10.2
122	10.3
123	6.25
124	10.4
125	5.3
126	10.7
127	9.13
128	3.75
129	24.4
130	4.93
131	3.75
132	6.88
133	12.3
134	6.11
135	2.6
136	2.98
137	1.06
138	1.63
139	4.69
140	6.25
141	3.75
142	13.1
143	7.19
144	4.47
145	6.18
146	5.14
147	7.96
148	15.4
149	7
150	2.07
151	7.8
152	2.25
153	9.23
154	15
155	13.1
156	8.69
157	6
158	15.4
159	6
160	9.13
161	15.9
162	0
163	4.5
164	6.49
165	8.44
166	1.73
167	11.7
168	13.8
169	14.5
170	4.07
171	10.4
172	7.3
173	8.87
174	12
175	13.6
176	16.7
177	15.1
178	26.8
179	10.5
180	4.23
181	16.7
182	19.8
183	6.01
184	4.06
185	25.3
186	14.8
187	7.42
188	9.62
189	13.6
190	27.2
191	13.3
192	22.6
193	23
194	13.4
195	2.91
196	10.1
197	16.3
198	7.33
199	17.9
200	9.13
201	26.5
202	15.4
203	12.3
204	9.14
205	15.4
206	26.1
207	24.8
208	21.6
209	23.7
210	14.7
211	12.7
212	14.3
213	11.8
214	19
215	5.19
216	11.6
217	13.8
218	12.3
219	5.19
220	12.7
221	9.91
