Compound Id	a
1	0
2	0
3	0
4	0
5	0
6	6
7	2
8	5
9	6
10	6
11	6
12	8
13	0
14	5
15	0
16	70
17	54
18	48
19	48
20	62
21	15
22	26
23	26
24	33
25	34
26	34
27	39
28	50
29	28
30	22
31	32
32	39
33	12
34	34
35	40
36	26
37	8
38	17
39	22
40	21
41	23
42	31
43	18
44	16
45	12
46	16
47	17
48	27
49	10
50	10
51	0
52	0
53	0
54	32
55	10
56	16
57	18
58	17
59	58
60	57
61	20
62	24
63	20
64	10
65	7
66	6
67	14
68	7
69	8
70	4
71	12
72	15
73	15
74	8
75	0
76	44
77	7
78	7
79	12
80	9
81	16
82	14
83	19
84	21
85	27
86	33
87	47
88	26
89	28
90	23
91	12
92	12
93	8
94	12
95	8
96	4
97	7
98	3
99	16
100	12
101	0
102	3
103	3
104	3
105	4
106	3
108	18
109	23
110	25
111	33
112	25
113	11
114	8
115	8
116	3
117	5
118	6
119	18
120	25
121	19
122	24
123	16
124	24
125	12
126	23
127	21
128	5
129	82
130	7
131	6
132	14
133	29
134	8
135	6
136	10
137	6
138	6
139	6
140	12
141	5
142	25
143	16
144	4
145	14
146	12
147	26
148	37
149	24
150	4
151	18
152	0
153	18
154	25
155	25
156	28
157	13
158	37
159	13
160	21
161	35
162	0
163	18
164	11
165	13
166	0
167	23
168	25
169	23
170	8
171	29
172	21
173	25
174	33
175	37
176	45
177	41
178	63
179	21
180	5
181	37
182	57
183	13
184	5
185	46
186	25
187	13
188	21
189	29
190	65
191	27
192	46
193	53
194	32
195	5
196	19
197	54
198	13
199	42
200	21
201	61
202	48
203	27
204	19
205	35
206	61
207	61
208	53
209	55
210	30
211	17
212	21
213	27
214	43
215	11
216	26
217	26
218	29
219	11
220	27
221	21
