Compound Id	2-day Tetrahymena toxicity as log(1/IGC50)
1	-1.17
2	-0.85
3	0.30
4	-0.24
5	0.41
6	1.01
7	-0.79
8	1.35
9	1.65
10	1.66
11	-1.29
12	-1.06
13	-0.31
14	-1.00
15	-0.38
16	-0.51
17	-0.24
18	-0.06
19	0.13
20	0.56
21	-0.81
22	-0.38
23	-0.86
24	-0.66
25	-0.57
26	0.33
27	0.91
28	1.09
29	1.13
30	-0.07
31	1.49
32	1.01
33	2.48
34	2.44
35	2.30
