ID	 MW
1	133.4
2	187.4
3	117
4	113
5	202.9
6	118.2
7	60.1
8	202.9
9	58.1
10	41.1
11	54.1
12	58.1
13	74.1
14	90.1
15	132.2
16	98.1
17	88.1
18	88.1
19	120.2
20	86.2
21	84.2
22	84.2
23	74.1
24	56.1
25	68.1
26	60.1
27	102.1
28	32
29	72.1
30	100.2
31	116.2
32	128.3
33	165.8
34	104.2
35	92.1
36	131.4
37	56.1
38	44.1
39	100.1
40	34.1
41	48.1
