Compound Id	nucleoside activities against Leishmania donovani
1	active
2	inactive
3	inactive
4	inactive
5	inactive
6	active
7	inactive
8	active
9	inactive
10	inactive
11	active
12	active
13	active
14	active
15	active
16	inactive
17	active
18	active
19	active
20	inactive
21	active
22	active
23	active
24	inactive
25	inactive
26	active
27	active
28	active
29	active
30	active
31	active
32	active
33	active
34	active
35	active
