Compound Id	2-day Tetrahymena toxicity as log(1/IGC50)
1	-2.001
2	-1.297
3	-1.238
4	-0.486
5	-0.008
6	0.013
7	0.811
8	0.064
9	-1.029
10	1.353
11	0.417
12	0.226
13	-0.442
14	-0.243
15	NTAS
16	NTAS
17	1.466
18	0.791
19	-1.022
20	-0.934
21	0.640
22	-0.402
23	-1.616
24	0.536
25	-0.234
26	-0.889
27	1.887
28	1.601
29	0.703
30	-0.851
31	-0.945
32	-0.490
