Compound Id	Enthalphy of vaporization at normal boiling point
375-17-7	121.5
76-11-9	152.973
630-20-6	213.539
811-97-2	217
4259-43-2	123.919
2366-36-1	211.87
354-58-5	145.295
76-12-0	154.9
354-14-3	182.762
354-15-4	176.694
811-95-0	207.719
76-13-1	144.3
812-04-4	163.659
79-35-6	183.088
374-07-2	133.618
124-73-2	104.7
354-23-4	169.431
71-55-6	223.681
679-86-7	201
79-34-5	229.314
40723-63-5	214.4
359-28-4	199.987
471-43-2	211.064
75-34-3	291.53
75-38-7	255
141563-84-0	127.7
430-57-9	255.682
76-14-2	135.9
624-72-6	396.291
354-25-6	161.174
359-58-0	140.9
421-04-5	193.57
75-68-3	223.453
431-07-2	196.16
338-64-7	237.99
1615-75-4	295.504
306-83-2	170.2
2837-89-0	165.8
460-35-5	201.758
75-63-8	118.8
54597-66-9	385.8
56-23-5	192.6
75-45-6	233.8
110587-14-9	338.323
79-38-9	183.429
75-72-9	149.3
355-25-9	97.412
75-61-6	127.034
431-06-1	201.771
75-71-8	166.2
356-18-3	120.499
75-09-2	330.8
60-29-7	357.7
75-10-5	381.9
74-84-0	489.5
75-04-7	600.8
75-02-5	397.872
593-53-3	488.8
67-72-1	206.996
460-13-9	369.356
76-16-4	116.2
116-15-4	129.307
75-28-5	366.7
107-31-3	468.5
22410-44-2	169.7
74-89-5	834.3
115-25-3	116.8
76-19-7	106.5
76-01-7	195.77
3822-68-2	161.2
354-33-6	164
109-66-0	357.35
40811-14-1	425.4
115-07-1	439.2
75-73-0	134.4
79-01-6	240.706
67-66-3	247
2356-61-8	120.017
662-00-0	140.4
431-31-2	171.654
690-39-1	160.3
354-12-1	175.936
2252-84-8	139.4
359-35-3	213.593
354-21-2	175.351
25167-88-8	223.369
57041-67-5	147.188
1649-08-7	205.951
107-06-2	323.16
507-55-1	135.848
431-87-8	132.2
422-56-0	134.434
679-85-6	206.6
593-70-4	332.126
76-15-3	125.4
74-85-1	480.6
78-78-4	342.11
421-14-7	204.148
354-56-3	161.32
375-03-1	142.3
75-69-4	181.4
75-46-7	240.7
96-14-0	325.52
589-34-4	308.29
760-20-3	324.317
563-45-1	347.627
620-14-4	315.556
107-05-1	378.94
95-75-0	270.962
75-33-2	366.37
591-76-4	305.5
763-29-1	336.838
591-78-6	362.85
611-14-3	316.696
95-49-8	296.23
75-29-6	334.82
78-93-3	434
513-53-1	339.1
108-08-7	294.82
95-73-8	310.383
107-40-4	284.453
107-39-1	276.06
565-59-3	303.9
463-82-1	315.145
590-35-2	291.63
75-83-2	305.22
540-84-1	269.47
464-06-2	288.337
75-35-4	274.469
106-93-4	190.514
78-87-5	283.476
106-99-0	415.342
591-93-5	359.475
106-98-9	393.264
109-69-3	328.257
540-54-5	346.022
592-76-7	323.175
111-27-3	435.421
124-19-6	311.028
64-19-7	394.605
123-86-4	312.274
123-72-8	436.772
124-18-5	278.106
142-82-5	316.971
109-60-4	332.061
354-11-0	182.967
1842-05-3	202.265
75-82-1	140.389
431-89-0	135.9
431-63-0	165.2
460-73-1	196.7
420-46-2	227.1
79-00-5	259.52
662-01-1	117.4
75-88-7	199.536
146916-90-7	171.5
338-75-0	177.492
75-00-3	383.602
75-01-4	365.168
74-87-3	428.7
75-43-4	239.5
116-14-3	168.546
24270-67-5	230.893
661-97-2	118.95
422-48-0	144.8
353-59-3	135.293
589-53-7	291.88
96-22-0	388.28
43133-95-5	322.39
513-35-9	375.05
563-46-2	363.51
137-32-6	507.508
79-29-8	317.633
590-19-2	443.993
592-41-6	340.247
75-07-0	584.657
67-64-1	500.947
617-84-5	371.622
111-65-9	301.155
