Compound Id	Normal boiling point
375-17-7	288.25
354-11-0	390.15
630-20-6	403.75
811-97-2	247.05
2366-36-1	366
354-58-5	318.85
811-95-0	361.15
76-13-1	320.75
812-04-4	303
1842-05-3	315.33
79-35-6	292.15
374-07-2	276.17
75-82-1	365.65
124-73-2	320.45
354-23-4	303.15
431-89-0	257.55
431-63-0	279.35
460-73-1	288.25
420-46-2	225.95
79-34-5	419.45
40723-63-5	272.35
359-28-4	375.65
79-00-5	386.65
471-43-2	333.15
75-34-3	330.45
141563-84-0	323.95
430-57-9	346.95
76-14-2	276.75
662-01-1	308.85
354-25-6	261.45
359-58-0	290.75
421-04-5	285.15
75-68-3	264.05
338-64-7	280.69
1615-75-4	289.35
460-43-5	304.77
306-83-2	300.95
146916-90-7	343.25
338-75-0	349.85
76-18-6	271.15
2837-89-0	261.15
460-35-5	318.25
1691-17-4	275
1511-62-2	258.60
54597-66-9	272.65
56-23-5	349.85
75-45-6	232.35
377-41-3	298.75
74-87-3	248.95
79-38-9	245.25
75-72-9	191.85
355-25-9	271.25
75-61-6	295.91
431-06-1	332.75
75-71-8	243.35
75-43-4	282.05
356-18-3	332.65
75-09-2	313.25
462-39-5	314.15
74-84-0	184.55
75-04-7	289.75
353-36-6	236.05
593-53-3	195.05
67-72-1	458
460-13-9	270.65
76-16-4	194.95
116-15-4	243.75
425-88-7	309.65
22410-44-2	278.75
74-89-5	266.45
115-25-3	267.15
76-01-7	433.03
3822-68-2	231.15
354-33-6	225.05
109-66-0	309.35
40811-14-1	231.05
115-07-1	225.45
116-14-3	197.25
75-73-0	145.15
67-66-3	334.35
7125-83-9	377.80
2356-62-9	263.55
24270-67-5	265.41
2356-61-8	270.15
662-00-0	288.25
431-31-2	295.85
690-39-1	271.75
354-21-2	345.05
2252-84-8	256.15
359-35-3	253.35
25167-88-8	305
1649-08-7	319.95
107-06-2	356.65
507-55-1	325.15
422-48-0	325.05
422-56-0	318.65
679-85-6	327.95
353-59-3	269.45
76-15-3	234.25
69948-24-9	316.25
74-85-1	163.75
78-78-4	301.03
421-14-7	249.35
354-56-3	411.15
375-03-1	307.38
589-53-7	390.87
25550-14-5	434.25
96-22-0	374.85
96-14-0	336.42
589-34-4	365.15
760-20-3	327.35
620-14-4	434.45
107-05-1	318.25
95-75-0	482.05
75-33-2	325.75
43133-95-5	333.41
591-76-4	363.19
513-35-9	311.71
763-29-1	335.25
563-46-2	304.35
137-32-6	400.65
591-78-6	400.75
95-49-8	432.15
78-93-3	352.74
78-92-2	372.66
513-53-1	358.15
108-08-7	353.64
107-40-4	378.05
107-39-1	374.55
565-59-3	362.93
79-29-8	331.08
463-82-1	282.63
590-35-2	352.35
75-83-2	322.88
464-06-2	354.01
75-35-4	310.15
590-19-2	284.05
106-93-4	404.75
106-99-0	268.74
591-93-5	299.15
106-98-9	266.89
540-54-5	319.65
592-76-7	366.79
111-27-3	430.75
592-41-6	336.63
124-19-6	464.15
75-07-0	293.25
67-64-1	329.2
617-84-5	450.65
123-86-4	399.25
109-73-9	350.15
123-72-8	347.95
124-18-5	447.30
142-82-5	371.55
76-11-9	364.65
4259-43-2	347.15
76-12-0	365.95
354-14-3	389.75
354-15-4	345.65
677-68-9	385.15
71-55-6	346.95
420-97-3	361.75
624-72-6	283.65
431-07-2	290.15
75-88-7	279.30
420-99-5	328.15
754-12-1	244.85
75-63-8	215.45
75-00-3	285.35
75-01-4	259.25
1885-48-9	302.35
75-28-5	261.55
76-19-7	236.55
79-01-6	360.36
57041-67-5	296.45
661-97-2	307.25
431-87-8	287.25
593-70-4	264.05
355-42-0	330.29
75-69-4	296.85
75-46-7	191.05
563-45-1	293.25
611-14-3	438.35
75-29-6	308.85
95-73-8	474.15
540-84-1	372.37
78-87-5	369.55
109-69-3	351.55
111-65-9	398.82
109-60-4	374.45
354-12-1	346.15
