Compound Id	Hydrophobicity
1	-0.77
2	-0.31
3	0.25
4	0.05
5	0.88
6	0.61
7	0.76
8	1.56
9	1.19
10	1.21
11	1.28
12	0.89
13	1.22
14	1.16
15	1.31
16	0.35
17	0.83
18	2.03
19	1.62
20	1.75
21	2.72
22	1.93
23	3.00
24	2.90
25	2.72
26	2.81
27	2.81
28	3.77
29	3.25
30	2.86
31	4.57
32	3.78
33	3.52
34	4.53
35	5.13
36	5.58
37	1.23
38	-0.53
39	-1.38
40	-0.83
41	0.00
42	-0.64
43	-0.68
44	0.53
45	-0.11
46	-0.55
47	2.64
48	2.01
49	0.34
50	0.74
51	0.52
52	0.87
53	0.65
54	-0.01
55	0.28
56	1.40
57	1.40
58	0.52
59	1.07
60	2.13
61	0.69
62	2.00
63	1.40
64	1.40
65	-0.18
66	0.34
67	0.12
68	0.87
69	0.65
70	1.40
71	1.18
72	1.93
73	1.71
74	2.24
75	2.46
76	2.99
77	5.11
78	0.17
79	0.34
80	0.21
81	0.12
82	-0.81
83	0.74
84	0.87
85	0.65
86	0.65
87	1.40
88	1.18
89	1.40
90	1.93
91	2.45
92	2.98
93	2.98
94	3.51
95	4.04
96	4.57
97	0.18
98	0.73
99	1.24
100	1.02
101	1.78
102	1.72
103	2.30
104	2.83
105	2.70
106	3.88
107	4.94
108	1.21
109	2.30
110	2.17
111	1.77
112	1.95
113	1.77
114	1.55
115	1.59
116	2.30
117	2.17
118	2.30
119	2.83
120	2.83
121	2.83
122	2.48
123	2.83
124	0.82
125	1.29
126	1.96
127	1.55
128	2.30
129	2.83
130	3.36
131	3.88
132	4.41
133	4.79
134	0.03
135	0.83
136	1.32
137	1.19
138	0.97
139	2.38
140	1.85
141	1.28
142	1.81
143	2.87
144	3.40
145	1.07
146	0.73
147	3.71
148	0.28
149	0.81
150	1.29
151	1.81
152	1.28
153	0.81
154	-0.24
155	0.29
156	0.91
157	0.85
158	0.84
159	1.38
160	1.31
161	0.81
162	1.20
163	1.98
164	1.88
165	1.91
166	2.37
167	3.14
168	2.97
169	3.73
170	3.49
171	4.09
172	4.55
173	5.08
174	5.08
175	1.02
176	1.29
177	1.82
178	-0.34
179	0.16
180	0.53
181	0.47
182	1.12
183	1.12
184	1.08
185	1.66
186	1.54
187	2.25
188	2.75
189	3.12
190	4.37
191	4.90
192	0.40
193	0.71
194	2.75
195	3.37
196	3.80
197	4.36
198	4.89
199	3.85
200	3.57
201	3.85
202	2.96
203	4.02
204	3.82
205	2.71
206	2.68
207	3.77
208	-1.35
209	0.74
210	1.80
211	2.47
212	1.76
213	1.14
214	3.21
215	-0.13
216	0.12
217	0.65
218	1.19
219	2.24
220	-0.66
221	-0.15
222	0.85
223	0.96
224	3.90
225	2.84
226	1.19
227	-0.05
228	3.90
229	0.35
230	1.79
231	4.43
232	2.84
233	1.79
234	0.62
235	2.31
236	4.96
237	2.66
238	3.02
239	1.96
240	1.49
241	1.54
242	1.44
243	2.49
244	0.34
245	2.01
246	3.60
247	0.33
248	0.79
249	1.92
250	3.05
251	-0.81
252	-0.59
253	0.59
254	0.88
255	0.61
256	1.36
257	1.14
258	1.78
259	1.67
260	1.67
261	1.63
262	2.42
263	2.95
264	2.73
265	3.48
266	4.01
267	4.54
268	5.07
269	4.05
270	3.52
271	-1.36
272	-0.64
273	-0.84
274	-0.28
275	0.24
276	0.31
277	-0.28
278	1.30
279	1.83
280	2.72
281	2.39
282	-0.38
283	0.37
284	0.14
285	-0.72
286	0.67
287	0.89
288	-0.01
289	1.20
290	1.42
291	1.20
292	1.20
293	-0.10
294	1.73
295	1.95
296	1.73
297	2.48
298	3.01
299	3.54
300	5.13
301	1.07
302	1.60
303	2.13
304	2.66
305	0.18
306	0.15
307	-0.06
308	0.14
309	0.50
310	0.85
311	0.81
312	0.37
313	1.42
314	0.20
315	1.59
316	2.65
317	1.73
318	2.79
319	2.10
320	0.95
321	0.28
322	0.63
323	1.62
324	2.01
325	1.62
326	2.15
327	2.15
328	2.68
329	1.44
330	1.30
331	1.48
332	1.62
333	0.52
334	1.05
335	2.10
336	0.18
337	0.56
338	0.91
339	1.96
340	0.68
341	1.21
342	2.79
343	1.74
344	0.50
345	0.54
346	0.41
347	1.07
348	1.42
349	0.86
350	1.48
351	1.61
352	3.19
353	2.14
355	-1.58
356	-0.62
357	-2.88
354	-2.05
358	-0.99
359	-0.72
360	-0.32
361	0.40
362	-0.45
363	-0.52
364	-0.27
365	0.60
366	1.13
367	1.65
368	-1.31
369	-1.12
370	-0.94
371	-1.06
372	-0.46
373	-0.59
374	-0.53
375	0.07
376	0.07
377	-0.79
378	-0.01
379	0.60
380	-0.06
381	0.34
382	0.47
383	0.47
384	0.48
385	0.41
386	-1.43
387	-2.12
388	-2.05
389	-2.15
390	-1.04
391	-1.82
392	-1.00
393	0.47
394	0.97
395	0.84
396	1.49
397	1.33
398	2.06
399	2.57
400	3.04
401	3.57
402	4.10
403	4.63
404	0.26
405	0.73
406	0.70
407	0.74
408	1.32
409	1.23
410	1.23
411	1.32
412	0.95
413	0.40
414	1.10
415	1.10
416	-0.43
417	0.08
418	-0.01
419	0.64
420	-0.67
421	-1.02
422	-0.49
423	-0.36
424	-1.43
425	0.33
426	0.79
427	1.39
428	1.92
429	2.41
430	3.05
431	3.47
432	4.09
433	4.53
434	0.60
435	1.16
436	1.47
437	1.75
438	1.75
439	1.68
440	2.75
441	2.64
442	0.34
443	1.40
444	-0.81
445	-0.59
446	-0.29
447	0.08
448	0.42
449	0.16
450	0.95
451	2.01
452	3.07
453	0.72
454	1.41
455	1.94
456	3.00
457	3.53
458	-0.52
459	2.12
460	2.65
461	1.47
462	2.42
463	2.92
464	3.48
465	4.01
466	3.13
467	1.94
468	2.57
469	2.46
470	2.99
471	3.52
472	4.05
473	2.55
474	3.08
475	1.49
476	1.49
477	2.02
478	1.98
479	2.50
480	2.42
481	4.14
482	1.35
483	1.64
484	1.80
485	0.97
486	0.43
487	1.28
488	0.05
489	-0.86
490	1.97
491	0.20
492	2.03
493	0.75
494	0.45
495	0.93
496	0.89
497	0.02
498	2.09
499	0.36
500	1.21
