Compound Id	Maximum acceptor superdelocalizability
1	0.2928
2	0.2958
3	0.2852
4	0.3026
5	0.3022
6	0.3321
7	0.3002
8	0.2951
9	0.2852
10	0.3074
11	0.2825
12	0.2861
13	0.2877
14	0.3013
15	0.3016
16	0.2836
17	0.3194
18	0.3056
19	0.3178
20	0.2851
21	0.2857
22	0.2935
23	0.2944
24	0.2854
25	0.2852
26	0.2862
27	0.3051
28	0.3089
29	0.3218
30	0.3021
31	0.2936
32	0.2928
33	0.3013
34	0.2936
35	0.3051
36	0.3007
37	0.2933
38	0.2854
39	0.2936
40	0.2850
41	0.2843
42	0.2845
43	0.3021
44	0.2945
45	0.3151
46	0.2946
47	0.2851
48	0.3170
49	0.2850
50	0.3001
51	0.3043
52	0.2935
53	0.2836
54	0.3001
55	0.2944
56	0.2926
57	0.3215
58	0.2980
59	0.3169
60	0.2996
61	0.3113
62	0.2800
63	0.2905
64	0.2884
65	0.3170
66	0.2999
67	0.3074
68	0.3088
69	0.2857
70	0.2846
71	0.3003
72	0.3320
73	0.2848
74	0.3177
75	0.2934
76	0.2934
77	0.2842
78	0.2935
79	0.3175
80	0.3151
81	0.3318
82	0.2843
83	0.2858
84	0.3406
85	0.2939
86	0.2855
87	0.2978
88	0.3170
89	0.3067
90	0.3185
91	0.2935
92	0.3019
93	0.2947
94	0.2984
95	0.2881
96	0.2853
97	0.2945
98	0.2947
99	0.3324
100	0.3081
101	0.3196
102	0.3394
103	0.3375
104	0.3153
105	0.3092
106	0.3317
107	0.2995
108	0.3175
109	0.2943
110	0.3000
111	0.2992
112	0.2850
113	0.3160
114	0.3110
115	0.3002
116	0.3178
117	0.2999
118	0.2934
119	0.3158
120	0.3136
121	0.2836
122	0.3010
123	0.3111
124	0.3033
125	0.3326
126	0.2841
127	0.2960
128	0.3031
129	0.3236
130	0.3093
131	0.3332
132	0.3177
133	0.3002
134	0.3119
135	0.2934
136	0.3104
137	0.3173
138	0.3428
139	0.3122
140	0.2988
141	0.2827
142	0.2839
143	0.3252
144	0.3168
145	0.3376
146	0.3450
147	0.2985
148	0.2996
149	0.3002
150	0.3161
151	0.2950
152	0.3474
153	0.3317
154	0.3121
155	0.3485
156	0.3362
157	0.3137
158	0.3014
159	0.3074
160	0.3014
161	0.2929
162	0.3014
163	0.2992
164	0.2948
165	0.3312
166	0.3116
167	0.2964
168	0.3113
169	0.3360
170	0.3248
171	0.2993
172	0.2939
173	0.2846
174	0.3167
175	0.3177
176	0.3401
177	0.3402
178	0.3231
179	0.3302
180	0.2955
181	0.3000
182	0.3063
183	0.2849
184	0.2889
185	0.3106
186	0.3235
187	0.3568
188	0.3191
189	0.2977
190	0.3093
191	0.3082
192	0.3239
193	0.3111
194	0.3160
195	0.3177
196	0.3327
197	0.3179
198	0.3186
199	0.3333
200	0.3230
201	0.3140
202	0.3123
203	0.3152
204	0.3066
205	0.3005
206	0.2935
207	0.2932
208	0.3321
209	0.3000
210	0.3521
211	0.3264
212	0.3395
213	0.2982
214	0.3275
215	0.3002
216	0.3150
217	0.3023
218	0.3200
219	0.3408
220	0.3185
221	0.3214
222	0.3064
223	0.3157
224	0.3348
225	0.3426
226	0.3171
227	0.3168
228	0.3105
229	0.3293
230	0.3085
231	0.2845
232	0.3074
233	0.2978
234	0.3155
235	0.3349
236	0.3187
237	0.3607
238	0.3210
239	0.3317
240	0.3200
241	0.2995
242	0.3379
243	0.3377
244	0.3355
245	0.3016
246	0.3476
247	0.2904
248	0.2944
249	0.3216
250	0.3264
251	0.3445
252	0.3412
253	0.3190
254	0.3072
255	0.2901
256	0.3465
257	0.3322
258	0.3570
259	0.3424
260	0.3310
261	0.3280
262	0.3275
263	0.3719
264	0.3660
265	0.3108
266	0.3131
267	0.3253
268	0.3447
269	0.2846
270	0.3165
271	0.3214
272	0.2995
273	0.2874
274	0.2982
275	0.3329
276	0.2932
277	0.3498
278	0.3177
279	0.3213
280	0.3213
281	0.3282
282	0.3350
283	0.3176
284	0.3605
285	0.2880
286	0.3683
287	0.3181
288	0.3503
289	0.3206
290	0.2937
291	0.3075
292	0.3261
293	0.3347
294	0.3299
295	0.3169
296	0.3704
297	0.3485
298	0.3386
299	0.2999
300	0.3344
301	0.3409
302	0.3476
303	0.3356
304	0.3091
305	0.3225
306	0.3146
307	0.3178
308	0.3063
309	0.2995
310	0.3177
311	0.3716
312	0.2841
313	0.3513
314	0.3259
315	0.3166
316	0.3486
317	0.3389
318	0.3188
319	0.3253
320	0.3469
321	0.3223
322	0.3050
323	0.3249
324	0.3355
325	0.3269
326	0.3464
327	0.3267
328	0.2932
329	0.3226
330	0.3262
331	0.3517
332	0.3274
333	0.3543
334	0.3210
335	0.3321
336	0.3201
337	0.3250
338	0.3565
339	0.3544
340	0.3178
341	0.3335
342	0.3253
343	0.3178
344	0.3246
345	0.3296
346	0.3520
347	0.3453
348	0.3426
349	0.2977
350	0.3384
351	0.3517
352	0.3452
353	0.3745
354	0.3345
355	0.3661
356	0.3538
357	0.3297
358	0.3287
359	0.3608
360	0.2841
361	0.3061
362	0.3670
363	0.3534
364	0.3596
365	0.3717
366	0.3178
367	0.3620
368	0.3339
369	0.3325
370	0.2875
371	0.3309
372	0.3432
373	0.3303
374	0.3588
375	0.3743
376	0.3370
377	0.3852
378	0.3653
379	0.3691
380	0.3003
381	0.3362
382	0.3850
383	0.3457
384	0.3390
385	0.3798
386	0.3036
387	0.3015
388	0.3100
389	0.3138
390	0.3081
391	0.3201
392	0.3136
393	0.3061
394	0.3211
395	0.3444
396	0.3255
397	0.3271
398	0.3251
399	0.3267
400	0.3179
401	0.3250
402	0.3262
403	0.3125
404	0.3293
405	0.3108
406	0.2855
407	0.3213
408	0.3257
409	0.3197
410	0.3220
411	0.2836
412	0.3034
413	0.3287
414	0.3173
415	0.3109
416	0.3571
417	0.2936
418	0.3274
419	0.3025
420	0.3311
421	0.3282
422	0.3365
423	0.3551
424	0.3239
425	0.3279
426	0.3761
427	0.3440
428	0.3281
429	0.3330
430	0.3194
431	0.3288
432	0.3288
433	0.3490
434	0.2961
435	0.2931
436	0.3130
437	0.3226
438	0.3307
439	0.3230
440	0.2829
441	0.3621
442	0.3373
443	0.3210
444	0.3495
445	0.3378
446	0.3378
447	0.3493
448	0.3605
449	0.3447
450	0.3722
451	0.3403
452	0.3563
453	0.3317
454	0.3599
455	0.3690
456	0.3524
457	0.3539
458	0.3204
459	0.2912
460	0.3273
461	0.3495
462	0.3249
463	0.3549
464	0.3001
465	0.3172
466	0.3263
467	0.3555
468	0.3555
469	0.2875
470	0.3683
471	0.3601
472	0.3413
473	0.2935
474	0.3449
475	0.3229
476	0.3696
477	0.3387
478	0.3203
479	0.3764
480	0.3168
481	0.3485
482	0.3240
483	0.3215
484	0.3237
485	0.3209
486	0.3485
487	0.2847
488	0.3192
489	0.3147
490	0.3283
491	0.2975
492	0.3197
493	0.3180
494	0.5001
495	0.3241
496	0.3517
497	0.3260
498	0.3699
499	0.3219
500	0.3618
501	0.3422
