Compound Id	Energy of the lowest unoccupied molecular orbital
1	3.778
2	3.565
3	3.489
4	3.575
5	3.425
6	3.477
7	3.547
8	3.391
9	3.516
10	3.481
11	3.436
12	3.435
13	3.544
14	3.384
15	3.439
16	3.438
17	2.657
18	3.368
19	3.376
20	3.367
21	3.353
22	3.386
23	3.343
24	3.440
25	3.398
26	3.472
27	3.465
28	3.337
29	3.455
30	3.386
31	3.332
32	3.360
33	3.356
34	3.329
35	3.326
36	3.324
37	3.369
38	3.258
39	3.214
40	3.140
41	3.173
42	3.169
43	3.274
44	3.169
45	3.195
46	3.310
47	3.163
48	3.255
49	1.241
50	1.152
51	1.195
52	1.299
53	1.424
54	1.867
55	1.677
56	1.187
57	1.185
58	1.885
59	1.696
60	1.604
61	1.584
62	1.713
63	1.227
64	1.316
65	1.782
66	1.690
67	1.795
68	1.710
69	1.875
70	1.697
71	1.791
72	1.696
73	1.798
74	1.784
75	1.694
76	1.693
77	1.692
78	1.364
79	1.295
80	1.298
81	1.247
82	1.295
83	1.092
84	1.307
85	1.178
86	1.133
87	1.301
88	1.134
89	1.301
90	1.299
91	1.298
92	1.297
93	1.297
94	1.296
95	1.295
96	1.295
97	1.098
98	1.149
99	1.154
100	1.194
101	1.154
102	1.200
103	1.154
104	1.154
105	1.162
106	1.152
107	1.152
108	1.197
109	1.202
110	1.202
111	1.198
112	1.303
113	1.201
114	1.250
115	0.778
116	1.202
117	1.218
118	1.202
119	1.201
120	1.203
121	1.197
122	1.254
123	1.201
124	1.148
125	1.152
126	1.153
127	1.206
128	1.153
129	1.153
130	1.152
131	1.152
132	1.151
133	1.151
134	1.076
135	1.136
136	1.137
137	1.140
138	1.276
139	1.137
140	1.138
141	1.081
142	1.083
143	1.084
144	1.084
145	0.813
146	0.650
147	0.749
148	1.010
149	1.057
150	0.693
151	0.697
152	0.866
153	1.064
154	0.844
155	0.877
156	0.877
157	0.909
158	0.913
159	0.877
160	0.895
161	0.921
162	0.943
163	0.879
164	0.889
165	0.909
166	0.879
167	0.878
168	0.909
169	0.874
170	0.907
171	0.876
172	0.877
173	0.873
174	0.905
175	0.832
176	0.845
177	0.861
178	1.664
179	1.709
180	1.702
181	1.757
182	1.703
183	1.703
184	1.809
185	1.702
186	1.713
187	1.702
188	1.701
189	1.701
190	1.701
191	1.700
192	0.798
193	0.753
194	0.829
195	0.828
196	0.828
197	0.827
198	0.826
199	0.434
200	0.692
201	-0.008
202	0.876
203	0.866
204	0.839
205	0.751
206	0.876
207	0.797
208	0.808
209	0.724
210	0.719
211	0.589
212	-0.622
213	-0.574
214	-0.653
215	1.067
216	1.051
217	1.079
218	1.114
219	1.068
220	1.558
221	1.543
222	1.536
223	0.852
224	1.173
225	1.153
226	0.969
227	0.775
228	1.106
229	0.856
230	1.104
231	1.135
232	1.117
233	1.090
234	0.956
235	1.142
236	1.154
237	-0.247
238	0.850
239	0.797
