Compound Id	s
1	0
2	1
3	1.975
4	2.54
5	2.339
6	2.754
7	3.168
8	2.447
9	2.678
10	2.832
11	2.992
12	3.144
13	3.36
14	2.53
15	2.716
16	2.862
17	2.92
18	3.074
19	3.112
20	3.171
21	3.099
22	2.928
23	3.292
24	2.595
25	3.281
26	3.642
27	3.577
28	3.825
29	2.648
30	3.563
31	2.691
32	2.727
33	2.758
34	2.785
35	2.808
36	2.828
37	2.846
38	2.862
39	2.877
40	3.044
41	2.886
42	2.773
43	2.968
44	2.998
45	4.258
46	2.747
47	2.877
48	2.955
49	3.092
50	3.073
51	2.902
52	2.25
53	2
54	2.083
55	2.184
56	2.058
57	2.242
58	1.979
59	2
60	2.123
61	2.125
62	2.328
63	2.078
64	2.228
65	2.516
66	2.017
67	1.8
68	2.441
69	1.767
70	2.042
71	2
72	2.915
73	2.187
74	2.549
75	2.549
76	2.622
77	2.622
78	2.847
79	2.826
80	3.143
81	2.488
82	2.658
83	2.658
84	2.734
85	2.734
86	2.831
87	2.965
88	2.814
89	3.137
90	3.219
91	2.98
92	3.032
93	3.032
94	2.988
95	3.258
96	3.446
97	3.003
98	2.559
99	2.689
100	2.689
101	2.777
102	2.822
103	3.165
104	2.984
105	3.208
106	3.035
107	3.791
108	2.777
109	2.616
110	2.719
111	2.989
112	2.664
113	2.704
114	2.738
115	2.767
116	2.792
117	2.814
118	2.834
119	2.851
120	2.88
121	2.324
122	2.255
123	2.922
124	2.864
125	2.203
126	2.172
127	2.719
128	2.8
129	2.832
130	2.832
131	2.8
132	2.866
133	2.893
134	2.904
135	2.371
136	2.45
137	2.377
138	2.32
139	3.318
140	2.495
141	2.669
142	2.363
143	3.109
144	2.732
145	2.934
146	2.924
147	2.924
148	2.653
149	3.263
150	3.205
151	2.656
152	2.521
153	2.526
154	3.182
155	2.286
156	2.236
157	3
158	3.021
159	2.832
160	3.135
161	3.078
162	3.032
163	2.615
164	2.848
165	3.007
166	2.937
167	2.882
168	3.248
169	3.172
170	3.166
171	2.427
172	2.587
173	2.747
174	2.966
175	2.955
176	2.894
177	2.964
178	2.871
179	2.797
180	3.342
181	3.311
182	3.282
183	3.016
184	3.456
185	2.958
186	3.018
187	3.604
188	3.126
189	2.065
190	1.887
191	2.083
192	2.457
193	2.054
194	2.177
195	2.296
196	2.161
197	1.957
198	2.276
199	2.158
200	1.992
201	1.934
202	1.848
203	1.789
204	1.767
205	1.816
206	3.062
207	3.169
208	3.091
209	3.07
210	3.044
211	3.143
212	2.467
213	2.853
214	2.963
215	2.963
216	2.811
217	2.746
218	2.694
219	1.945
220	2.963
221	1.928
222	2.991
223	3.148
224	3.077
225	2.975
226	2.895
227	2.981
228	3.087
229	2.708
230	2.848
231	2.848
232	3.001
233	2.999
234	2.888
235	2.913
236	2.791
237	2.414
238	2.787
239	2.323
240	2.43
241	2.111
242	2.798
243	1.912
244	2.614
245	2.674
246	2.591
247	2.543
248	2.649
249	2.086
250	2.159
251	2.159
252	1.978
253	2.321
254	2.625
255	2.524
256	2.58
257	2.186
258	2.535
259	2.643
260	2.539
261	2.24
262	1.987
263	2.199
264	2.345
265	2.534
266	2.452
267	2.598
268	2.65
269	3.097
270	2
271	2.867
272	2.925
273	3.295
274	3.484
275	2.693
276	2.729
277	2.76
278	2.786
279	2.862
280	2.751
281	3.013
