Compound Id	s
1	0
2	0
3	0
4	0
5	0.033
6	0
7	0
8	0.043
9	0.044
10	0.022
11	0
12	0
13	0
14	0.048
15	0.043
16	0.047
17	0.032
18	0.036
19	0.047
20	0.032
21	0.029
22	0.059
23	0.015
24	0.05
25	0.064
26	0.041
27	0.021
28	0
29	0.051
30	0.069
31	0.052
32	0.053
33	0.054
34	0.054
35	0.055
36	0.055
37	0.056
38	0.056
39	0.057
40	0.042
41	0.045
42	0.046
43	0.048
44	0.066
45	0.03
46	0.045
47	0.044
48	0.052
49	0.05
50	0.042
51	0.047
52	0
53	0
54	0
55	0.023
56	0.052
57	0.04
58	0.061
59	0.063
60	0.062
61	0.068
62	0.055
63	0.078
64	0.066
65	0.063
66	0.083
67	0.095
68	0.061
69	0.069
70	0.063
71	0.063
72	0.038
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0.033
82	0.033
83	0.033
84	0.033
85	0.033
86	0
87	0
88	0
89	0
90	0
91	0.022
92	0
93	0
94	0
95	0
96	0
97	0.022
98	0.043
99	0.043
100	0.043
101	0.043
102	0.044
103	0
104	0.022
105	0.036
106	0.032
107	0
108	0.043
109	0.048
110	0.048
111	0.047
112	0.05
113	0.051
114	0.052
115	0.053
116	0.054
117	0.054
118	0.055
119	0.055
120	0.056
121	0
122	0.063
123	0.057
124	0.055
125	0.063
126	0.063
127	0.048
128	0.048
129	0.048
130	0.048
131	0.048
132	0.056
133	0.057
134	0.057
135	0.068
136	0.023
137	0.023
138	0.023
139	0.032
140	0.072
141	0.072
142	0.078
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0.033
152	0.072
153	0.072
154	0.059
155	0.063
156	0.084
157	0.063
158	0.062
159	0.068
160	0.057
161	0.06
162	0.08
163	0.078
164	0.066
165	0.063
166	0.074
167	0.078
168	0.054
169	0.071
170	0.058
171	0.083
172	0.075
173	0.07
174	0.062
175	0.078
176	0.072
177	0.077
178	0.083
179	0.077
180	0.063
181	0.065
182	0.076
183	0.054
184	0.068
185	0.08
186	0.092
187	0.069
188	0.091
189	0.071
190	0.069
191	0.095
192	0.095
193	0.102
194	0.112
195	0.091
196	0.09
197	0.084
198	0.076
199	0.073
200	0.07
