Compound Id	s
1	1.115
2	1.757
3	2.729
4	3.138
5	3.516
6	3.516
7	3.516
8	3.869
9	3.869
10	3.869
11	3.869
12	3.869
13	3.869
14	4.203
15	4.203
16	4.203
17	4.203
18	4.203
19	4.203
20	4.203
21	4.203
22	4.203
23	4.203
24	4.52
25	4.52
26	4.823
27	4.52
28	4.52
29	4.823
30	4.823
31	5.115
32	5.396
33	5.668
34	5.931
35	6.187
36	6.437
37	6.68
38	6.918
39	7.15
40	4.823
41	4.823
42	4.823
43	4.823
44	4.823
45	6.437
46	4.52
47	4.52
48	4.52
49	4.52
50	4.52
51	5.396
52	1.884
53	2.337
54	2.746
55	3.124
56	3.811
57	3.811
58	4.128
59	3.124
60	3.477
61	3.811
62	3.811
63	4.128
64	4.128
65	4.431
66	4.431
67	5.004
68	4.431
69	6.045
70	3.477
71	3.811
72	4.52
73	1.219
74	1.672
75	1.672
76	2.081
77	2.081
78	2.081
79	2.081
80	2.081
81	2.459
82	2.459
83	2.459
84	2.459
85	2.459
86	2.459
87	2.459
88	2.459
89	2.459
90	2.459
91	2.812
92	2.459
93	2.459
94	2.459
95	2.459
96	2.459
97	2.812
98	2.812
99	2.812
100	2.812
101	2.812
102	2.812
103	2.812
104	2.812
105	3.146
106	3.146
107	2.812
108	2.812
109	3.146
110	3.146
111	3.146
112	4.375
113	4.678
114	4.97
115	5.251
116	5.523
117	5.786
118	6.042
119	6.292
120	6.773
121	1.689
122	2.067
123	7.233
124	6.042
125	2.42
126	2.754
127	3.146
128	3.146
129	3.146
130	3.146
131	3.146
132	6.535
133	7.005
134	7.233
135	2.646
136	2.067
137	2.067
138	2.067
139	3.146
140	3.267
141	3.267
142	2.964
143	1.565
144	1.565
145	1.974
146	1.974
147	1.974
148	1.974
149	1.974
150	1.974
151	2.352
152	3.267
153	3.267
154	3.038
155	2.646
156	4.332
157	2.255
158	2.608
159	2.942
160	2.942
161	2.942
162	2.942
163	3.259
164	3.259
165	3.259
166	3.259
167	3.259
168	3.259
169	3.259
170	3.259
171	3.562
172	3.562
173	3.562
174	3.562
175	3.562
176	3.562
177	3.562
178	3.562
179	3.562
180	3.562
181	3.562
182	3.562
183	4.67
184	3.854
185	4.135
186	4.135
187	4.135
188	4.135
189	5.319
190	6.088
191	3.743
192	3.876
193	5.165
194	5.165
195	4.411
196	4.148
197	4.411
198	3.854
199	4.135
200	5.582
201	5.838
202	6.331
203	6.801
204	7.028
205	6.568
206	3.562
207	3.562
208	3.562
209	3.562
210	3.562
211	3.562
212	5.398
213	3.472
214	3.472
215	3.472
216	3.562
217	3.562
218	3.562
219	4.917
220	3.854
221	5.398
222	2.851
223	3.169
224	3.472
225	3.472
226	3.472
227	3.169
228	3.386
229	4.044
230	3.169
231	3.169
232	3.677
233	4.044
234	3.386
235	3.677
236	3.958
237	3.562
238	3.958
239	4.76
240	4.494
241	4.999
242	3.958
243	5.176
244	4.23
245	3.958
246	3.472
247	3.472
