Compound Id	s
1	0.311
2	0.27
3	0.227
4	0.214
5	0.204
6	0.204
7	0.204
8	0.196
9	0.196
10	0.196
11	0.196
12	0.196
13	0.196
14	0.189
15	0.189
16	0.189
17	0.189
18	0.189
19	0.189
20	0.189
21	0.189
22	0.189
23	0.189
24	0.184
25	0.184
26	0.179
27	0.184
28	0.184
29	0.179
30	0.179
31	0.175
32	0.171
33	0.168
34	0.165
35	0.163
36	0.16
37	0.158
38	0.156
39	0.154
40	0.179
41	0.179
42	0.179
43	0.179
44	0.179
45	0.16
46	0.184
47	0.184
48	0.184
49	0.184
50	0.184
51	0.171
52	0.29
53	0.256
54	0.235
55	0.22
56	0.2
57	0.2
58	0.193
59	0.22
60	0.209
61	0.2
62	0.2
63	0.193
64	0.193
65	0.187
66	0.187
67	0.184
68	0.187
69	0.164
70	0.209
71	0.2
72	0.184
73	0.29
74	0.256
75	0.256
76	0.235
77	0.235
78	0.235
79	0.235
80	0.235
81	0.22
82	0.22
83	0.22
84	0.22
85	0.22
86	0.22
87	0.22
88	0.22
89	0.22
90	0.22
91	0.209
92	0.22
93	0.22
94	0.22
95	0.22
96	0.22
97	0.209
98	0.209
99	0.209
100	0.209
101	0.209
102	0.209
103	0.209
104	0.209
105	0.2
106	0.2
107	0.209
108	0.209
109	0.2
110	0.2
111	0.2
112	0.193
113	0.187
114	0.182
115	0.178
116	0.174
117	0.17
118	0.167
119	0.164
120	0.16
121	0.26
122	0.239
123	0.155
124	0.167
125	0.224
126	0.212
127	0.2
128	0.2
129	0.2
130	0.2
131	0.2
132	0.162
133	0.157
134	0.155
135	0.225
136	0.239
137	0.239
138	0.239
139	0.2
140	0.204
141	0.204
142	0.213
143	0.292
144	0.292
145	0.26
146	0.26
147	0.26
148	0.26
149	0.26
150	0.26
151	0.239
152	0.204
153	0.204
154	0.212
155	0.225
156	0.214
157	0.279
158	0.255
159	0.238
160	0.238
161	0.238
162	0.238
163	0.224
164	0.224
165	0.224
166	0.224
167	0.224
168	0.224
169	0.224
170	0.224
171	0.214
172	0.214
173	0.214
174	0.214
175	0.214
176	0.214
177	0.214
178	0.214
179	0.214
180	0.214
181	0.214
182	0.214
183	0.186
184	0.205
185	0.198
186	0.198
187	0.198
188	0.198
189	0.192
190	0.178
191	0.205
192	0.223
193	0.198
194	0.198
195	0.208
196	0.215
197	0.208
198	0.205
199	0.198
200	0.186
201	0.182
202	0.174
203	0.168
204	0.165
205	0.171
206	0.214
207	0.214
208	0.214
