Compound Id	Mean atomic electronegativity of Sanderson
1	1.05
2	1
3	0.98
4	1.02
5	0.99
6	1
7	0.97
8	0.95
9	0.96
10	0.96
11	0.97
12	1.02
13	0.97
14	0.96
15	0.97
16	1.02
17	1.01
18	0.97
19	1.08
20	0.97
21	0.96
22	1.07
23	0.98
24	0.96
25	0.96
26	0.99
27	0.98
28	1
29	1.12
30	0.96
31	0.96
32	0.96
33	0.96
34	0.97
35	0.97
36	0.97
37	0.96
38	0.98
39	0.98
40	0.96
41	0.96
42	0.96
43	0.97
44	0.97
45	0.97
46	1
47	0.99
48	1
49	0.97
50	0.96
51	0.96
52	0.97
53	0.97
54	1.01
55	1
56	1.05
57	0.96
58	0.96
59	0.97
60	0.97
61	0.97
62	1
63	0.96
64	0.96
65	1.03
66	0.99
67	0.99
68	1.01
69	0.98
70	0.96
71	0.98
72	1.01
73	0.96
74	0.96
75	0.99
76	0.96
77	0.98
78	0.96
79	0.97
80	0.96
81	1
82	0.96
83	0.97
84	0.97
85	0.98
86	0.98
87	0.96
88	1
89	0.99
90	1
91	0.98
92	0.96
93	0.97
94	0.96
95	1.01
96	0.96
97	0.96
98	1.07
99	1.07
100	0.97
101	0.97
102	0.96
103	0.96
104	0.96
105	1.01
106	0.97
107	0.97
108	0.97
109	0.98
110	0.96
111	0.96
112	0.97
113	0.96
114	0.97
115	1.01
116	0.96
117	0.96
118	0.96
119	0.96
120	0.96
121	0.98
122	0.96
123	0.96
124	0.97
125	0.96
126	0.96
127	0.97
128	0.97
129	0.96
130	0.96
131	0.97
132	0.96
133	0.98
134	0.96
135	0.96
136	0.97
137	0.98
138	0.96
139	0.96
140	0.96
141	0.96
142	0.96
143	0.96
144	0.96
145	0.96
146	0.99
147	0.98
148	0.96
149	0.96
150	0.96
151	0.98
152	0.97
153	0.96
154	0.96
155	0.96
156	0.97
157	0.96
158	0.96
159	0.96
160	0.98
161	0.98
162	0.96
163	0.97
164	0.96
165	0.99
166	0.99
