Compound Id	BCUT [BCUTp-1l]
26325084	4.9870
26325083	4.9871
18019	4.9067
8521	4.8534
26325082	4.9871
10449	4.9661
61149	2.9077
2056044	2.8904
26325081	4.9871
26824	4.8804
8520	4.8567
10451	4.9196
2041618	4.6689
6191	2.3983
26325080	4.9872
76894	3.9474
16425	4.2198
6153	1.7782
10784857	2.1304
38403	2.5634
14021447	4.9876
9256	2.4214
23101	4.8488
10675065	2.9535
10652594	2.2135
10696	4.7957
62827	2.7727
11434292	N/A
21106179	1.8259
122090	4.9485
11557190	4.9890
9095782	3.4152
12577	2.4444
9286	2.4673
61346	3.0134
6190	2.9207
6270	4.6685
9484	2.4772
6105	1.8732
16841	2.9435
4927801	5.3716
109705	3.5617
9088156	4.7432
56144	4.0027
23150	4.8118
108106	5.2898
78828	5.0314
6128	2.5228
10452	4.6094
10606755	2.8637
3631	2.8210
69569	4.9886
15413	4.6627
66656	3.9858
9411	2.9112
454209	3.4659
10733068	5.1242
17619	3.7781
13837650	5.0980
13853215	3.9402
9392	3.4325
66567	3.1835
18971812	3.9321
66655	4.9119
68328	5.0169
13299573	3.1580
56117	4.6432
12161	3.9818
107412	3.0298
67414	5.1767
13803	4.0422
14441700	3.8110
10756390	5.0505
68224	5.1073
61213	3.6405
9254	3.9670
9016	3.4502
73583	3.7653
14998	4.6247
2018165	3.0053
6148	3.5008
69914	5.0019
11671339	4.9146
29040	3.2327
67991	5.0225
454215	3.2555
62826	3.1750
7626	5.3539
59573	4.0818
6156	4.6851
10106	3.3967
10801109	4.2413
512621	4.6133
12933	4.7408
11996	4.8790
13835836	4.7395
9633	3.1882
15789876	4.1190
18688	4.5077
12586	4.5772
71433	4.9001
68503	4.2272
937	1.4380
692	2.1249
23208	1.1503
291	2.612
274	1.9476
6084	3.7595
6132	2.8649
7956	3.6687
6094	4.4795
11749	4.3263
7555	4.7999
6120	5.1173
7712	4.9588
6308	5.1174
9646	5.7491
10781	5.5986
15802	5.1768
17976	5.8333
7767	5.0381
7604	5.1174
7010	5.2756
6163	5.4337
6340	5.7491
7671	3.8789
9377	3.1587
8560	5.0778
11094	5.1174
11023	5.1966
11055	5.2757
10786	5.4337
7619	5.7491
10755	5.5915
11551	5.4335
349	5.0976
11035	5.1570
11104	5.7491
10795	6.0643
10445	5.9119
8569	5.0083
11841	5.5516
7073	4.3505
123860	4.8891
7849	5.1075
17558	5.1174
13439	6.5367
13402	5.9067
6287	3.1609
10227261	4.1179
14840	5.1124
13448	6.4579
12220	5.0653
13619	5.1149
7890	5.1161
11882	5.1167
11883	5.1171
10540	5.1173
7929	5.1174
11897	5.1174
11899	5.1174
12017	5.1174
12072	5.1174
11900	5.1174
11901	5.1174
11146	5.1174
11902	5.1174
10542	5.1174
11906	5.1174
7823	4.8792
13835376	4.6497
55130	4.1933
6188	4.4560
127750	4.2220
14299946	3.6283
30713	4.0088
14694	3.9860
99596	4.3008
11849	4.6942
7757	4.1908
21106169	2.5949
20545	3.7217
10441	4.0047
14672	4.6442
7511	4.1835
10446	3.8789
7657	4.1933
22453	4.3505
6151	3.8460
7509	4.1737
7872	3.7193
10433	4.0361
55084	4.2326
7875	3.7211
2062437	3.5651
7065	4.1933
11992	4.0361
7913	3.7216
10325078	3.7217
92731	3.4203
14256731	4.4464
3168	4.5595
11153	2.9108
29005	4.1540
7472	3.8003
11207996	3.6802
7694	4.1540
11833	4.2464
16388	4.3360
455420	4.3163
62249	4.3505
10420	4.1147
9243	2.5692
