Compound Id	ALOGP [ALogP]
26325084	12.423
26325083	11.411
18019	9.519
8521	7.19
26325082	10.399
10449	6.071
61149	2.191
2056044	3.055
26325081	9.387
26824	7.633
8520	6.178
10451	5.060
2041618	6.0
6191	2.196
26325080	8.376
76894	3.493
16425	1.193
6153	2.437
10784857	2.573
38403	2.236
14021447	7.364
9256	1.702
23101	5.166
10675065	1.349
10652594	1.385
10696	4.048
62827	1.587
11434292	5.274
21106179	1.027
122090	5.641
11557190	6.352
9095782	1.086
12577	1.589
9286	1.208
61346	2.105
6190	2.393
6270	2.313
9484	1.439
6105	0.477
16841	2.0
4927801	4.989
109705	3.294
9088156	3.792
56144	2.688
23150	4.154
108106	3.991
78828	5.340
6128	0.945
10452	3.036
10606755	1.497
3631	2.534
69569	4.257
15413	2.228
66656	2.424
9411	1.360
454209	0.306
10733068	7.435
17619	0.693
13837650	1.512
13853215	2.590
9392	2.590
66567	1.890
18971812	1.384
66655	4.241
68328	4.328
13299573	2.309
56117	1.563
12161	1.312
107412	1.851
67414	2.993
13803	1.477
14441700	1.058
10756390	5.948
68224	5.948
61213	1.299
9254	2.197
9016	2.298
73583	2.237
14998	2.353
2018165	1.360
6148	1.636
69914	4.461
11671339	4.461
29040	2.211
67991	3.245
454215	2.102
62826	1.996
7626	-0.050
59573	1.062
6156	3.176
10106	-0.774
10801109	0.678
512621	2.693
12933	0.564
11996	1.232
13835836	0.871
9633	-1.185
15789876	-1.021
18688	1.818
12586	-2.476
71433	3.060
68503	1.662
937	0.0
692	-0.884
23208	-0.817
291	0.0
274	-0.147
6084	0.682
6132	1.224
7956	0.050
6094	-0.185
11749	0.533
7555	-0.473
6120	1.012
7712	-0.761
6308	0.336
9646	2.198
10781	1.453
15802	-0.117
17976	2.447
7767	-1.049
7604	0.592
7010	-0.340
6163	1.863
6340	1.146
7671	0.748
9377	-0.609
8560	-1.337
11094	0.304
11023	-0.084
11055	1.382
10786	0.470
7619	1.208
10755	1.528
11551	-1.016
349	-1.625
11035	-0.372
11104	1.657
10795	1.279
10445	2.450
8569	-1.180
11841	1.015
7073	1.228
123860	-0.735
7849	-1.913
17558	-0.272
13439	3.569
13402	0.858
6287	0.959
10227261	-0.827
14840	-2.201
13448	3.237
12220	-1.756
13619	-2.489
7890	-2.777
11882	-3.065
11883	-3.353
10540	-3.929
7929	-5.081
11897	-5.369
11899	-5.657
12017	-5.945
12072	-6.233
11900	-6.521
11901	-6.809
11146	-7.097
11902	-7.385
10542	-8.537
11906	-9.689
