Compound Id	WienerNumbers [WPOL]
26325084	60.0
26325083	54.0
18019	24.0
8521	24.0
26325082	48.0
10449	36.0
61149	21.0
2056044	16.0
26325081	42.0
26824	18.0
8520	18.0
10451	30.0
2041618	15.0
6191	9.0
26325080	36.0
76894	14.0
16425	0.0
6153	0.0
10784857	24.0
38403	10.0
14021447	30.0
9256	6.0
23101	12.0
10675065	8.0
10652594	20.0
10696	24.0
62827	9.0
11434292	10.0
21106179	0.0
122090	15.0
11557190	24.0
9095782	9.0
12577	3.0
9286	4.0
61346	6.0
6190	9.0
6270	16.0
9484	0.0
6105	0.0
16841	6.0
4927801	60.0
109705	27.0
9088156	17.0
56144	15.0
23150	6.0
108106	48.0
78828	18.0
6128	0.0
10452	15.0
10606755	15.0
3631	10.0
69569	12.0
15413	12.0
66656	5.0
9411	9.0
454209	3.0
10733068	45.0
17619	4.0
13837650	1.0
13853215	9.0
9392	9.0
66567	18.0
18971812	9.0
66655	9.0
68328	12.0
13299573	6.0
56117	8.0
12161	12.0
107412	9.0
67414	33.0
13803	9.0
14441700	3.0
10756390	36.0
68224	36.0
61213	3.0
9254	6.0
9016	6.0
73583	9.0
14998	4.0
2018165	2.0
6148	0.0
69914	24.0
11671339	24.0
29040	6.0
67991	6.0
454215	6.0
62826	9.0
7626	4.0
59573	6.0
6156	0.0
10106	15.0
10801109	22.0
512621	10.0
12933	17.0
11996	4.0
13835836	6.0
9633	6.0
15789876	20.0
18688	9.0
12586	15.0
71433	3.0
68503	12.0
937	0.0
692	0.0
23208	0.0
291	0.0
274	0.0
6084	0.0
6132	0.0
7956	0.0
6094	0.0
11749	3.0
7555	1.0
6120	0.0
7712	2.0
6308	2.0
9646	0.0
10781	8.0
15802	7.0
17976	6.0
7767	3.0
7604	3.0
7010	4.0
6163	3.0
6340	4.0
7671	8.0
9377	4.0
8560	4.0
11094	4.0
11023	5.0
11055	4.0
10786	6.0
7619	4.0
10755	6.0
11551	6.0
349	5.0
11035	6.0
11104	5.0
