Compound Id	AtomCount
26325084	109
26325083	99
18019	57
8521	57
26325082	89
10449	60
61149	14
2056044	14
26325081	79
26824	47
8520	47
10451	50
2041618	44
6191	8
26325080	69
76894	41
16425	7
6153	5
10784857	42
38403	12
14021447	59
9256	8
23101	37
10675065	14
10652594	35
10696	40
62827	11
11434292	34
21106179	5
122090	38
11557190	49
9095782	14
12577	8
9286	8
61346	11
6190	8
6270	33
9484	8
6105	5
16841	8
4927801	80
109705	21
9088156	45
56144	11
23150	27
108106	64
78828	39
6128	8
10452	30
10606755	12
3631	12
69569	31
15413	29
66656	24
9411	14
454209	14
10733068	55
17619	21
13837650	8
13853215	8
9392	8
66567	15
18971812	14
66655	28
68328	29
13299573	11
56117	25
12161	21
107412	11
67414	48
13803	20
14441700	11
10756390	44
68224	44
61213	11
9254	8
9016	8
73583	11
14998	21
2018165	8
6148	8
69914	33
11671339	33
29040	8
67991	21
454215	8
62826	11
7626	21
59573	19
6156	17
10106	35
10801109	36
512621	28
12933	37
11996	21
13835836	22
9633	26
15789876	42
18688	23
12586	41
71433	18
68503	21
937	3
692	4
23208	3
291	5
274	3
6084	8
6132	5
7956	9
6094	11
11749	18
7555	14
6120	14
7712	17
6308	17
9646	17
10781	26
15802	29
17976	29
7767	20
7604	20
7010	20
6163	20
6340	20
7671	26
9377	20
8560	23
11094	23
11023	23
11055	23
10786	23
7619	23
10755	23
11551	23
349	26
11035	26
11104	26
10795	26
10445	26
8569	27
11841	27
7073	26
123860	28
7849	29
17558	29
13439	29
13402	29
6287	26
10227261	34
14840	32
13448	32
12220	33
13619	35
7890	38
11882	41
11883	44
10540	50
7929	62
11897	65
11899	68
12017	71
12072	74
11900	77
11901	80
11146	83
11902	86
10542	98
11906	110
7823	21
13835376	22
55130	23
6188	8
127750	22
14299946	38
30713	8
14694	8
99596	11
11849	21
7757	38
21106169	9
20545	56
10441	12
14672	18
7511	32
10446	20
7657	23
22453	23
6151	5
7509	29
7872	32
10433	23
55084	29
7875	38
2062437	11
7065	20
11992	20
7913	44
10325078	8
92731	11
14256731	32
3168	15
11153	5
29005	26
7472	20
11207996	19
7694	26
11833	18
16388	36
455420	27
62249	20
10420	23
9243	8
55188	21
7482	23
11716	26
29016	23
7670	28
7340	40
7747	20
7624	22
7627	17
8568	26
14846	32
11045	23
11228	15
10709	15
109838	19
7478	18
10765	15
13849665	47
7800	29
11148	5
11843	23
923	3
7475	20
12201	18
7515	20
29012	20
10797	22
11109	18
7538	26
7536	23
12972	34
61266	22
24142	45
14829	8
23055	11
13622	42
7463	17
10571	17
16180	39
13836549	12
7891	36
12446	18
55123	23
10614293	25
29025	27
11755	14
12635	33
7706	17
7761	20
