Compound Id	BCUT [BCUTp-1h]
26325084	7.7137
26325083	7.7137
18019	7.5895
8521	7.2102
26325082	7.7138
10449	7.1463
61149	5.3473
2056044	5.4155
26325081	7.7138
26824	7.3420
8520	7.1527
10451	7.0530
2041618	6.5530
6191	3.4715
26325080	7.7142
76894	6.4029
16425	4.9920
6153	2.2738
10784857	6.6765
38403	4.6958
14021447	7.7155
9256	3.5510
23101	7.0894
10675065	5.5738
10652594	6.2239
10696	6.8058
62827	4.8085
11434292	N/A
21106179	2.3626
122090	7.8860
11557190	7.7209
9095782	5.4888
12577	3.6420
9286	3.6073
61346	6.2090
6190	5.5128
6270	7.2025
9484	3.7942
6105	2.4517
16841	5.6037
4927801	9.0936
109705	7.9269
9088156	8.1676
56144	6.7645
23150	6.8371
108106	8.7669
78828	7.7425
6128	3.8520
10452	6.4345
10606755	5.2790
3631	6.7428
69569	7.6415
15413	7.0521
66656	6.4198
9411	5.3458
454209	5.6780
10733068	9.2393
17619	4.7875
13837650	6.8108
13853215	6.5354
9392	7.5579
66567	6.5820
18971812	7.5337
66655	7.6284
68328	7.8288
13299573	7.3650
56117	6.8962
12161	5.9450
107412	6.3178
67414	8.3158
13803	6.1106
14441700	6.2772
10756390	8.7938
68224	8.0507
61213	6.3633
9254	6.6261
9016	7.6450
73583	8.9025
14998	6.7403
2018165	5.7345
6148	5.6569
69914	7.6293
11671339	8.2219
29040	6.7595
67991	7.7091
454215	6.7140
62826	7.4748
7626	6.8632
59573	6.2685
6156	6.5844
10106	6.3335
10801109	8.6608
512621	7.6680
12933	8.1258
11996	7.7981
13835836	6.6968
9633	7.1649
15789876	7.8683
18688	8.5150
12586	8.6944
71433	7.3755
68503	6.9008
937	1.4380
692	2.6961
23208	1.6857
291	2.612
274	2.4264
6084	3.9795
6132	4.3940
7956	3.9956
6094	5.1457
11749	6.9341
7555	5.7685
6120	6.3941
7712	6.3845
6308	7.0133
9646	7.6484
10781	9.2184
15802	8.4279
17976	8.9043
7767	6.6999
7604	7.3276
7010	7.6420
6163	8.2708
6340	7.6486
7671	7.8786
9377	6.6876
8560	7.0133
11094	7.4848
11023	7.9564
11055	8.5851
10786	8.2708
7619	7.6488
10755	8.8995
11551	8.2708
349	7.1715
11035	8.1136
11104	7.6491
10795	8.8995
10445	8.9043
8569	6.5815
11841	7.2558
7073	7.4163
123860	6.2268
7849	7.3277
17558	7.6027
13439	9.2186
13402	10.1570
6287	5.8619
10227261	7.7968
14840	7.4073
13448	9.0616
12220	6.9155
13619	7.4849
7890	7.5252
11882	7.5636
11883	7.5843
10540	7.6140
7929	7.6375
11897	7.6404
11899	7.6428
12017	7.6448
12072	7.6466
11900	7.6482
11901	7.6497
11146	7.6511
11902	7.6524
10542	7.6575
11906	7.6622
7823	6.0701
13835376	5.9910
55130	6.8569
6188	8.5809
127750	6.0493
14299946	6.7499
30713	6.6718
14694	6.7125
99596	7.97
11849	6.4626
7757	7.5149
21106169	4.2161
20545	7.6510
10441	4.9688
14672	7.4838
7511	7.3875
10446	7.8786
7657	7.4539
22453	7.8811
6151	6.3468
7509	7.29
7872	7.3572
10433	7.2102
55084	7.0558
7875	7.4997
2062437	8.1035
7065	7.2594
11992	6.7783
7913	7.5710
10325078	8.7143
92731	9.4308
14256731	7.7082
3168	5.2999
11153	4.4847
29005	7.1328
7472	7.2499
11207996	7.7918
7694	6.7415
11833	6.3054
16388	7.4394
455420	7.1507
62249	8.3580
10420	6.9380
9243	3.9136
55188	8.1125
7482	6.7022
11716	6.8958
29016	7.3868
7670	7.8041
7340	9.3244
7747	7.1316
7624	7.4814
7627	6.6211
8568	7.0724
14846	7.4268
11045	6.5814
11228	6.2263
10709	5.6766
109838	5.8328
7478	5.4510
10765	7.1893
13849665	8.5868
7800	7.3481
11148	2.5411
11843	6.8172
923	2.8654
7475	6.6236
12201	7.4188
7515	6.1496
29012	6.5028
10797	7.8093
11109	6.8676
7538	7.2114
7536	7.0542
12972	7.6076
61266	9.1788
24142	7.6085
14829	7.6968
23055	8.3193
13622	7.5940
7463	6.0061
10571	7.1026
16180	7.5742
13836549	6.0117
7891	7.5454
12446	7.3711
55123	6.9923
10614293	8.9043
29025	7.3699
11755	6.3106
12635	7.5060
7706	5.9924
7761	7.3137
11121	7.0976
7713	6.5533
12809	7.4485
11230	6.6610
7833	7.2549
10492	6.9791
13837190	4.8105
13839109	6.0705
7556	5.9245
12012	6.6780
8158	7.9098
66675	7.4057
7871	7.5050
3441	8.8077
7954	5.2222
9976	7.4111
21153	7.5444
14688	7.9504
9391	5.4759
8525	5.3717
7514	7.1743
11680	6.4664
6176	8.4370
6085	4.1110
63631	7.4745
13865630	7.0585
7856	7.0826
11706	6.7808
7802	7.2510
12218	7.4466
56232	7.9412
3973	8.2401
6130	6.4378
7534	8.1941
10788	7.8030
7621	7.4149
10101	4.9188
28986	7.0191
13839575	5.9712
12632	7.3679
13836589	5.5194
83734	8.6263
9253	8.6685
215929	7.3315
10791	7.4953
555074	7.1820
7957	6.4387
11125	6.3426
7760	7.0938
4516601	7.3392
8562	6.6896
2863	7.4558
56442	5.8021
4483639	6.4160
11919	9.0930
10653	5.8498
8329688	7.5203
7782	5.7268
4516599	7.2030
16387	7.2440
10777	7.1815
4512361	7.3392
11095	6.8599
11025	6.8599
26325086	7.6188
21106173	6.6842
13835706	8.1153
441	7.2078
2282428	7.7823
9251	7.7330
13850879	9.8481
217	2.2510
1114	6.0348
7838	7.0505
15486	7.7588
56559	7.6508
11898	7.6385
4483638	6.4160
6335	5.0015
4449912	5.8021
11526	4.8145
6311	6.5729
10054	8.3459
7081	7.7910
7607	6.5455
7074	7.4604
12456	7.3740
72522	7.6351
6313	6.5335
7817	6.5048
4512642	7.2030
7928	7.6308
7734	5.0632
5949	6.7734
62632	7.6163
14348	7.6251
7803	7.1123
7076	7.4212
78998	7.6059
17880	7.2632
370	7.2695
29029	7.3463
11884	7.5692
2581	7.6171
16177	7.5356
7730	6.0235
13866746	6.0956
7016	6.3885
15853	7.4961
11864	7.1060
9053802	7.6480
21106586	8.0421
67360	7.4288
63863	5.8552
11891	7.6068
7732	5.3836
18920	7.2881
10113	7.0568
11866	7.0581
15846	7.3501
11845	6.8843
15954	8.1916
11819	7.5502
7566	5.3065
29026	7.2154
7772	6.4590
11739	7.9553
7917	7.5908
6321	5.9168
12209	6.5699
11846	6.7887
7622	7.4520
11861	7.3865
15016	7.6332
11056	7.7981
7915	7.5709
23255	6.8458
10787	7.8773
123993	8.8204
55090	8.9693
11806	6.1265
7630	5.5325
8552	6.8970
68179	7.0761
7901	7.5390
6121	7.0905
7770	6.4743
7558	5.5124
11036	7.3266
10001	7.2186
7064	7.7239
175	5.1554
6146	6.8603
6649	8.0383
