Compound Id	BCUT [BCUTw-1h]
26325084	27.986
26325083	27.985
18019	27.981
8521	27.981
26325082	27.984
10449	27.982
61149	19.006
2056044	19.006
26325081	27.983
26824	27.980
8520	27.980
10451	27.981
2041618	27.980
6191	19.004
26325080	27.982
76894	27.980
16425	31.973
6153	19.002
10784857	27.982
38403	19.004
14021447	27.981
9256	19.003
23101	27.979
10675065	19.003
10652594	27.981
10696	27.980
62827	19.003
11434292	N/A
21106179	19.001
122090	27.979
11557190	27.980
9095782	19.002
12577	19.002
9286	19.002
61346	34.969
6190	34.969
6270	27.977
9484	19.0
6105	19.001
16841	34.969
4927801	27.981
109705	19.007
9088156	27.979
56144	34.970
23150	27.978
108106	27.980
78828	27.979
6128	18.999
10452	27.979
10606755	19.004
3631	34.969
69569	34.970
15413	27.978
66656	27.978
9411	19.0
454209	18.999
10733068	27.981
17619	27.978
13837650	34.970
13853215	34.970
9392	34.970
66567	19.004
18971812	34.969
66655	27.978
68328	27.978
13299573	78.918
56117	27.978
12161	27.977
107412	34.969
67414	27.979
13803	27.978
14441700	34.969
10756390	27.980
68224	27.980
61213	34.969
9254	34.970
9016	34.970
73583	34.970
14998	27.978
2018165	34.969
6148	34.969
69914	27.979
11671339	27.979
29040	78.918
67991	34.970
454215	78.918
62826	78.918
7626	15.995
59573	27.978
6156	27.978
10106	30.974
10801109	27.977
512621	27.978
12933	27.977
11996	15.995
13835836	15.996
9633	18.998
15789876	16.006
18688	15.996
12586	30.974
71433	27.977
68503	27.977
937	15.995
692	16.006
23208	16.205
291	12.0
274	16.006
6084	12.11
6132	34.969
7956	15.998
6094	12.110
11749	15.998
7555	12.110
6120	12.110
7712	12.110
6308	12.110
9646	12.110
10781	12.110
15802	12.110
17976	12.110
7767	12.110
7604	12.110
7010	12.110
6163	12.110
6340	12.110
7671	15.996
9377	18.998
8560	12.110
11094	12.110
11023	12.110
11055	12.110
10786	12.110
7619	12.110
10755	12.110
11551	12.110
349	12.110
11035	12.110
11104	12.110
10795	12.110
10445	12.110
8569	15.995
11841	15.995
7073	15.996
123860	15.996
7849	12.110
17558	12.110
13439	12.110
13402	12.110
6287	30.974
10227261	16.006
14840	12.110
13448	12.110
12220	15.995
13619	12.110
7890	12.110
11882	12.110
11883	12.110
10540	12.110
7929	12.110
11897	12.110
11899	12.110
12017	12.110
12072	12.110
11900	12.111
11901	12.111
11146	12.111
11902	12.111
10542	12.111
11906	12.111
7823	15.995
13835376	15.996
55130	15.996
6188	34.971
127750	15.996
14299946	27.980
30713	34.970
14694	34.970
99596	34.970
11849	15.995
7757	15.996
21106169	19.0
20545	15.996
10441	15.998
14672	15.998
7511	15.996
10446	15.996
7657	15.996
22453	15.996
6151	34.970
7509	15.996
7872	15.996
10433	15.996
55084	15.996
7875	15.996
2062437	78.918
7065	15.996
11992	15.996
7913	15.996
10325078	78.918
92731	78.918
14256731	15.997
3168	15.995
11153	34.969
29005	15.996
7472	15.996
11207996	16.006
7694	15.996
11833	15.998
16388	27.977
455420	15.998
62249	15.996
10420	15.996
9243	18.998
55188	15.998
7482	15.996
11716	15.996
29016	15.996
7670	15.995
7340	14.003
7747	15.996
7624	14.003
7627	15.996
8568	15.996
14846	15.996
11045	15.996
11228	15.998
10709	15.998
109838	15.996
7478	15.997
10765	12.110
13849665	16.0
7800	15.996
11148	19.0
11843	15.996
923	16.001
7475	15.996
12201	12.110
7515	15.996
29012	15.996
10797	15.995
11109	12.210
7538	15.996
7536	15.996
12972	15.995
61266	19.008
24142	12.110
14829	34.970
23055	34.970
13622	12.110
7463	15.996
10571	15.996
16180	12.110
13836549	19.004
7891	12.210
12446	12.110
55123	15.996
10614293	12.110
29025	12.110
11755	15.996
12635	12.110
7706	15.996
7761	15.996
11121	12.110
7713	12.210
12809	12.210
11230	14.009
7833	12.110
10492	15.996
13837190	15.998
13839109	15.997
7556	12.210
12012	15.996
8158	14.003
66675	27.978
7871	15.995
3441	78.919
7954	12.210
9976	15.995
21153	15.995
14688	15.995
9391	19.0
8525	15.996
7514	15.995
11680	15.996
6176	15.995
6085	12.21
63631	14.009
13865630	15.998
7856	14.003
11706	15.996
7802	15.995
12218	15.995
56232	15.995
3973	34.970
6130	34.970
7534	15.995
10788	15.995
7621	15.995
10101	30.974
28986	15.995
13839575	15.999
12632	15.995
13836589	15.998
83734	34.971
9253	34.971
215929	15.995
10791	15.995
555074	12.110
7957	12.110
11125	15.996
7760	15.995
4516601	12.110
8562	14.003
2863	15.996
56442	12.110
4483639	12.110
11919	27.977
10653	15.996
8329688	78.918
7782	15.996
4516599	12.110
16387	27.977
10777	15.995
4512361	12.110
11095	15.995
11025	15.995
26325086	15.997
21106173	15.998
13835706	16.007
441	16.006
2282428	78.918
9251	78.918
13850879	16.001
217	14.003
1114	14.009
7838	15.995
15486	15.995
56559	15.995
11898	15.995
4483638	12.110
6335	15.996
4449912	12.110
11526	15.999
6311	14.003
10054	34.969
7081	15.995
7607	15.995
7074	15.996
12456	12.110
72522	15.995
6313	16.006
7817	15.995
4512642	12.110
7928	15.995
7734	15.996
5949	15.995
62632	14.003
14348	15.995
7803	15.996
7076	15.996
78998	14.003
17880	12.110
370	15.998
29029	16.006
11884	14.003
2581	15.995
16177	14.003
7730	14.003
13866746	19.003
7016	15.995
15853	14.003
11864	12.310
9053802	15.995
21106586	15.997
67360	14.003
63863	27.978
11891	15.995
7732	15.995
18920	15.995
10113	12.110
11866	14.003
15846	14.003
11845	12.110
15954	15.995
11819	15.995
7566	14.050
29026	14.003
7772	15.995
11739	15.995
7917	15.995
6321	15.995
12209	12.310
11846	14.003
7622	15.995
11861	15.995
15016	14.003
11056	15.995
7915	15.995
23255	14.003
10787	15.995
123993	15.995
55090	34.969
11806	12.110
7630	15.997
8552	15.998
68179	15.995
7901	15.995
6121	34.969
7770	14.003
7558	12.110
11036	15.995
10001	15.996
7064	15.996
175	15.995
6146	15.998
6649	15.996
11029	15.995
6123	14.003
7892	15.995
8576	14.003
6095	12.110
9461	19.0
14692	12.210
11099	12.210
11193	15.996
256	15.995
11794	15.995
7851	14.003
15387	14.003
8012	15.996
7717	14.050
